始発停留所	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】		
始発時間	09:15	12:30	16:10		
終点時間	09:41	12:55	16:36		
終点停留所	七原口	吉田	七原口		
備考					
七尾駅前【４】	09:15	12:30	16:10		
小丸山公園下-C	09:17	12:32	16:12		
七尾美術館前-A	-	-	-		
能登総合病院	-	-	-		
岩屋（化石層）	-	-	-		
西藤橋-B	09:19	12:34	16:14		
岩屋町-B	09:20	12:35	16:15		
七尾警察署前-B	09:21	12:36	16:16		
国分-B	09:22	12:37	16:17		
細口-B	09:23	12:38	16:18		
青葉台-B	09:24	12:39	16:19		
白馬口-B	09:25	12:40	16:20		
白馬	09:26	12:41	16:21		
三階口	09:27	12:42	16:22		
盤若野	09:29	12:44	16:24		
池崎-A	09:30	12:45	16:25		
西池崎-A	09:30	12:45	16:25		
町屋口	09:32	12:47	16:27		
満仁-A	09:34	12:49	16:29		
西下-A	09:35	12:50	16:30		
相馬住宅前	09:35	-	16:30		
温井	09:36	-	16:31		
伊久留	09:37	-	16:32		
七原口	09:41	-	16:36		
中勢橋		12:51			
吉田		12:55			
