始発停留所	駒帰	上辰巳-A	駒帰	駒帰	
始発時間	07:33	09:50	12:33	18:48	
終点時間	08:23	10:33	13:23	19:38	
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
駒帰	07:33		12:33	18:48	
駒帰口	07:35		12:35	18:50	
瀬領	07:37		12:37	18:52	
上辰巳-A	07:40	09:50	12:40	18:55	
中辰己	07:42	09:52	12:42	18:57	
辰巳農協前	07:43	09:53	12:43	18:58	
下辰巳	07:44	09:54	12:44	18:59	
犀川小学校前-B	07:45	09:55	12:45	19:00	
東部車庫-B	07:46	09:56	12:46	19:01	
都雅野住宅-B	07:46	09:56	12:46	19:01	
末-B	07:47	09:57	12:47	19:02	
永安町（小立野方向）	07:48	09:58	12:48	19:03	
大道割口-B	07:49	09:59	12:49	19:04	
土清水-B	07:50	10:00	12:50	19:05	
土清水口-B	07:51	10:01	12:51	19:06	
錦町（Ｋマート）	07:54	10:04	12:54	19:09	
小立野一丁目-B	07:55	10:05	12:55	19:10	
崎浦公民館-B	07:56	10:06	12:56	19:11	
小立野三丁目-B	07:57	10:07	12:57	19:12	
天徳院前-B	07:58	10:08	12:58	19:13	
小立野-B	07:59	10:09	12:59	19:14	
石引町-B	08:00	10:10	13:00	19:15	
出羽町-B	08:01	10:11	13:01	19:16	
兼六園下（物産館前）	08:04	10:14	13:04	19:19	
橋場町（金城楼向）	08:06	10:16	13:06	19:21	
尾張町-B	08:07	10:17	13:07	19:22	
武蔵ヶ辻（スカイ前）	08:09	10:19	13:09	19:24	
六枚町（金石方向）	-	-	-	-	
六枚町（金沢駅ゆき）	08:12	10:22	13:12	19:27	
六枚町（ガスト前）	08:12	10:22	13:12	19:27	
金沢駅【降車場】	08:23	10:33	13:23	19:38	
広岡口（朱鷺の苑前）					
金沢駅西口降車					
金沢駅西口【６】					
広岡-A					
西念南-A					
西念西-A					
駅西合庁前（西念南から）					
県庁前-D					
