始発停留所	上辰巳-A	駒帰	上辰巳-A	駒帰	駒帰	駒帰	上辰巳-A			
始発時間	07:30	08:37	09:40	12:40	15:31	17:45	19:40			
終点時間	08:30	09:27	10:23	13:30	16:21	18:35	20:23			
終点停留所	県庁前-D	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】			
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			
駒帰		08:37		12:40	15:31	17:45				
駒帰口		08:39		12:42	15:33	17:47				
瀬領		08:41		12:44	15:35	17:49				
上辰巳-A	07:30	08:44	09:40	12:47	15:38	17:52	19:40			
中辰己	07:32	08:46	09:42	12:49	15:40	17:54	19:42			
辰巳農協前	07:33	08:47	09:43	12:50	15:41	17:55	19:43			
下辰巳	07:34	08:48	09:44	12:51	15:42	17:56	19:44			
犀川小学校前-B	07:35	08:49	09:45	12:52	15:43	17:57	19:45			
東部車庫-B	07:36	08:50	09:46	12:53	15:44	17:58	19:46			
都雅野住宅-B	07:36	08:50	09:46	12:53	15:44	17:58	19:46			
末-B	07:37	08:51	09:47	12:54	15:45	17:59	19:47			
永安町（小立野方向）	07:38	08:52	09:48	12:55	15:46	18:00	19:48			
大道割口-B	07:39	08:53	09:49	12:56	15:47	18:01	19:49			
土清水-B	07:40	08:54	09:50	12:57	15:48	18:02	19:50			
土清水口-B	07:41	08:55	09:51	12:58	15:49	18:03	19:51			
錦町（Ｋマート）	07:44	08:58	09:54	13:01	15:52	18:06	19:54			
小立野一丁目-B	07:45	08:59	09:55	13:02	15:53	18:07	19:55			
崎浦公民館-B	07:46	09:00	09:56	13:03	15:54	18:08	19:56			
小立野三丁目-B	07:47	09:01	09:57	13:04	15:55	18:09	19:57			
天徳院前-B	07:48	09:02	09:58	13:05	15:56	18:10	19:58			
小立野-B	07:49	09:03	09:59	13:06	15:57	18:11	19:59			
石引町-B	07:50	09:04	10:00	13:07	15:58	18:12	20:00			
出羽町-B	07:51	09:05	10:01	13:08	15:59	18:13	20:01			
兼六園下（観光物産館前）	07:54	09:08	10:04	13:11	16:02	18:16	20:04			
橋場町（金城楼向い）	07:56	09:10	10:06	13:13	16:04	18:18	20:06			
尾張町-B	07:57	09:11	10:07	13:14	16:05	18:19	20:07			
武蔵ヶ辻（ホリデイ・イン金沢前）	07:59	09:13	10:09	13:16	16:07	18:21	20:09			
六枚町（金石方向）	08:02	-	-	-	-	-	-			
六枚町（金沢駅ゆき）	-	09:16	10:12	13:19	16:10	18:24	20:12			
六枚町（ガスト前）	-	09:16	10:12	13:19	16:10	18:24	20:12			
金沢駅【降車場】	-	09:27	10:23	13:30	16:21	18:35	20:23			
広岡口（朱鷺の苑前）	08:04									
金沢駅西口降車	08:09									
金沢駅西口【６】	08:09									
広岡-A	08:11									
西念南-A	08:12									
西念西-A	08:13									
駅西合庁前（西念南から）	08:14									
県庁前-D	08:30									
