始発停留所	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	
始発時間	06:35	08:55	11:40	17:55	
終点時間	07:25	09:38	12:30	18:45	
終点停留所	駒帰	上辰巳-A	駒帰	駒帰	
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
県庁前-B					
駅西合庁前（西念南方向）					
西念西-B					
西念南-B					
広岡-B					
金沢駅西口降車					
金沢駅西口【５】					
金沢駅東通り-B					
金沢駅【３】	06:35	08:55	11:40	17:55	
リファーレ前-A	06:37	08:57	11:42	17:57	
武蔵ヶ辻（北陸銀行前）	06:39	08:59	11:44	17:59	
武蔵ヶ辻（かなざわはこまち前）	06:39	08:59	11:44	17:59	
尾張町-A	06:41	09:01	11:46	18:01	
橋場町（金城楼前）	06:42	09:02	11:47	18:02	
兼六園下（石川門向い）	-	-	-	-	
兼六園下（県駐車場前）	06:43	09:04	11:49	18:04	
出羽町-A	06:45	09:07	11:52	18:07	
石引町-A	06:46	09:08	11:53	18:08	
小立野-A	06:47	09:09	11:54	18:09	
天徳院前-A	06:48	09:11	11:56	18:11	
小立野三丁目-A	06:49	09:12	11:57	18:12	
崎浦公民館-A	06:50	09:13	11:58	18:13	
小立野一丁目-A	06:51	09:14	11:59	18:14	
錦町（湯涌）	06:52	09:15	12:00	18:15	
土清水口-A	06:54	09:17	12:02	18:17	
土清水-A	06:55	09:18	12:03	18:18	
大道割口-A	06:56	09:19	12:04	18:19	
永安町（東部車庫方向）	06:57	09:20	12:05	18:20	
末-A	06:58	09:21	12:06	18:21	
都雅野住宅-A	06:58	09:21	12:06	18:21	
東部車庫-A	06:59	09:22	12:07	18:22	
犀川小学校前-A	07:00	09:23	12:08	18:23	
下辰巳	07:01	09:24	12:09	18:24	
辰巳農協前	07:02	09:25	12:10	18:25	
中辰己	07:03	09:26	12:11	18:26	
上辰巳-A	07:05	09:38	12:13	18:28	
瀬領	07:10		12:18	18:33	
駒帰口	07:13		12:21	18:36	
駒帰	07:25		12:30	18:45	
