始発停留所	珠洲鉢ケ崎	珠洲鉢ケ崎	珠洲鉢ケ崎	珠洲鉢ケ崎	
始発時間	07:00	08:40	09:50	13:38	
終点時間	10:19	11:59	12:59	16:33	
終点停留所	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	金沢駅西口降車	
備考					
珠洲鉢ケ崎	07:00	08:40	09:50	13:38	
弁天公園前-B	07:02	08:42	09:52	13:40	
正院-B	07:05	08:45	09:55	13:43	
すずなり館前-C	07:11	08:51	10:01	13:49	
珠洲市役所前	07:14	08:54	10:04	13:52	
上戸	07:16	08:56	10:06	13:54	
珠洲鵜飼	07:19	08:59	10:09	13:57	
鵜島	07:21	09:01	10:11	13:59	
内浦駒渡	07:31	09:11	10:21	14:09	
柳田植物公園口	07:35	09:15	10:25	14:13	
柳田上町-C	07:37	09:17	10:27	14:15	
柳田天坂-C	07:39	09:19	10:29	14:17	
寺分-B	07:41	09:21	10:31	14:19	
中斉-B	07:45	09:25	10:35	14:23	
桜峠-B	07:49	09:29	10:39	14:27	
能登空港	07:59	09:39	10:49	14:37	
精育園前-B	08:05	09:45	10:55	14:43	
此の木（８番ラーメン前）	08:11	09:51	11:01	14:49	
穴水駅前-D	08:16	09:56	-	-	
西山ＰＡ-A	08:53	10:33	11:33	15:21	
医大病院-B	09:34	11:14	12:14	16:02	
向陽台（清湖大橋方向）	09:38	11:18	12:18	16:06	
県庁前（中央病院側）	09:48	11:28	12:28	16:16	
駅西合庁前（西念南方向）	09:51	11:31	12:31	16:19	
金沢駅西口降車	10:03	11:43	12:43	16:33	
武蔵ヶ辻（三井住友銀行）	10:11	11:51	12:51		
香林坊（中央公園前）	10:14	11:54	12:54		
広坂（しいのき迎賓館前）	10:15	11:55	12:55		
兼六園下（北鉄車庫前）	10:19	11:59	12:59		
