始発停留所	金沢駅【１】	金沢駅【１】	兼六園下（石川門向い）	金沢駅【１】	
始発時間	10:30	14:55	16:40	17:55	
終点時間	13:22	18:10	19:57	20:33	
終点停留所	珠洲鉢ケ崎	大谷-B	珠洲鉢ケ崎	すずなり館前-C	
備考					
兼六園下（石川門向い）			16:40		
広坂（金沢２１世紀美術館前）			16:41		
香林坊（東横イン前）			16:43		
武蔵ヶ辻（めいてつエムザ前）			16:46		
金沢駅【１】	10:30	14:55	16:55	17:55	
駅西合庁前（西念南から）	10:36	15:01	17:01	18:01	
県庁前-B	10:39	15:04	17:04	18:04	
向陽台（能登特急線）	10:52	15:17	17:17	18:17	
医大病院-B	10:56	15:21	17:21	18:21	
西山ＰＡ-B	11:37	16:02	18:02	19:02	
穴水駅前-D	-	16:39	18:37	-	
此の木（８番ラーメン向）	12:07	16:44	18:42	19:32	
精育園前-A	12:14	16:51	18:49	19:39	
能登空港	12:20	16:57	18:55	19:45	
桜峠-A	12:30	17:07	19:05	19:55	
中斉-A	12:34	17:11	19:09	19:59	
寺分-A	12:38	17:15	19:13	20:03	
柳田天坂-C	12:40	17:17	19:15	20:05	
柳田上町-D	12:42	17:19	19:17	20:07	
柳田植物公園口	12:44	17:21	19:19	20:09	
内浦駒渡	12:48	17:25	19:23	20:13	
鵜島	12:58	17:35	19:33	20:23	
珠洲鵜飼	13:00	17:37	19:35	20:25	
上戸	13:03	17:40	19:38	20:28	
珠洲市役所前	13:05	17:42	19:40	20:30	
すずなり館前-C	13:08	17:45	19:43	20:33	
正院-A	13:14	-	19:49		
弁天公園前-A	13:17	-	19:52		
珠洲鉢ケ崎	13:22	-	19:57		
宇都山-B		17:59			
大谷-B		18:10			
