始発停留所	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】			
始発時間	07:20	07:50	08:50	11:05	15:00	16:55	20:00			
終点時間	07:59	08:29	09:29	11:44	15:39	17:34	20:39			
終点停留所	田上住宅	田上住宅	田上住宅	田上住宅	田上住宅	田上住宅	田上住宅			
備考	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			
金沢駅【６】	07:20	07:50	08:50	11:05	15:00	16:55	20:00			
リファーレ前-A	07:22	07:52	08:52	11:07	15:02	16:57	20:02			
武蔵ヶ辻（近江町市場前）	07:24	07:55	08:55	11:10	15:05	17:00	20:04			
南町-A	07:25	07:57	08:57	11:12	15:07	17:02	20:05			
香林坊（アトリオ前）	07:27	07:59	08:59	11:14	15:09	17:04	20:07			
香林坊（中央公園前）	07:27	07:59	08:59	11:14	15:09	17:04	20:07			
広坂（しいのき迎賓館前）	07:28	08:00	09:00	11:15	15:10	17:05	20:08			
兼六園下（県駐車場前）	07:30	08:02	09:02	11:17	15:12	17:07	20:10			
出羽町-A	07:33	08:05	09:05	11:20	15:15	17:10	20:13			
石引町-A	07:34	08:06	09:06	11:21	15:16	17:11	20:14			
小立野-A	07:35	08:07	09:07	11:22	15:17	17:12	20:15			
如来寺前（金商方向）	07:36	08:08	09:08	11:23	15:18	17:13	20:16			
金商高校前	07:37	08:09	09:09	11:24	15:19	17:14	20:17			
小立野２丁目	07:38	08:10	09:10	11:25	15:20	17:15	20:18			
旭町一丁目（小立野から）	07:39	08:11	09:11	11:26	15:21	17:16	20:19			
山環田上-C	07:41	08:13	09:13	11:28	15:23	17:18	20:21			
下田上-A	07:42	08:14	09:14	11:29	15:24	17:19	20:22			
加賀田上-A	07:43	08:15	09:15	11:30	15:25	17:20	20:23			
田上一丁目-B	07:44	08:16	09:16	11:31	15:26	17:21	20:24			
田上住宅	07:59	08:29	09:29	11:44	15:39	17:34	20:39			
