始発停留所	みずき四丁目-B	医大病院-B	医大病院-B	運転免許センター-B	運転免許センター-B	運転免許センター-B	医大病院-B			
始発時間	06:55	07:20	09:00	11:55	14:50	16:00	17:50			
終点時間	07:19	08:07	09:47	12:30	15:25	16:35	18:37			
終点停留所	金沢駅西口降車	香林坊（中央公園前）	香林坊（中央公園前）	金沢駅西口降車	金沢駅西口降車	金沢駅西口降車	香林坊（中央公園前）			
備考		ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス			
医大病院-B		07:20	09:00				17:50			
大学前-B		07:21	09:01				17:51			
大清台-B		07:22	09:02				17:52			
大根布六丁目-B		07:23	09:03				17:53			
鶴ケ丘五丁目-B		07:24	09:04				17:54			
鶴ケ丘四丁目（内灘駅方向）		07:25	09:05				17:55			
向陽台（清湖大橋方向）		07:27	09:07				17:57			
運転免許センター-B		-	-	11:55	14:50	16:00	-			
湊二丁目-B		-	-	11:57	14:52	16:02	-			
湊運動公園前-B		-	-	11:58	14:53	16:03	-			
東蚊爪西-B		07:29	09:09	12:00	14:55	16:05	17:59			
みずき四丁目-B	06:55	07:33	09:13	12:04	14:59	16:09	18:03			
みずき三丁目-B	06:56	07:34	09:14	12:05	15:00	16:10	18:04			
みずき二丁目-B	06:57	07:35	09:15	12:06	15:01	16:11	18:05			
みずき一丁目-B	06:58	07:36	09:16	12:07	15:02	16:12	18:06			
木越住宅（郊外方向）	06:59	07:37	09:17	12:08	15:03	16:13	18:07			
木越-A	07:00	07:38	09:18	12:09	15:04	16:14	18:08			
千田町-B	07:02	07:40	09:20	12:11	15:06	16:16	18:10			
ＪＡ市本所前-B	07:04	07:42	09:22	12:13	15:08	16:18	18:12			
田中南口-B	07:06	07:44	09:24	12:15	15:10	16:20	18:14			
田中口-B	07:07	07:45	09:25	12:16	15:11	16:21	18:15			
高柳一丁目（旧ルネス前）	07:08	-	-	12:17	15:12	16:22	-			
金沢社会保険病院	07:11	-	-	12:20	15:15	16:25	-			
北安江-B	07:14	-	-	12:26	15:21	16:31	-			
金沢駅西口降車	07:19	-	-	12:30	15:25	16:35	-			
高柳-B		07:46	09:26				18:16			
乙丸-B		07:47	09:27				18:17			
東警察署前（彦三方向）		07:48	09:28				18:18			
元町二丁目-B		07:49	09:29				18:19			
小橋町-B		07:50	09:30				18:20			
瓢箪町-B		07:51	09:31				18:21			
彦三-B		07:52	09:32				18:22			
武蔵ヶ辻（三井住友銀行前）		07:53	09:33				18:23			
南町-A		07:54	09:34				18:24			
香林坊（中央公園前）		08:07	09:47				18:37			
