始発停留所	医大病院-B	医大病院-B	医大病院-B		
始発時間	07:25	11:25	16:30		
終点時間	08:12	12:12	17:17		
終点停留所	香林坊（中央公園前）	香林坊（中央公園前）	香林坊（中央公園前）		
備考	ノンステップバス	ノンステップバス	ノンステップバス		
医大病院-B	07:25	11:25	16:30		
大学前-B	07:26	11:26	16:31		
大清台-B	07:27	11:27	16:32		
大根布六丁目-B	07:28	11:28	16:33		
鶴ケ丘五丁目-B	07:29	11:29	16:34		
鶴ケ丘四丁目（内灘駅方向）	07:30	11:30	16:35		
向陽台（清湖大橋方向）	07:32	11:32	16:37		
運転免許センター-B	-	-	-		
湊二丁目-B	-	-	-		
湊運動公園前-B	-	-	-		
東蚊爪西-B	07:34	11:34	16:39		
みずき四丁目-B	07:38	11:38	16:43		
みずき三丁目-B	07:39	11:39	16:44		
みずき二丁目-B	07:40	11:40	16:45		
みずき一丁目-B	07:41	11:41	16:46		
木越住宅（郊外方向）	07:42	11:42	16:47		
木越-A	07:43	11:43	16:48		
千田町-B	07:45	11:45	16:50		
ＪＡ市本所前-B	07:47	11:47	16:52		
田中南口-B	07:49	11:49	16:54		
田中口-B	07:50	11:50	16:55		
高柳一丁目（旧ルネス前）	-	-	-		
金沢社会保険病院	-	-	-		
北安江-B	-	-	-		
金沢駅西口降車	-	-	-		
高柳-B	07:51	11:51	16:56		
乙丸-B	07:52	11:52	16:57		
東警察署前（彦三方向）	07:53	11:53	16:58		
元町二丁目-B	07:54	11:54	16:59		
小橋町-B	07:55	11:55	17:00		
瓢箪町-B	07:56	11:56	17:01		
彦三-B	07:57	11:57	17:02		
武蔵ヶ辻（三井住友銀行前）	07:58	11:58	17:03		
南町-A	07:59	11:59	17:04		
香林坊（中央公園前）	08:12	12:12	17:17		
