始発停留所	香林坊（日銀前）	香林坊（日銀前）	香林坊（日銀前）		
始発時間	12:35	15:25	18:10		
終点時間	13:22	16:12	18:57		
終点停留所	医大病院-A	医大病院-A	医大病院-A		
備考	ノンステップバス	ノンステップバス	ノンステップバス		
香林坊（日銀前）	12:35	15:25	18:10		
南町-B	12:37	15:27	18:12		
武蔵ヶ辻（めいてつエムザ前）	12:38	15:28	18:13		
彦三-A	12:40	15:30	18:15		
瓢箪町-A	12:41	15:31	18:16		
小橋町-A	12:42	15:32	18:17		
金沢駅西口【７】	-	-	-		
元町二丁目-A	12:43	15:33	18:18		
東警察署前（高柳方向）	12:44	15:34	18:19		
乙丸-A	12:45	15:35	18:20		
高柳-A	12:47	15:37	18:22		
北安江-A	-	-	-		
金沢社会保険病院	-	-	-		
高柳一丁目（旧ルネス向）	-	-	-		
田中口-A	12:48	15:38	18:23		
田中南口-A	12:50	15:40	18:25		
ＪＡ市本所前-A	12:52	15:42	18:27		
千田町-A	12:53	15:43	18:28		
木越-B	12:55	15:45	18:30		
木越住宅（市内方向）	12:56	15:46	18:31		
みずき一丁目-A	12:57	15:47	18:32		
みずき二丁目-A	12:58	15:48	18:33		
みずき三丁目-A	12:59	15:49	18:34		
みずき四丁目-A	13:00	15:50	18:35		
みずき四丁目-B	-	-	-		
東蚊爪西-A	13:02	15:52	18:37		
湊運動公園前-A	-	-	-		
湊二丁目-A	-	-	-		
運転免許センター-B	-	-	-		
向陽台（能登特急線）	13:05	15:55	18:40		
鶴ケ丘四丁目（医大方向）	13:07	15:57	18:42		
鶴ケ丘五丁目-A	13:08	15:58	18:43		
大根布六丁目-A	13:09	15:59	18:44		
大清台-A	13:10	16:00	18:45		
大学前-A	13:11	16:01	18:46		
医大病院-A	13:22	16:12	18:57		
