始発停留所	柳田-B	宇出津駅前-B	宇出津駅前-B	宇出津駅前-B	宇出津駅前-B	宇出津駅前-B	宇出津駅前-B	宇出津駅前-B	能登高校南	能登高校南	能登高校南				
始発時間	06:52	07:20	08:20	09:10	10:50	12:50	15:10	16:15	17:35	18:20	19:25				
終点時間	07:54	08:39	09:39	10:29	11:31	14:09	16:29	17:29	18:54	19:06	20:11				
終点停留所	市立輪島病院-A	市立輪島病院-A	市立輪島病院-A	市立輪島病院-A	曽々木口-B	市立輪島病院-A	市立輪島病院-A	輪島駅前-G	輪島駅前-G	曽々木口-B	曽々木口-B				
備考															
能登高校南									17:35	18:20	19:25				
辺田の浜-B									17:37	18:22	19:27				
能登田町-A									17:38	18:23	19:28				
宇出津病院前-A									17:39	18:24	19:29				
宇出津駅前-B		07:20	08:20	09:10	10:50	12:50	15:10	16:15	17:40	18:25	19:30				
梅の木-B		07:21	08:21	09:11	10:51	12:51	15:11	16:16	17:41	18:26	19:31				
平体口		07:22	08:22	09:12	10:52	12:52	15:12	16:17	17:42	18:27	19:32				
長坂		07:24	08:24	09:14	10:54	12:54	15:14	16:19	17:44	18:29	19:34				
立ケ谷内-A		07:26	08:26	09:16	10:56	12:56	15:16	16:21	17:46	18:31	19:36				
中又-A		07:28	08:28	09:18	10:58	12:58	15:18	16:23	17:48	18:33	19:38				
柳田上町-B		07:30	08:30	09:20	11:00	13:00	15:20	16:25	17:50	18:35	19:40				
上町公民館前-B		07:31	08:31	09:21	11:01	13:01	15:21	16:26	17:51	18:36	19:41				
柳田天坂-B		07:32	08:32	09:22	11:02	13:02	15:22	16:27	17:52	18:37	19:42				
天坂橋-B		07:33	08:33	09:23	11:03	13:03	15:23	16:28	17:53	18:38	19:43				
笹川-B		07:35	08:35	09:25	11:05	13:05	15:25	16:30	17:55	18:40	19:45				
笹川橋-B		07:36	08:36	09:26	11:06	13:06	15:26	16:31	17:56	18:41	19:46				
柳田-B	06:52	07:37	08:37	09:27	11:07	13:07	15:27	16:32	17:57	18:42	19:47				
石井-B	06:53	07:38	08:38	09:28	11:08	13:08	15:28	16:33	17:58	18:43	19:48				
国光-B	06:54	07:39	08:39	09:29	11:09	13:09	15:29	16:34	17:59	18:44	19:49				
鴨川-B	06:55	07:40	08:40	09:30	11:10	13:10	15:30	16:35	18:00	18:45	19:50				
小間生-B	06:57	07:42	08:42	09:32	11:12	13:12	15:32	16:37	18:02	18:47	19:52				
下出-B	06:58	07:43	08:43	09:33	11:13	13:13	15:33	16:38	18:03	18:48	19:53				
長尾-B	06:59	07:44	08:44	09:34	11:14	13:14	15:34	16:39	18:04	18:49	19:54				
円山-B	07:00	07:45	08:45	09:35	11:15	13:15	15:35	16:40	18:05	18:50	19:55				
法安-B	07:01	07:46	08:46	09:36	11:16	13:16	15:36	16:41	18:06	18:51	19:56				
眞久-B	07:03	07:48	08:48	09:38	11:18	13:18	15:38	16:43	18:08	18:53	19:58				
若桑-B	07:05	07:50	08:50	09:40	11:20	13:20	15:40	16:45	18:10	18:55	20:00				
桶戸-B	07:06	07:51	08:51	09:41	11:21	13:21	15:41	16:46	18:11	18:56	20:01				
粟蔵-B	07:07	07:52	08:52	09:42	11:22	13:22	15:42	16:47	18:12	18:58	20:03				
町野-B	07:09	07:54	08:54	09:44	11:24	13:24	15:44	16:49	18:14	18:59	20:04				
広江-B	07:10	07:55	08:55	09:45	11:25	13:25	15:45	16:50	18:15	19:00	20:05				
下広江-B	07:11	07:56	08:56	09:46	11:26	13:26	15:46	16:51	18:16	19:01	20:06				
寺地-B	07:12	07:57	08:57	09:47	11:27	13:27	15:47	16:52	18:17	19:02	20:07				
敷戸-B	07:13	07:58	08:58	09:48	11:28	13:28	15:48	16:53	18:18	19:03	20:08				
