始発停留所	市立輪島病院-A	市立輪島病院-A	市立輪島病院-A	市立輪島病院-A	
始発時間	14:50	16:45	17:45	19:10	
終点時間	16:09	18:04	19:04	20:12	
終点停留所	宇出津駅前-B	宇出津駅前-B	宇出津駅前-B	柳田-A	
備考					
市立輪島病院-A	14:50	16:45	17:45	19:10	
輪島駅前【３】	14:55	16:50	17:50	19:15	
馬場町-C	14:57	16:52	17:52	19:17	
弥生町-A	14:58	16:53	17:53	19:18	
塚田-A	14:59	16:54	17:54	19:19	
稲舟-A	15:00	16:55	17:55	19:20	
菰沢-A	15:02	16:57	17:57	19:22	
寝豚-A	15:03	16:58	17:58	19:23	
岡塚-A	15:05	17:00	18:00	19:25	
高州山口	15:06	17:01	18:01	19:26	
惣領-A	15:07	17:02	18:02	19:27	
打越-A	15:08	17:03	18:03	19:28	
大谷内-A	15:10	17:05	18:05	19:30	
鷲岳-A	15:11	17:06	18:06	19:31	
納見-A	15:13	17:08	18:08	19:33	
白米-A	15:15	17:10	18:10	19:35	
名舟-A	15:16	17:11	18:11	19:36	
南志見-A	15:18	17:13	18:13	19:38	
渋田口-A	15:20	17:15	18:15	19:40	
大川-A	15:24	17:19	18:19	19:44	
河原-B	15:26	17:21	18:21	19:46	
曽々木口-A	15:28	17:23	18:23	19:48	
下時国-A	15:29	17:24	18:24	19:49	
上時国-A	15:30	17:25	18:25	19:50	
敷戸-A	15:31	17:26	18:26	19:51	
寺地-A	15:32	17:27	18:27	19:52	
下広江-A	15:33	17:28	18:28	19:53	
広江-A	15:34	17:29	18:29	19:54	
町野-A	15:35	17:30	18:30	19:55	
粟蔵-A	15:36	17:31	18:31	19:56	
桶戸-A	15:38	17:33	18:33	19:58	
若桑-A	15:39	17:34	18:34	19:59	
眞久-B	15:40	17:35	18:35	20:00	
法安-A	15:42	17:37	18:37	20:02	
円山-A	15:44	17:39	18:39	20:04	
長尾-A	15:45	17:40	18:40	20:05	
下出-A	15:46	17:41	18:41	20:06	
小間生-A	15:47	17:42	18:42	20:07	
鴨川-A	15:49	17:44	18:44	20:09	
国光-B	15:50	17:45	18:45	20:10	
石井-A	15:51	17:46	18:46	20:11	
柳田-A	15:52	17:47	18:47	20:12	
笹川橋-A	15:53	17:48	18:48		
笹川-A	15:54	17:49	18:49		
天坂橋-A	15:55	17:50	18:50		
柳田天坂-A	15:57	17:52	18:52		
上町公民館前-A	15:58	17:53	18:53		
柳田上町-A	15:59	17:54	18:54		
中又-A	16:01	17:56	18:56		
立ケ谷内-A	16:03	17:58	18:58		
長坂	16:05	18:00	19:00		
平体口	16:07	18:02	19:02		
梅の木-B	16:08	18:03	19:03		
宇出津駅前-A	-	-	-		
宇出津駅前-B	16:09	18:04	19:04		
宇出津病院前-B					
能登田町-B					
辺田の浜-B					
能登高校南					
