始発停留所	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B		
始発時間	07:31	09:25	11:20	13:20	15:10	16:50	18:36	19:53		
終点時間	08:11	10:08	12:03	14:03	15:53	17:33	19:16	20:33		
終点停留所	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅		
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		
野町駅-B	07:31	09:25	11:20	13:20	15:10	16:50	18:36	19:53		
広小路（有松から）	07:33	09:27	11:22	13:22	15:12	16:52	18:38	19:55		
片町	07:36	09:30	11:25	13:25	15:15	16:55	18:41	19:58		
香林坊（日銀前）	07:37	09:31	11:26	13:26	15:16	16:56	18:42	19:59		
南町-B	07:38	09:32	11:27	13:27	15:17	16:57	18:43	20:00		
武蔵ヶ辻（めいてつエムザ前）	07:40	09:34	11:29	13:29	15:19	16:59	18:45	20:02		
武蔵ヶ辻（ホリデイ・イン金沢前）	07:40	09:34	11:29	13:29	15:19	16:59	18:45	20:02		
六枚町（金石方向）	07:43	09:37	11:32	13:32	15:22	17:02	18:48	20:05		
広岡口（朱鷺の苑前）	07:45	09:39	11:34	13:34	15:24	17:04	18:50	20:07		
金沢駅西口降車	07:49	09:43	11:38	13:38	15:28	17:08	18:54	20:11		
金沢駅西口【６】	07:49	09:43	11:38	13:38	15:28	17:08	18:54	20:11		
広岡-A	07:51	09:45	11:40	13:40	15:30	17:10	18:56	20:13		
西念南-A	07:52	09:46	11:41	13:41	15:31	17:11	18:57	20:14		
西念西-A	07:53	09:47	11:42	13:42	15:32	17:12	18:58	20:15		
駅西合庁前（西念南から）	07:54	09:48	11:43	13:43	15:33	17:13	18:59	20:16		
中央病院前	-	-	-	-	-	-	-	-		
映寿会みらい病院	-	-	-	-	-	-	-	-		
県庁前-A	07:57	09:51	11:46	13:46	15:36	17:16	19:02	20:19		
藤江北-A	07:58	09:52	11:47	13:47	15:37	17:17	19:03	20:20		
市立工業高校東口	-	-	-	-	-	-	-	-		
金沢西高校-A	-	-	-	-	-	-	-	-		
工業試験場	-	-	-	-	-	-	-	-		
松村-A	07:59	09:53	11:48	13:48	15:38	17:18	19:04	20:21		
市立工業高校前-A	08:00	09:54	11:49	13:49	15:39	17:19	19:05	20:22		
畝田-A	08:01	09:55	11:50	13:50	15:40	17:20	19:06	20:23		
畝田西-A	08:02	09:56	11:51	13:51	15:41	17:21	19:07	20:24		
畝田中-A	08:02	09:56	11:51	13:51	15:41	17:21	19:07	20:24		
畝田中三丁目-A	08:03	09:57	11:52	13:52	15:42	17:22	19:08	20:25		
畝田住宅	08:11	10:08	12:03	14:03	15:53	17:33	19:16	20:33		
観音堂-A										
寺中-A										
西警察署前-A										
金石-A										
金石東-A										
金石北-A										
桂町-A										
桂町東（大野港方向）										
大野港（始発）										
