始発停留所	金沢駅【９】	鶴来駅-C	金沢駅【９】		
始発時間	09:20	16:55	17:40		
終点時間	11:09	18:02	19:29		
終点停留所	白山体験村	白山体験村	白山体験村		
備考					
金沢駅【９】	09:20		17:40		
リファーレ前-A	09:22		17:42		
武蔵ヶ辻（近江町市場前）	09:25		17:45		
南町-A	09:27		17:47		
香林坊（アトリオ前）	09:29		17:49		
片町（パシオン前）	09:32		17:52		
広小路（有松方向）	09:34		17:54		
野町-A	09:35		17:55		
泉一丁目-A	09:36		17:56		
泉二丁目-A	09:37		17:57		
有松（寺地方向）	09:39		17:59		
上有松-A	09:40		18:00		
有松四丁目-A	09:41		18:01		
久安大橋-A	09:42		18:02		
久安南-A	09:43		18:03		
横川四丁目-A	09:44		18:04		
横川三丁目-A	09:45		18:05		
横宮-A	09:46		18:06		
野々市中央-A	09:47		18:07		
西野々市-C	09:48		18:08		
南野々市-A	09:49		18:09		
菅原町-A	09:50		18:10		
矢作-A	09:51		18:11		
粟田北-A	09:52		18:12		
粟田-A	09:53		18:13		
下新庄-A	09:54		18:14		
上新庄-A	09:55		18:15		
部入道口-A	09:56		18:16		
熱野-A	09:57		18:17		
曽谷-A	09:58		18:18		
道法寺-A	09:59		18:19		
井ノ口-A	10:00		18:20		
小柳	10:01		18:21		
月橋	10:02		18:22		
白山警察署鶴来庁舎前-A	10:03		18:23		
鶴来支所前-A	10:04		18:24		
鶴来駅-C	10:10	16:55	18:30		
鶴来本町-A	10:12	16:57	18:32		
白山青年の家前-A	10:13	16:58	18:33		
今町-A	10:14	16:59	18:34		
一の宮-A	10:15	17:01	18:35		
白山町	10:16	17:02	18:36		
白山町中	10:17	17:03	18:37		
石川県浄水場口	10:18	17:04	18:38		
南白山町	10:19	17:05	18:39		
中島	10:20	17:06	18:40		
口直海-B	10:21	17:08	18:41		
河内支所前	10:21	17:08	18:41		
ふじが丘-A	10:22	17:09	18:42		
下福岡	10:23	17:10	18:43		
上福岡	10:24	17:11	18:44		
きりの里	10:24	17:11	18:44		
江津	10:25	17:12	18:45		
吉岡	10:26	17:14	18:46		
黄門橋	10:27	17:15	18:47		
吉野工芸の里-A	10:28	17:16	18:48		
下吉野	10:29	17:17	18:49		
上吉野	10:30	17:19	18:50		
不老峡	10:31	17:20	18:51		
佐良	10:33	17:22	18:53		
瀬波橋	10:34	17:23	18:54		
市原	10:35	17:24	18:55		
下木滑	10:36	17:25	18:56		
上木滑-C	10:37	17:26	18:57		
木滑新	10:38	17:27	18:58		
瀬戸野	10:40	17:29	19:00		
瀬女-A	10:41	17:30	19:01		
尾口支所前	10:43	17:32	19:03		
東二口	10:46	17:35	19:06		
手取ダム前	10:48	17:37	19:08		
深瀬	10:53	17:42	19:13		
桑島	10:59	17:48	19:19		
桑島温泉	11:00	17:49	19:20		
白峰北口	11:03	17:52	19:23		
白峰	11:04	17:53	19:24		
白峰車庫-A	11:05	17:54	19:25		
白山体験村	11:09	18:02	19:29		
