始発停留所	五十洲	五十洲			
始発時間	09:00	13:50			
終点時間	09:32	14:22			
終点停留所	門前-A	門前-A			
備考					
五十洲	09:00	13:50			
鵜山	09:01	13:51			
七浦農協前	09:02	13:52			
皆月-A	09:03	13:53			
百成大角間-A	09:04	13:54			
井守上坂-A	09:06	13:56			
薄野-A	09:12	14:02			
清土-A	09:16	14:06			
濁池-A	09:17	14:07			
日砂子-A	09:19	14:09			
上中野屋-A	09:21	14:11			
中野屋-A	09:22	14:12			
浦上-B	09:24	14:14			
正仏-B	09:25	14:15			
田村-A	09:26	14:16			
本市口-A	09:27	14:17			
本市-A	09:28	14:18			
保健センター前-A	09:29	14:19			
広瀬-A	09:30	14:20			
日野尾-A	09:31	14:21			
門前-A	09:32	14:22			
