始発停留所	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	星稜高校（駐車場内）	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	
始発時間	07:15	07:50	08:25	09:05	10:05	11:20	12:20	12:35	13:50	15:05	16:20	17:35	18:50	20:03	
終点時間	07:50	08:25	09:00	09:40	10:40	11:55	12:26	13:10	14:25	15:40	16:55	18:10	19:23	20:36	
終点停留所	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	
備考			ノンステップバス		ノンステップバス	ノンステップバス	学期休み期間、運休	ノンステップバス							
金大附校自衛隊前-B															
平和町市立病院	07:15	07:50	08:25	09:05	10:05	11:20		12:35	13:50	15:05	16:20	17:35	18:50	20:03	
平和町（柳橋方向）	07:15	07:50	08:25	09:05	10:05	11:20		12:35	13:50	15:05	16:20	17:35	18:50	20:03	
十一屋-B	07:16	07:51	08:26	09:06	10:06	11:21		12:36	13:51	15:06	16:21	17:36	18:51	20:04	
寺町一丁目（猿丸神社前方向）	07:17	07:52	08:27	09:07	10:07	11:22		12:37	13:52	15:07	16:22	17:37	18:52	20:05	
菊川一丁目-B	07:18	07:53	08:28	09:08	10:08	11:23		12:38	13:53	15:08	16:23	17:38	18:53	20:06	
猿丸神社前（小立野方向）	07:20	07:55	08:30	09:10	10:10	11:25		12:40	13:55	15:10	16:25	17:40	18:55	20:08	
笠舞三丁目-B	07:21	07:56	08:31	09:11	10:11	11:26		12:41	13:56	15:11	16:26	17:41	18:56	20:09	
石引二丁目-B	07:22	07:57	08:32	09:12	10:12	11:27		12:42	13:57	15:12	16:27	17:42	18:57	20:10	
小立野-B	07:24	07:59	08:34	09:14	10:14	11:29		12:44	13:59	15:14	16:29	17:44	18:59	20:12	
小立野大学病院前（降車場）	07:26	08:01	08:36	09:16	10:16	11:31		12:46	14:01	15:16	16:31	17:46	-	-	
小立野大学病院前	07:26	08:01	08:36	09:16	10:16	11:31		12:46	14:01	15:16	16:31	17:46	-	-	
石引町-B	07:27	08:02	08:37	09:17	10:17	11:32		12:47	14:02	15:17	16:32	17:47	19:00	20:13	
出羽町-B	07:28	08:03	08:38	09:18	10:18	11:33		12:48	14:03	15:18	16:33	17:48	19:01	20:14	
兼六園下（北鉄車庫前）	-	-	-	-	-	-		-	-	-	-	-	-	-	
兼六園下（観光物産館前）	07:31	08:06	08:41	09:21	10:21	11:36		12:51	14:06	15:21	16:36	17:51	19:04	20:17	
橋場町（金城楼向い）	07:33	08:08	08:43	09:23	10:23	11:38		12:53	14:08	15:23	16:38	17:53	19:06	20:19	
橋場町（主計町入口）	07:33	08:08	08:43	09:23	10:23	11:38		12:53	14:08	15:23	16:38	17:53	19:06	20:19	
東山-A	07:35	08:10	08:45	09:25	10:25	11:40		12:55	14:10	15:25	16:40	17:55	19:08	20:21	
森山-A	07:36	08:11	08:46	09:26	10:26	11:41		12:56	14:11	15:26	16:41	17:56	19:09	20:22	
山の上（鳴和方向）	07:37	08:12	08:47	09:27	10:27	11:42		12:57	14:12	15:27	16:42	17:57	19:10	20:23	
春日町（山の上から）	07:38	08:13	08:48	09:28	10:28	11:43		12:58	14:13	15:28	16:43	17:58	19:11	20:24	
鳴和-A	07:40	08:15	08:50	09:30	10:30	11:45		13:00	14:15	15:30	16:45	18:00	19:13	20:26	
小坂-A	07:41	08:16	08:51	09:31	10:31	11:46		13:01	14:16	15:31	16:46	18:01	19:14	20:27	
小坂西-A	07:42	08:17	08:52	09:32	10:32	11:47		13:02	14:17	15:32	16:47	18:02	19:15	20:28	
星稜高校（駐車場内）	-	-	-	-	-	-	12:20	-	-	-	-	-	-	-	
東金沢駅東口-B	07:43	08:18	08:53	09:33	10:33	11:48	-	13:03	14:18	15:33	16:48	18:03	19:16	20:29	
東金沢駅	07:50	08:25	09:00	09:40	10:40	11:55	12:26	13:10	14:25	15:40	16:55	18:10	19:23	20:36	
小坂中-A															
神谷内-A															
柳橋-A															
