始発停留所	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	
始発時間	06:40	07:15	07:30	07:50	08:30	09:30	10:45	12:00	13:15	14:30	15:45	17:00	18:15	19:30	
終点時間	07:15	07:50	07:36	08:25	09:05	10:05	11:20	12:35	13:50	15:05	16:20	17:35	18:48	20:03	
終点停留所	平和町市立病院	平和町市立病院	星稜高校（駐車場内）	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	
備考			学期休み期間、運休
ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス							
今町（新道）															
観法寺-B															
南森本-B															
森本駅前-B															
百坂-B															
法光寺-B															
柳橋（森本から）															
柳橋（始発）															
神谷内-B															
小坂中-B															
東金沢駅	06:40	07:15	07:30	07:50	08:30	09:30	10:45	12:00	13:15	14:30	15:45	17:00	18:15	19:30	
東金沢駅東口-A	06:41	07:16	-	07:51	08:31	09:31	10:46	12:01	13:16	14:31	15:46	17:01	18:16	19:31	
小坂西-B	06:41	07:16	-	07:51	08:31	09:31	10:46	12:01	13:16	14:31	15:46	17:01	18:16	19:31	
星稜高校（駐車場内）	-	-	07:36	-	-	-	-	-	-	-	-	-	-	-	
小坂-B	06:42	07:17		07:52	08:32	09:32	10:47	12:02	13:17	14:32	15:47	17:02	18:17	19:32	
鳴和-B	06:43	07:18		07:53	08:33	09:33	10:48	12:03	13:18	14:33	15:48	17:03	18:18	19:33	
春日町（山の上方向）	06:44	07:19		07:54	08:34	09:34	10:49	12:04	13:19	14:34	15:49	17:04	18:19	19:34	
山の上（橋場方向）	06:45	07:20		07:55	08:35	09:35	10:50	12:05	13:20	14:35	15:50	17:05	18:20	19:35	
森山-B	06:46	07:21		07:56	08:36	09:36	10:51	12:06	13:21	14:36	15:51	17:06	18:21	19:36	
東山-B	06:47	07:22		07:57	08:37	09:37	10:52	12:07	13:22	14:37	15:52	17:07	18:22	19:37	
橋場町（交番前）	06:49	07:24		07:59	08:39	09:39	10:54	12:09	13:24	14:39	15:54	17:09	18:24	19:39	
橋場町（金城楼前）	06:49	07:24		07:59	08:39	09:39	10:54	12:09	13:24	14:39	15:54	17:09	18:24	19:39	
兼六園下（県駐車場前）	06:51	07:26		08:01	08:41	09:41	10:56	12:11	13:26	14:41	15:56	17:11	18:26	19:41	
出羽町-A	06:54	07:29		08:04	08:44	09:44	10:59	12:14	13:29	14:44	15:59	17:14	18:29	19:44	
石引町-A	06:55	07:30		08:05	08:45	09:45	11:00	12:15	13:30	14:45	16:00	17:15	18:30	19:45	
小立野大学病院前（降車場）	06:57	07:32		08:07	08:47	09:47	11:02	12:17	13:32	14:47	16:02	17:17	-	-	
小立野大学病院前	06:57	07:32		08:07	08:47	09:47	11:02	12:17	13:32	14:47	16:02	17:17	-	-	
小立野-A	06:59	07:34		08:09	08:49	09:49	11:04	12:19	13:34	14:49	16:04	17:19	18:31	19:46	
石引二丁目-A	07:00	07:35		08:10	08:50	09:50	11:05	12:20	13:35	14:50	16:05	17:20	18:32	19:47	
笠舞三丁目-A	07:01	07:36		08:11	08:51	09:51	11:06	12:21	13:36	14:51	16:06	17:21	18:33	19:48	
猿丸神社前（寺町方向）	07:02	07:37		08:12	08:52	09:52	11:07	12:22	13:37	14:52	16:07	17:22	18:34	19:49	
菊川一丁目-A	07:03	07:38		08:13	08:53	09:53	11:08	12:23	13:38	14:53	16:08	17:23	18:35	19:50	
寺町一丁目（猿丸神社前から）	07:05	07:40		08:15	08:55	09:55	11:10	12:25	13:40	14:55	16:10	17:25	18:37	19:52	
十一屋-A	07:07	07:42		08:17	08:57	09:57	11:12	12:27	13:42	14:57	16:12	17:27	18:39	19:54	
平和町（アルコ前）	-	-		-	-	-	-	-	-	-	-	-	-	-	
平和町市立病院	07:15	07:50		08:25	09:05	10:05	11:20	12:35	13:50	15:05	16:20	17:35	18:48	20:03	
金大附校自衛隊前-B															
天徳院前-A															
小立野三丁目-A															
崎浦公民館-A															
小立野一丁目-A															
錦町（湯涌）															
土清水口-A															
土清水-A															
土清水南-A															
舘山町-A															
辰巳丘高校-B															
