始発停留所	下安原-B	下安原-B	下安原-B	済生会病院	済生会病院	下安原-B	下安原-B	下安原-B	済生会病院	
始発時間	06:50	07:23	08:40	10:30	12:30	14:30	17:00	19:00	20:30	
終点時間	07:20	07:59	09:21	10:53	12:53	15:11	17:41	19:41	20:53	
終点停留所	金沢駅西口降車	金沢駅西口降車	金沢駅西口降車	金沢駅西口降車	金沢駅西口降車	金沢駅西口降車	金沢駅西口降車	金沢駅西口降車	金沢駅西口降車	
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
下安原-B	06:50	07:23	08:40			14:30	17:00	19:00		
下安原公民館前-B	06:52	07:31	08:48			14:38	17:08	19:08		
下安原西	06:53	07:32	08:49			14:39	17:09	19:09		
浜専光寺-B	06:55	07:34	-			-	-	-		
浜専光寺-A	-	-	08:51			14:41	17:11	19:11		
専光寺	06:56	07:35	-			-	-	-		
海浜公園口-B	-	-	08:53			14:43	17:13	19:13		
済生会病院	-	-	08:56	10:30	12:30	14:46	17:16	19:16	20:30	
稚日野（済生会病院から）	-	-	08:57	10:31	12:31	14:47	17:17	19:17	20:31	
稚日野（専光寺方向）	06:58	07:37	-	-	-	-	-	-	-	
袋畠西部緑地公園前-B	07:00	07:39	08:59	10:33	12:33	14:49	17:19	19:19	20:33	
示野雪吊橋-B	07:02	07:41	09:01	10:35	12:35	14:51	17:21	19:21	20:35	
示野機器団地-B	07:03	07:42	09:02	10:36	12:36	14:52	17:22	19:22	20:36	
示野ショッピングセンター-B	07:05	07:44	09:04	10:38	12:38	14:54	17:24	19:24	20:38	
中示野-B	07:06	07:45	09:05	10:39	12:39	14:55	17:25	19:25	20:39	
桜田-B	07:07	07:46	09:06	10:40	12:40	14:56	17:26	19:26	20:40	
出雲	07:08	07:47	09:07	10:41	12:41	14:57	17:27	19:27	20:41	
二口-B	07:09	07:48	09:08	10:42	12:42	14:58	17:28	19:28	20:42	
駅西本町-B	07:12	07:51	09:11	10:45	12:45	15:01	17:31	19:31	20:45	
駅西消防署前-B	07:13	07:52	09:12	10:46	12:46	15:02	17:32	19:32	20:46	
広岡-B	07:14	07:53	09:13	10:47	12:47	15:03	17:33	19:33	20:47	
金沢駅西口降車	07:20	07:59	09:21	10:53	12:53	15:11	17:41	19:41	20:53	
