始発停留所	金沢駅西口【７】	金沢駅西口【７】			
始発時間	16:30	18:30			
終点時間	16:58	18:53			
終点停留所	下安原-B	下安原-B			
備考	ノンステップバス	ノンステップバス			
金沢駅西口【７】	16:30	18:30			
広岡-A	16:31	18:31			
駅西消防署前-A	16:32	18:32			
駅西本町-A	16:33	18:33			
二口-A	16:35	18:35			
出雲	16:36	18:36			
桜田-A	16:37	18:37			
中示野-A	16:38	18:38			
示野ショッピングセンター-A	16:39	18:39			
示野機器団地-A	16:42	18:42			
示野雪吊橋-A	16:43	18:43			
袋畠西部緑地公園前-A	16:45	18:45			
稚日野（専光寺方向）	-	18:47			
稚日野（済生会病院方向）	16:47	-			
済生会病院	16:49	-			
海浜公園口-A	16:52	-			
専光寺	-	18:49			
浜専光寺-A	16:55	-			
浜専光寺-B	-	18:51			
下安原-B	16:58	18:53			
