始発停留所	金沢駅西口【７】	金沢駅西口【７】	金沢駅西口【７】	金沢駅西口【７】	金沢駅西口【７】	金沢駅西口【７】	金沢駅西口【７】	金沢駅西口【７】		
始発時間	06:55	08:05	10:00	12:00	14:00	16:30	18:30	20:00		
終点時間	07:23	08:33	10:23	12:23	14:28	16:58	18:53	20:23		
終点停留所	下安原-B	下安原-B	済生会病院	済生会病院	下安原-B	下安原-B	下安原-B	済生会病院		
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		
金沢駅西口【７】	06:55	08:05	10:00	12:00	14:00	16:30	18:30	20:00		
広岡-A	06:56	08:06	10:01	12:01	14:01	16:31	18:31	20:01		
駅西消防署前-A	06:57	08:07	10:02	12:02	14:02	16:32	18:32	20:02		
駅西本町-A	06:58	08:08	10:03	12:03	14:03	16:33	18:33	20:03		
二口-A	07:00	08:10	10:05	12:05	14:05	16:35	18:35	20:05		
出雲	07:01	08:11	10:06	12:06	14:06	16:36	18:36	20:06		
桜田-A	07:02	08:12	10:07	12:07	14:07	16:37	18:37	20:07		
中示野-A	07:03	08:13	10:08	12:08	14:08	16:38	18:38	20:08		
示野ショッピングセンター-A	07:04	08:14	10:09	12:09	14:09	16:39	18:39	20:09		
示野機器団地-A	07:07	08:17	10:12	12:12	14:12	16:42	18:42	20:12		
示野雪吊橋-A	07:08	08:18	10:13	12:13	14:13	16:43	18:43	20:13		
袋畠西部緑地公園前-A	07:10	08:20	10:15	12:15	14:15	16:45	18:45	20:15		
稚日野（専光寺方向）	-	-	-	-	-	-	18:47	-		
稚日野（済生会病院方向）	07:12	08:22	10:17	12:17	14:17	16:47	-	20:17		
済生会病院	07:14	08:24	10:23	12:23	14:19	16:49	-	20:23		
海浜公園口-A	07:17	08:27			14:22	16:52	-			
専光寺	-	-			-	-	18:49			
浜専光寺-A	07:20	08:30			14:25	16:55	-			
浜専光寺-B	-	-			-	-	18:51			
下安原-B	07:23	08:33			14:28	16:58	18:53			
