始発停留所	穴水駅前-D				
始発時間	18:34				
終点時間	19:31				
終点停留所	鵜川駅前-D				
備考					
穴水総合病院-A					
栄町-C					
大島町-B					
大町-B					
穴水駅前-D	18:34				
東町-A	18:36				
城山住宅前-A	18:38				
穴水高校口-A	18:39				
北七海-C	18:42				
麦ヶ浦-A	18:43				
下出-A	18:45				
中居北口-A	18:46				
中居南口-A	18:47				
西比良-A	18:49				
比良農協前-A	18:50				
比良	18:51				
旭ヶ丘２区-C	18:54				
市の坂-A	18:56				
小又-A	18:59				
女良川-A	19:00				
東山-A	19:02				
前波南-A	19:07				
前波口-B	19:08				
沖波口-B	19:10				
沖波-A	19:12				
沖波立戸浜-A	19:14				
沖波-A	19:15				
沖波口-B	19:17				
前波口-B	19:19				
前波集会所前-A	19:20				
宇加川-B	19:23				
花園口-B	19:24				
古君集会所前-B	19:25				
古君中町-B	19:26				
太田川-B	19:28				
竹太-A	19:29				
鵜川駅前-D	19:31				
