始発停留所	鵜川駅前-D	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A		
始発時間	07:28	08:00	09:40	12:28	14:35	15:37	16:50	18:20		
終点時間	08:41	09:30	11:11	14:00	16:05	17:07	18:13	19:43		
終点停留所	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B	穴水駅前-B	穴水駅前-B		
備考										
宇出津駅前-A		08:00	09:40	12:28	14:35	15:37	16:50	18:20		
宇出津病院前-B		08:01	09:41	12:29	14:36	15:38	16:51	18:21		
能登田町-B		08:02	09:42	12:30	14:37	15:39	16:52	18:22		
辺田の浜-B		08:03	09:43	-	14:38	15:40	16:53	18:23		
崎山-B		-	-	12:31	-	-	-	-		
能登高校南		08:05	-	12:33	-	-	-	-		
藤波駅口		08:06	09:44	12:34	14:39	15:41	16:54	18:24		
健民テニスコート前		08:07	09:45	12:35	14:40	15:42	16:55	18:25		
能登間島-B		08:08	09:46	12:36	14:41	15:43	16:56	18:26		
波並駅前-B		08:10	09:48	12:38	14:43	15:45	16:58	18:28		
三波		08:11	09:49	12:39	14:44	15:46	16:59	18:29		
矢波弁天-B		08:13	09:51	12:41	14:46	15:48	17:01	18:31		
なごみ-A		-	-	12:42	14:47	15:49	17:02	18:32		
能登七見		08:14	09:52	12:43	14:48	15:50	17:03	18:33		
能登桜木		08:15	09:53	12:44	14:49	15:51	17:04	18:34		
鵜川口-B		08:16	09:54	12:45	14:50	15:52	17:05	18:35		
鵜川駅前-D	07:28	08:17	09:55	12:46	14:51	15:53	17:06	18:36		
竹太-A	07:30	08:19	09:57	12:48	14:53	15:55	17:08	18:38		
太田川-B	07:31	08:20	09:58	12:49	14:54	15:56	17:09	18:39		
古君中町-B	07:33	08:22	10:00	12:51	14:56	15:58	17:11	18:41		
古君集会所前-B	07:34	08:23	10:01	12:52	14:57	15:59	17:12	18:42		
花園口-B	07:35	08:24	10:02	12:53	14:58	16:00	17:13	18:43		
宇加川-B	07:36	08:25	10:03	12:54	14:59	16:01	17:14	18:44		
前波集会所前-A	07:38	08:27	10:05	12:56	15:01	16:03	17:16	18:46		
前波口-B	07:39	08:28	10:06	12:57	15:02	16:04	17:17	18:47		
沖波口-B	07:40	08:29	10:07	12:58	15:03	16:05	17:18	18:48		
沖波-A	07:42	08:31	10:09	13:00	15:05	16:07	17:20	18:50		
沖波立戸浜-A	07:43	08:32	10:10	13:01	15:06	16:08	17:21	18:51		
沖波宮の下-A	07:44	08:33	10:11	13:02	15:07	16:09	17:22	18:52		
黒崎-A	07:49	08:38	10:16	13:07	15:12	16:14	17:27	18:57		
兜診療所前-B	07:50	08:39	10:17	13:08	15:13	16:15	17:28	18:58		
農協甲支店前-A	07:51	08:40	10:18	13:09	15:14	16:16	17:29	18:59		
兜小学校前-B	07:54	08:43	10:21	13:12	15:17	16:19	17:32	19:02		
曽良東-A	07:55	08:44	10:22	13:13	15:18	16:20	17:33	19:03		
曽良-B	07:56	08:45	10:23	13:14	15:19	16:21	17:34	19:04		
鹿波東	08:04	08:53	10:31	13:22	15:27	16:29	17:42	19:12		
鹿波	08:05	08:54	10:32	13:23	15:28	16:30	17:43	19:13		
旭ヶ丘口	08:07	08:56	10:34	13:25	15:30	16:32	17:45	19:15		
椿崎口	08:08	08:57	10:35	13:26	15:31	16:33	17:46	19:16		
椿崎マリーナ	08:10	08:59	10:37	13:28	15:33	16:35	17:48	19:18		
穴水聖頌園前-B	08:12	09:01	10:39	13:30	15:35	16:37	17:50	19:20		
東岩車-B	08:13	09:02	10:40	13:31	15:36	16:38	17:51	19:21		
岩車-B	08:14	09:03	10:41	13:32	15:37	16:39	17:52	19:22		
能登川尻-B	08:17	09:06	10:44	13:35	15:40	16:42	17:55	19:25		
向洋中学校-B	08:18	09:07	10:45	13:36	15:41	16:43	17:56	19:26		
比良農協前-B	08:19	09:08	10:46	13:37	15:42	16:44	17:57	19:27		
西比良-B	08:20	09:09	10:47	13:38	15:43	16:45	17:58	19:28		
向洋小学校-B	-	-	-	13:40	15:45	16:47	-	-		
中居南口-B	08:22	09:11	10:49	13:41	15:46	16:48	18:00	19:30		
中居北口-B	08:23	09:12	10:50	13:42	15:47	16:49	18:01	19:31		
下出-B	08:24	09:13	10:51	13:43	15:48	16:50	18:02	19:32		
麦ヶ浦-B	08:26	09:15	10:53	13:45	15:50	16:52	18:04	19:34		
北七海-B	08:27	09:16	10:54	13:46	15:51	16:53	18:05	19:35		
穴水高校口-B	08:30	09:19	10:57	13:49	15:54	16:56	18:08	19:38		
城山住宅前-B	08:31	09:20	10:58	13:50	15:55	16:57	18:09	19:39		
大町東-B	-	-	11:01	-	-	-	-	-		
穴水小学校前-B	-	-	11:03	-	-	-	-	-		
東町-B	08:33	09:22	-	13:52	15:57	16:59	18:11	19:41		
穴水駅前-B	-	-	-	-	-	-	18:13	19:43		
穴水駅前-D	08:35	09:24	11:05	13:54	15:59	17:01				
大町-A	08:37	09:26	11:07	13:56	16:01	17:03				
大島町-A	08:38	09:27	11:08	13:57	16:02	17:04				
栄町-C	08:39	09:28	11:09	13:58	16:03	17:05				
穴水総合病院-B	08:41	09:30	11:11	14:00	16:05	17:07				
