始発停留所	鵜川駅前-D	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A				
始発時間	07:28	08:00	09:40	12:28	14:35	15:37				
終点時間	08:41	09:30	11:11	14:00	16:05	17:07				
終点停留所	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B				
備考										
宇出津駅前-A		08:00	09:40	12:28	14:35	15:37				
宇出津病院前-B		08:01	09:41	12:29	14:36	15:38				
能登田町-B		08:02	09:42	12:30	14:37	15:39				
辺田の浜-B		08:03	09:43	-	14:38	15:40				
崎山-B		-	-	12:31	-	-				
能登高校南		08:05	-	12:33	-	-				
藤波駅口		08:06	09:44	12:34	14:39	15:41				
健民テニスコート前		08:07	09:45	12:35	14:40	15:42				
能登間島-B		08:08	09:46	12:36	14:41	15:43				
波並駅前-B		08:10	09:48	12:38	14:43	15:45				
三波		08:11	09:49	12:39	14:44	15:46				
矢波弁天-B		08:13	09:51	12:41	14:46	15:48				
なごみ-A		-	-	12:42	14:47	15:49				
能登七見		08:14	09:52	12:43	14:48	15:50				
能登桜木		08:15	09:53	12:44	14:49	15:51				
鵜川口-B		08:16	09:54	12:45	14:50	15:52				
鵜川駅前-D	07:28	08:17	09:55	12:46	14:51	15:53				
竹太-A	07:30	08:19	09:57	12:48	14:53	15:55				
太田川-B	07:31	08:20	09:58	12:49	14:54	15:56				
古君中町-B	07:33	08:22	10:00	12:51	14:56	15:58				
古君集会所前-B	07:34	08:23	10:01	12:52	14:57	15:59				
花園口-B	07:35	08:24	10:02	12:53	14:58	16:00				
宇加川-B	07:36	08:25	10:03	12:54	14:59	16:01				
前波集会所前-A	07:38	08:27	10:05	12:56	15:01	16:03				
前波口-B	07:39	08:28	10:06	12:57	15:02	16:04				
沖波口-B	07:40	08:29	10:07	12:58	15:03	16:05				
沖波-A	07:42	08:31	10:09	13:00	15:05	16:07				
沖波立戸浜-A	07:43	08:32	10:10	13:01	15:06	16:08				
沖波宮の下-A	07:44	08:33	10:11	13:02	15:07	16:09				
黒崎-A	07:49	08:38	10:16	13:07	15:12	16:14				
兜診療所前-B	07:50	08:39	10:17	13:08	15:13	16:15				
農協甲支店前-A	07:51	08:40	10:18	13:09	15:14	16:16				
兜小学校前-B	07:54	08:43	10:21	13:12	15:17	16:19				
曽良東-A	07:55	08:44	10:22	13:13	15:18	16:20				
曽良-B	07:56	08:45	10:23	13:14	15:19	16:21				
鹿波東	08:04	08:53	10:31	13:22	15:27	16:29				
鹿波	08:05	08:54	10:32	13:23	15:28	16:30				
旭ヶ丘口	08:07	08:56	10:34	13:25	15:30	16:32				
椿崎口	08:08	08:57	10:35	13:26	15:31	16:33				
椿崎マリーナ	08:10	08:59	10:37	13:28	15:33	16:35				
穴水聖頌園前-B	08:12	09:01	10:39	13:30	15:35	16:37				
東岩車-B	08:13	09:02	10:40	13:31	15:36	16:38				
岩車-B	08:14	09:03	10:41	13:32	15:37	16:39				
能登川尻-B	08:17	09:06	10:44	13:35	15:40	16:42				
向洋中学校-B	08:18	09:07	10:45	13:36	15:41	16:43				
比良農協前-B	08:19	09:08	10:46	13:37	15:42	16:44				
西比良-B	08:20	09:09	10:47	13:38	15:43	16:45				
向洋小学校-B	-	-	-	13:40	15:45	16:47				
中居南口-B	08:22	09:11	10:49	13:41	15:46	16:48				
中居北口-B	08:23	09:12	10:50	13:42	15:47	16:49				
下出-B	08:24	09:13	10:51	13:43	15:48	16:50				
麦ヶ浦-B	08:26	09:15	10:53	13:45	15:50	16:52				
北七海-B	08:27	09:16	10:54	13:46	15:51	16:53				
穴水高校口-B	08:30	09:19	10:57	13:49	15:54	16:56				
城山住宅前-B	08:31	09:20	10:58	13:50	15:55	16:57				
大町東-B	-	-	11:01	-	-	-				
穴水小学校前-B	-	-	11:03	-	-	-				
東町-B	08:33	09:22	-	13:52	15:57	16:59				
穴水駅前-B	-	-	-	-	-	-				
穴水駅前-D	08:35	09:24	11:05	13:54	15:59	17:01				
大町-A	08:37	09:26	11:07	13:56	16:01	17:03				
大島町-A	08:38	09:27	11:08	13:57	16:02	17:04				
栄町-C	08:39	09:28	11:09	13:58	16:03	17:05				
穴水総合病院-B	08:41	09:30	11:11	14:00	16:05	17:07				
