始発停留所	兜診療所前-B				
始発時間	07:13				
終点時間	08:05				
終点停留所	穴水総合病院-B				
備考					
竹太-A					
太田川-B					
古君中町-B					
古君集会所前-B					
花園口-B					
前波南-A					
沖波立戸浜-A					
沖波宮の下-A					
沖波-A					
沖波口-B					
前波口-B					
前波集会所前-A					
宇加川-B					
黒崎-A					
兜診療所前-B	07:13				
農協甲支店前-A	07:14				
兜小学校前-B	07:17				
曽良-B	-				
曽良東-A	07:18				
鹿波東	07:27				
大郷-A	-				
野並-A	-				
小又-C	-				
市の坂-B	-				
旭ヶ丘２区-C	-				
鹿波	07:28				
旭ヶ丘口	07:30				
南旭ヶ丘-A	-				
旭ヶ丘３区-A	-				
中旭ヶ丘-A	-				
旭ヶ丘１区-A	-				
婦人ホーム口-A	-				
旭ヶ丘２区-A	-				
比良	-				
椿崎口	07:31				
椿崎マリーナ	07:33				
穴水聖頌園前-B	07:35				
東岩車-B	07:36				
岩車-B	07:37				
能登川尻-B	07:40				
向洋中学校-B	07:41				
比良農協前-B	07:42				
西比良-B	07:43				
向洋小学校-B	07:45				
中居南口-B	07:46				
中居北口-B	07:47				
下出-B	07:48				
麦ヶ浦-B	07:50				
北七海-B	07:51				
穴水高校口-B	07:54				
城山住宅前-B	07:55				
東町-B	07:57				
穴水駅前-B	-				
穴水駅前-D	07:59				
大町-A	08:01				
大島町-A	08:02				
栄町-C	08:03				
穴水総合病院-B	08:05				
