始発停留所	穴水駅前-D				
始発時間	06:01				
終点時間	07:50				
終点停留所	飯田高校下				
備考					
穴水駅前-D	06:01				
大町-A	06:03				
大島町-A	06:04				
栄町-C	06:05				
北七海-A	06:09				
麦ヶ浦-A	06:10				
下出-A	06:12				
中居北口-A	06:13				
中居南口-A	06:14				
西比良-A	06:16				
比良農協前-A	06:17				
比良	06:18				
旭ヶ丘２区-C	06:21				
市の坂-A	06:23				
小又-A	06:26				
女良川-A	06:27				
東山-A	06:28				
明千寺-A	06:33				
宇加川-B	06:34				
花園口-B	06:35				
古君集会所前-B	06:36				
古君中町-B	06:37				
太田川-B	06:39				
竹太-A	06:40				
能登瑞穂-A	-				
神道	-				
小垣	-				
鵜川駅前-D	06:42				
鵜川口-A	06:43				
能登桜木	06:44				
能登七見	06:45				
矢波弁天-A	06:46				
三波	06:48				
波並駅前-B	06:49				
能登間島-A	06:51				
健民テニスコート前	06:52				
藤波駅口	06:53				
辺田の浜-B	06:54				
能登田町-A	06:55				
宇出津病院前-A	06:56				
宇出津駅前-A	06:57				
遠島山公園下	07:00				
羽根漁港	07:04				
本小浦	07:07				
縄文真脇温泉口	07:09				
小木港	07:13				
九十九湾	07:15				
秋吉	07:21				
能登不動寺-A	-				
松波城址公園口-A	-				
恋路浜-A	-				
本鵜島	-				
南鵜飼	-				
珠洲鵜飼	07:37				
上戸	07:41				
珠洲市役所前	07:46				
飯田栄町	07:48				
昭和橋	-				
飯田高校下	07:50				
すずなり館前-C					
正院-A					
弁天公園前-A					
珠洲鉢ケ崎					
