始発停留所	門前-A	門前-A	門前-A	門前-A	門前-A
始発時間	06:50	10:00	13:10	14:45	17:40
終点時間	07:30	10:35	13:45	15:20	18:15
終点停留所	穴水駅前-A	穴水駅前-A	穴水駅前-A	穴水駅前-A	穴水駅前-A
備考					
門前-A	06:50	10:00	13:10	14:45	17:40
日野尾-A	06:51	10:01	13:11	14:46	17:41
広瀬-A	06:52	10:02	13:12	14:47	17:42
保健センター前-B	06:53	10:03	13:13	14:48	17:43
本市-B	06:54	10:04	13:14	14:49	17:44
本市口-B	06:55	10:05	13:15	14:50	17:45
栃木口-A	06:56	10:06	13:16	14:51	17:46
山辺-A	06:57	10:07	13:17	14:52	17:47
貝喰-A	06:58	10:08	13:18	14:53	17:48
内保-B	06:59	10:09	13:19	14:54	17:49
谷口-B	07:00	10:10	13:20	14:55	17:50
納能屋口-A	07:01	10:11	13:21	14:56	17:51
二又川-A	07:03	10:13	13:23	14:58	17:53
養護学校輪島分校前-B	07:04	10:14	13:24	14:59	17:54
平-A	07:05	10:15	13:25	15:00	17:55
別所-B	07:06	10:16	13:26	15:01	17:56
東大町-B	07:07	10:17	13:27	15:02	17:57
荒屋-A	07:08	10:18	13:28	15:03	17:58
原-A	07:10	10:20	13:30	15:05	18:00
貝吹口-A	07:11	10:21	13:31	15:06	18:01
小又-B	07:14	10:24	13:34	15:09	18:04
唐川口-B	07:16	10:26	13:36	15:11	18:06
平野-B	07:18	10:28	13:38	15:13	18:08
此の木（すしべん前）	07:19	10:29	13:39	15:14	18:09
此の木（ガソリンスタンド向）	07:19	10:29	13:39	15:14	18:09
庚申町-B	07:20	10:30	13:40	15:15	18:10
穴水総合病院-A	07:24	-	-	-	-
東町-B	07:28	-	-	-	-
栄町-B	-	10:32	13:42	15:17	18:12
大島町-B	-	10:33	13:43	15:18	18:13
大町-B	-	10:34	13:44	15:19	18:14
穴水駅前-A	07:30	10:35	13:45	15:20	18:15
東町-A					
穴水総合病院-B					
