始発停留所	穴水駅前-A	穴水駅前-A	穴水駅前-A	穴水総合病院-A	穴水駅前-A	穴水駅前-A	穴水駅前-A	穴水駅前-A	穴水駅前-A	
始発時間	07:20	08:15	09:15	11:55	14:00	15:20	16:40	18:00	18:35	
終点時間	07:55	08:50	09:50	12:35	14:35	15:55	17:15	18:35	19:10	
終点停留所	門前-A	門前-A	門前-A	門前-A	門前-A	門前-A	門前-A	門前-A	門前-A	
備考						学期休み期間、運休				
穴水総合病院-A				11:55						
東町-B				11:58						
穴水駅前-A	07:20	08:15	09:15	12:00	14:00	15:20	16:40	18:00	18:35	
大町-A	07:21	08:16	09:16	12:01	14:01	15:21	16:41	18:01	18:36	
大島町-A	07:22	08:17	09:17	12:02	14:02	15:22	16:42	18:02	18:37	
栄町-A	07:23	08:18	09:18	12:03	14:03	15:23	16:43	18:03	18:38	
庚申町-A	07:25	08:20	09:20	12:05	14:05	15:25	16:45	18:05	18:40	
此の木（ガソリンスタンド前）	07:26	08:21	09:21	12:06	14:06	15:26	16:46	18:06	18:41	
此の木（すしべん向）	07:26	08:21	09:21	12:06	14:06	15:26	16:46	18:06	18:41	
平野-A	07:27	08:22	09:22	12:07	14:07	15:27	16:47	18:07	18:42	
唐川口-A	07:29	08:24	09:24	12:09	14:09	15:29	16:49	18:09	18:44	
小又-A	07:31	08:26	09:26	12:11	14:11	15:31	16:51	18:11	18:46	
貝吹口-A	07:34	08:29	09:29	12:14	14:14	15:34	16:54	18:14	18:49	
原-A	07:35	08:30	09:30	12:15	14:15	15:35	16:55	18:15	18:50	
荒屋-A	07:37	08:32	09:32	12:17	14:17	15:37	16:57	18:17	18:52	
東大町-A	07:38	08:33	09:33	12:18	14:18	15:38	16:58	18:18	18:53	
別所-A	07:39	08:34	09:34	12:19	14:19	15:39	16:59	18:19	18:54	
平-A	07:40	08:35	09:35	12:20	14:20	15:40	17:00	18:20	18:55	
養護学校輪島分校前-A	07:41	08:36	09:36	12:21	14:21	15:41	17:01	18:21	18:56	
二又川-A	07:42	08:37	09:37	12:22	14:22	15:42	17:02	18:22	18:57	
納能屋口-A	07:44	08:39	09:39	12:24	14:24	15:44	17:04	18:24	18:59	
谷口-A	07:45	08:40	09:40	12:25	14:25	15:45	17:05	18:25	19:00	
内保-A	07:46	08:41	09:41	12:26	14:26	15:46	17:06	18:26	19:01	
貝喰-A	07:47	08:42	09:42	12:27	14:27	15:47	17:07	18:27	19:02	
山辺-A	07:48	08:43	09:43	12:28	14:28	15:48	17:08	18:28	19:03	
栃木口-A	07:49	08:44	09:44	12:29	14:29	15:49	17:09	18:29	19:04	
本市口-A	07:50	08:45	09:45	12:30	14:30	15:50	17:10	18:30	19:05	
本市-A	07:51	08:46	09:46	12:31	14:31	15:51	17:11	18:31	19:06	
保健センター前-A	07:52	08:47	09:47	12:32	14:32	15:52	17:12	18:32	19:07	
広瀬-A	07:53	08:48	09:48	12:33	14:33	15:53	17:13	18:33	19:08	
日野尾-A	07:54	08:49	09:49	12:34	14:34	15:54	17:14	18:34	19:09	
門前-A	07:55	08:50	09:50	12:35	14:35	15:55	17:15	18:35	19:10	
