始発停留所	輪島駅前【３】	輪島駅前【３】	輪島駅前【３】	輪島駅前【３】	輪島駅前【３】	輪島駅前【３】	輪島駅前【３】	輪島駅前【３】	輪島駅前【３】	輪島駅前【３】	輪島駅前【３】	輪島駅前【３】	輪島駅前【３】		
始発時間	06:10	07:10	07:50	08:50	09:30	11:00	12:30	13:15	15:20	16:16	17:20	18:10	19:15		
終点時間	06:49	07:49	08:43	09:29	10:14	11:58	13:23	13:59	15:59	17:09	17:59	18:49	19:54		
終点停留所	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B	穴水総合病院-B	穴水駅前-B	穴水総合病院-B	穴水駅前-B	穴水駅前-B	穴水駅前-B	穴水駅前-B	穴水駅前-B		
備考															
輪島駅前【３】	06:10	07:10	07:50	08:50	09:30	11:00	12:30	13:15	15:20	16:16	17:20	18:10	19:15		
輪島高校前-B	-	-	-	-	09:31	11:01	12:31	13:16	15:21	16:17	17:21	18:11	19:16		
きらめき橋-B	-	-	-	-	09:32	11:02	12:32	13:17	15:22	16:18	17:22	18:12	19:17		
市立輪島病院-A	-	-	-	-	09:34	11:04	12:34	13:19	15:24	16:20	17:24	18:14	19:19		
杉平-B	06:11	07:11	07:51	08:51	09:36	11:06	12:36	13:21	15:26	16:22	17:26	18:16	19:21		
横地-B	06:12	07:12	07:52	08:52	09:37	11:07	12:37	13:22	15:27	16:23	17:27	18:17	19:22		
小川-B	06:13	07:13	07:53	08:53	09:38	11:08	12:38	13:23	15:28	16:24	17:28	18:18	19:23		
川尻-B	06:14	07:14	07:54	08:54	09:39	11:09	12:39	13:24	15:29	16:25	17:29	18:19	19:24		
安町-B	06:15	07:15	07:55	08:55	09:40	11:10	12:40	13:25	15:30	16:26	17:30	18:20	19:25		
桐田-B	06:16	07:16	07:56	08:56	09:41	11:11	12:41	13:26	15:31	16:27	17:31	18:21	19:26		
市ノ瀬-B	06:17	07:17	07:57	08:57	09:42	11:12	12:42	13:27	15:32	16:28	17:32	18:22	19:27		
荒田-B	06:18	07:18	07:58	08:58	09:43	11:13	12:43	13:28	15:33	16:29	17:33	18:23	19:28		
下熊野-B	06:19	07:19	07:59	08:59	09:44	11:14	12:44	13:29	15:34	16:30	17:34	18:24	19:29		
熊野-B	06:20	07:20	08:00	09:00	09:45	11:15	12:45	13:30	15:35	16:31	17:35	18:25	19:30		
小淵橋-B	06:22	07:22	08:02	09:02	09:47	11:17	12:47	13:32	15:37	16:33	17:37	18:27	19:32		
渡合-B	06:23	07:23	08:03	09:03	09:48	11:18	12:48	13:33	15:38	16:34	17:38	18:28	19:33		
興徳寺-B	06:24	07:24	08:04	09:04	09:49	11:19	12:49	13:34	15:39	16:35	17:39	18:29	19:34		
三井駅前-B	06:25	07:25	08:05	09:05	09:50	11:20	12:50	13:35	15:40	16:36	17:40	18:30	19:35		
長沢-B	06:26	07:26	08:06	09:06	09:51	11:21	12:51	13:36	15:41	16:37	17:41	18:31	19:36		
小泉-B	06:27	07:27	08:07	09:07	09:52	11:22	12:52	13:37	15:42	16:38	17:42	18:32	19:37		
洲衛-B	-	-	08:11	-	-	11:26	12:56	-	-	16:42	-	-	-		
臨空産業団地前-A	-	-	08:18	-	-	11:33	13:03	-	-	16:49	-	-	-		
能登空港	-	-	08:19	-	-	11:34	13:04	-	-	16:50	-	-	-		
精育園前-B	-	-	08:28	-	-	11:43	13:13	-	-	16:59	-	-	-		
新保-B	06:28	07:28	-	09:08	09:53	-	-	13:38	15:43	-	17:43	18:33	19:38		
加村口-B	06:29	07:29	-	09:09	09:54	-	-	13:39	15:44	-	17:44	18:34	19:39		
あての木園前-B	06:30	07:30	-	09:10	09:55	-	-	13:40	15:45	-	17:45	18:35	19:40		
市の坂-B	06:31	07:31	-	09:11	09:56	-	-	13:41	15:46	-	17:46	18:36	19:41		
小又-D	06:35	07:35	-	09:15	10:00	-	-	13:45	15:50	-	17:50	18:40	19:45		
唐川口-B	06:36	07:36	-	09:16	10:01	-	-	13:46	15:51	-	17:51	18:41	19:46		
平野-B	06:37	07:37	-	09:17	10:02	-	-	13:47	15:52	-	17:52	18:42	19:47		
此の木（すしべん前）	06:38	07:38	-	09:18	10:03	-	-	13:48	15:53	-	17:53	18:43	19:48		
此の木（８番ラーメン前）	-	-	08:32	-	-	11:47	13:17	-	-	17:03	-	-	-		
此の木（ガソリンスタンド向）	06:38	07:38	08:32	09:18	10:03	11:47	13:17	13:48	15:53	17:03	17:53	18:43	19:48		
庚申町-B	06:39	07:39	08:33	09:19	10:04	11:48	13:18	13:49	15:54	17:04	17:54	18:44	19:49		
栄町-B	06:41	07:41	08:35	09:21	10:06	11:50	13:20	13:51	15:56	17:06	17:56	18:46	19:51		
大島町-B	06:42	07:42	08:36	09:22	10:07	11:51	13:21	13:52	15:57	17:07	17:57	18:47	19:52		
大町-B	06:43	07:43	08:37	09:23	10:08	11:52	13:22	13:53	15:58	17:08	17:58	18:48	19:53		
穴水駅前-B	-	-	-	-	-	-	13:23	-	15:59	17:09	17:59	18:49	19:54		
穴水駅前-A	06:44	07:44	08:38	09:24	10:09	11:53		13:54							
東町-A	06:46	07:46	08:40	09:26	10:11	11:55		13:56							
穴水総合病院-B	06:49	07:49	08:43	09:29	10:14	11:58		13:59							
