始発停留所	空熊-A	空熊-A	空熊-A		
始発時間	07:00	12:40	15:20		
終点時間	07:37	13:12	15:52		
終点停留所	市立輪島病院-A	輪島駅前【２】	輪島駅前【２】		
備考					
空熊-A	07:00	12:40	15:20		
落合-A	07:02	12:42	15:22		
滝又学校前-A	07:05	12:45	15:25		
滝又-A	07:06	12:46	15:26		
帶壁-A	07:09	12:49	15:29		
別所谷-A	07:11	12:51	15:31		
下別所谷-A	07:13	12:53	15:33		
大久保口-A	07:15	12:55	15:35		
二俣-A	07:16	12:56	15:36		
二俣学校前-A	07:17	12:57	15:37		
黒川-A	07:18	12:58	15:38		
四十九坊-A	07:19	12:59	15:39		
長井-A	07:21	13:01	15:41		
稲屋-A	07:23	13:03	15:43		
大屋学校前-A	07:24	13:04	15:44		
小伊勢-A	07:25	13:05	15:45		
県立漆芸研修所前-A	07:26	13:06	15:46		
測候所前-A	07:27	13:07	15:47		
新橋-A	07:28	13:08	15:48		
中央通り-A	07:29	13:09	15:49		
馬場町-A	07:30	13:10	15:50		
輪島駅前【２】	-	13:12	15:52		
輪島駅前【３】	07:32				
市立輪島病院-A	07:37				
