始発停留所	飯山-A	羽咋駅前-B	羽咋駅前-B	羽咋駅前-B	羽咋駅前-B	羽咋駅前-B	羽咋駅前-B	羽咋駅前-B	羽咋駅前-B	羽咋駅前-B	羽咋駅前-B	羽咋駅前-B			
始発時間	06:43	07:10	08:15	09:10	10:00	11:20	12:30	14:10	14:50	15:50	17:20	18:40			
終点時間	07:30	08:19	09:21	10:06	11:07	12:16	13:42	15:06	15:46	16:46	18:32	19:52			
終点停留所	七尾駅前【１】	七尾駅前【１】	能登総合病院	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】			
備考															
羽咋駅前-B		07:10	08:15	09:10	10:00	11:20	12:30	14:10	14:50	15:50	17:20	18:40			
羽咋高校前-B		07:12	08:17	09:12	10:02	11:22	12:32	14:12	14:52	15:52	17:22	18:42			
文化会館前-B		07:13	08:18	09:13	10:03	11:23	12:33	14:13	14:53	15:53	17:23	18:43			
石野町-B		07:14	08:19	09:14	10:04	11:24	12:34	14:14	14:54	15:54	17:24	18:44			
太田-B		07:16	08:21	09:16	10:06	11:26	12:36	14:16	14:56	15:56	17:26	18:46			
羽咋農協センター前-B		07:18	08:23	09:18	10:08	11:28	12:38	14:18	14:58	15:58	17:28	18:48			
飯山-A	06:43	07:19	08:24	09:19	10:09	11:29	12:39	14:19	14:59	15:59	17:29	18:49			
飯山新町-A	06:45	07:21	08:26	09:21	10:11	11:31	12:41	14:21	15:01	16:01	17:31	18:51			
邑知中学校前-A	06:46	07:22	08:27	09:22	10:12	11:32	12:42	14:22	15:02	16:02	17:32	18:52			
本江-A	06:47	07:23	08:28	09:23	10:13	11:33	12:43	14:23	15:03	16:03	17:33	18:53			
白鳥苑前-A	06:47	07:23	08:28	09:23	10:13	11:33	12:43	14:23	15:03	16:03	17:33	18:53			
若部-A	06:48	07:24	08:29	09:24	10:14	11:34	12:44	14:24	15:04	16:04	17:34	18:54			
寺境-A	06:49	07:25	08:30	09:25	10:15	11:35	12:45	14:25	15:05	16:05	17:35	18:55			
酒井-A	06:50	07:26	08:31	09:26	10:16	11:36	12:46	14:26	15:06	16:06	17:36	18:56			
四柳-A	06:52	07:28	08:33	09:28	10:18	11:38	12:48	14:28	15:08	16:08	17:38	18:58			
大町-A	06:53	07:29	08:34	09:29	10:19	11:39	12:49	14:29	15:09	16:09	17:39	18:59			
小金森-A	06:55	07:31	08:36	09:31	10:21	11:41	12:51	14:31	15:11	16:11	17:41	19:01			
高畠-A	06:56	07:32	08:37	09:32	10:22	11:42	12:52	14:32	15:12	16:12	17:42	19:02			
小田中-A	06:58	07:34	08:39	09:34	10:24	11:44	12:54	14:34	15:14	16:14	17:44	19:04			
久江-A	07:00	07:36	08:41	09:36	10:26	11:46	12:56	14:36	15:16	16:16	17:46	19:06			
水白-A	07:02	07:38	08:43	09:38	10:28	11:48	12:58	14:38	15:18	16:18	17:48	19:08			
小竹-A	07:03	07:39	08:44	09:39	10:29	11:49	12:59	14:39	15:19	16:19	17:49	19:09			
井田-A	07:04	07:40	08:45	09:40	10:30	11:50	13:00	14:40	15:20	16:20	17:50	19:10			
鹿島庁舎前-A	07:05	07:41	08:46	09:41	10:31	11:51	13:01	14:41	15:21	16:21	17:51	19:11			
中能登中学校-A	-	07:48	-	-	-	-	13:08	-	-	-	17:58	19:18			
織姫の里	-	-	-	-	10:36	-	13:11	-	-	-	18:01	19:21			
アルプラザ鹿島-A	-	-	-	-	10:39	-	13:14	-	-	-	18:04	19:24			
ラピア鹿島前-B	-	07:52	-	-	10:40	-	13:15	-	-	-	18:05	19:25			
芹川-A	07:06	07:55	08:47	09:42	10:43	11:52	13:18	14:42	15:22	16:22	18:08	19:28			
二宮-A	07:07	07:56	08:48	09:43	10:44	11:53	13:19	14:43	15:23	16:23	18:09	19:29			
ＪＡ鹿島支店前-A	07:08	07:57	08:49	09:44	10:45	11:54	13:20	14:44	15:24	16:24	18:10	19:30			
越路学校前-A	07:09	07:58	08:50	09:45	10:46	11:55	13:21	14:45	15:25	16:25	18:11	19:31			
武部-A	07:10	07:59	08:51	09:46	10:47	11:56	13:22	14:46	15:26	16:26	18:12	19:32			
久の木-A	07:11	08:00	08:52	09:47	10:48	11:57	13:23	14:47	15:27	16:27	18:13	19:33			
若林-A	07:12	08:01	08:53	09:48	10:49	11:58	13:24	14:48	15:28	16:28	18:14	19:34			
飯川-A	07:14	08:03	08:55	09:50	10:51	12:00	13:26	14:50	15:30	16:30	18:16	19:36			
下町-A	07:15	08:04	08:56	09:51	10:52	12:01	13:27	14:51	15:31	16:31	18:17	19:37			
ＪＡ徳田支店前-A	07:17	08:06	08:58	09:53	10:54	12:03	13:29	14:53	15:33	16:33	18:19	19:39			
八幡-A	07:18	08:07	08:59	09:54	10:55	12:04	13:30	14:54	15:34	16:34	18:20	19:40			
南ケ丘住宅前-A	07:20	08:09	09:01	09:56	10:57	12:06	13:32	14:56	15:36	16:36	18:22	19:42			
古府-A	07:22	08:11	09:03	09:58	10:59	12:08	13:34	14:58	15:38	16:38	18:24	19:44			
藤野町-A	07:24	08:13	09:05	10:00	11:01	12:10	13:36	15:00	15:40	16:40	18:26	19:46			
本府中-A	07:26	08:15	09:07	10:02	11:03	12:12	13:38	15:02	15:42	16:42	18:28	19:48			
川原町-A	07:28	08:17	09:09	10:04	11:05	12:14	13:40	15:04	15:44	16:44	18:30	19:50			
七尾駅前【ミナ．クル前降車場】	07:30	08:19	09:11	10:06	11:07	12:16	13:42	15:06	15:46	16:46	18:32	19:52			
七尾駅前【１】	07:30	08:19	-	10:06	11:07	12:16	13:42	15:06	15:46	16:46	18:32	19:52			
七尾駅前【５】			09:11												
小丸山公園下-A			09:12												
小丸山台１丁目-A			09:14												
小丸山台２丁目-A			09:15												
小丸山台３丁目-A			09:16												
能登総合病院			09:21												
