始発停留所	七尾駅前【３】	七尾駅前【３】	七尾駅前【３】	七尾駅前【３】	七尾駅前【３】
始発時間	08:30	12:05	14:20	17:40	19:15
終点時間	09:09	12:44	14:59	18:19	19:54
終点停留所	脇-B	脇-B	脇-B	脇-B	脇-B
備考					
能登総合病院					
小丸山台３丁目-B					
小丸山台２丁目-B					
小丸山台１丁目-B					
小丸山公園下-B					
七尾駅前【３】	08:30	12:05	14:20	17:40	19:15
川原町-C	08:32	12:07	14:22	17:42	19:17
郡町-A	08:33	12:08	14:23	17:43	19:18
湊町口-A	08:34	12:09	14:24	17:44	19:19
矢田新中央-A	08:35	12:10	14:25	17:45	19:20
矢田新東-A	08:36	12:11	14:26	17:46	19:21
万行浜通り-A	08:37	12:12	14:27	17:47	19:22
臼池-A	08:37	12:12	14:27	17:47	19:22
東湊小学校前-A	08:38	12:13	14:28	17:48	19:23
卸売市場前-A	08:39	12:14	14:29	17:49	19:24
太田八幡-A	08:40	12:15	14:30	17:50	19:25
殿-A	08:44	12:19	14:34	17:54	19:29
沢野-A	08:45	12:20	14:35	17:55	19:30
百海-A	08:49	12:24	14:39	17:59	19:34
庵港-A	08:51	12:26	14:41	18:01	19:36
庵-A	08:52	12:27	14:42	18:02	19:37
大呑保育園前-B	08:53	12:28	14:43	18:03	19:38
虫崎-B	08:54	12:29	14:44	18:04	19:39
下佐々波-B	08:55	12:30	14:45	18:05	19:40
上佐々波-B	08:57	12:32	14:47	18:07	19:42
出村-B	08:58	12:33	14:48	18:08	19:43
黒崎-B	08:59	12:34	14:49	18:09	19:44
花園口-A	09:01	12:36	14:51	18:11	19:46
東浜-B	09:02	12:37	14:52	18:12	19:47
大泊-B	09:03	12:38	14:53	18:13	19:48
大泊寺の前-B	09:04	12:39	14:54	18:14	19:49
東大泊-B	09:04	12:39	14:54	18:14	19:49
新脇-B	09:05	12:40	14:55	18:15	19:50
脇-B	09:09	12:44	14:59	18:19	19:54
