始発停留所	七尾駅前【３】	能登総合病院	七尾駅前【３】	七尾駅前【３】	七尾駅前【３】	七尾駅前【３】				
始発時間	07:35	09:50	14:15	15:55	17:50	19:15				
終点時間	08:14	10:39	14:54	16:34	18:29	19:54				
終点停留所	脇-B	脇-B	脇-B	脇-B	脇-B	脇-B				
備考										
能登総合病院		09:50								
小丸山台３丁目-B		09:51								
小丸山台２丁目-B		09:52								
小丸山台１丁目-B		09:53								
小丸山公園下-B		09:55								
七尾駅前【３】	07:35	10:00	14:15	15:55	17:50	19:15				
川原町-C	07:37	10:02	14:17	15:57	17:52	19:17				
郡町-A	07:38	10:03	14:18	15:58	17:53	19:18				
湊町口-A	07:39	10:04	14:19	15:59	17:54	19:19				
矢田新中央-A	07:40	10:05	14:20	16:00	17:55	19:20				
矢田新東-A	07:41	10:06	14:21	16:01	17:56	19:21				
万行浜通り-A	07:42	10:07	14:22	16:02	17:57	19:22				
臼池-A	07:42	10:07	14:22	16:02	17:57	19:22				
東湊小学校前-A	07:43	10:08	14:23	16:03	17:58	19:23				
卸売市場前-A	07:44	10:09	14:24	16:04	17:59	19:24				
太田八幡-A	07:45	10:10	14:25	16:05	18:00	19:25				
殿-A	07:49	10:14	14:29	16:09	18:04	19:29				
沢野-A	07:50	10:15	14:30	16:10	18:05	19:30				
百海-A	07:54	10:19	14:34	16:14	18:09	19:34				
庵港-A	07:56	10:21	14:36	16:16	18:11	19:36				
庵-A	07:57	10:22	14:37	16:17	18:12	19:37				
大呑保育園前-B	07:58	10:23	14:38	16:18	18:13	19:38				
虫崎-B	07:59	10:24	14:39	16:19	18:14	19:39				
下佐々波-B	08:00	10:25	14:40	16:20	18:15	19:40				
上佐々波-B	08:02	10:27	14:42	16:22	18:17	19:42				
出村-B	08:03	10:28	14:43	16:23	18:18	19:43				
黒崎-B	08:04	10:29	14:44	16:24	18:19	19:44				
花園口-A	08:06	10:31	14:46	16:26	18:21	19:46				
東浜-B	08:07	10:32	14:47	16:27	18:22	19:47				
大泊-B	08:08	10:33	14:48	16:28	18:23	19:48				
大泊寺の前-B	08:09	10:34	14:49	16:29	18:24	19:49				
東大泊-B	08:09	10:34	14:49	16:29	18:24	19:49				
新脇-B	08:10	10:35	14:50	16:30	18:25	19:50				
脇-B	08:14	10:39	14:54	16:34	18:29	19:54				
