始発停留所	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学（花里方向）	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学（花里方向）	金沢学院大学（花里方向）	東部車庫-A	東部車庫-A	金沢学院大学（花里方向）	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学（花里方向）	東部車庫-A	金沢学院大学（花里方向）	東部車庫-A	金沢学院大学（花里方向）	東部車庫-A	東部車庫-A	金沢学院大学（花里方向）	東部車庫-A	金沢学院大学（花里方向）	東部車庫-A	金沢学院大学（花里方向）	東部車庫-A	金沢学院大学（花里方向）	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A
始発時間	06:20	06:40	07:00	07:15	07:30	07:45	08:00	08:20	08:40	09:00	09:20	09:40	10:00	10:20	10:40	11:00	11:15	11:40	12:00	12:20	12:35	12:55	13:00	13:10	13:15	13:20	13:40	14:00	14:20	14:35	15:00	15:15	15:40	15:55	16:00	16:20	16:35	17:00	17:15	17:40	17:55	18:20	18:35	18:40	19:00	19:30	20:00	20:30	21:00	21:30
終点時間	06:57	07:17	07:37	07:52	08:14	08:29	08:44	09:04	09:19	09:39	09:59	10:19	10:39	10:59	11:19	11:39	11:59	12:19	12:39	12:59	13:19	13:39	13:39	13:49	13:59	13:59	14:19	14:39	14:59	15:19	15:39	15:59	16:19	16:39	16:39	16:59	17:22	17:42	18:02	18:17	18:37	18:57	19:17	19:17	19:32	20:02	20:32	21:02	21:32	22:02
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考		ノンステップバス	ノンステップバス					ノンステップバス	ノンステップバス						ノンステップバス				ノンステップバス	ノンステップバス		学期休み期間、運休	学期休み期間のみ運行		学期休み期間、運休	学期休み期間のみ運行		ノンステップバス		ノンステップバス		ノンステップバス		学期休み期間、運休	学期休み期間のみ運行	ノンステップバス			ノンステップバス				学期休み期間、運休	学期休み期間のみ運行	ノンステップバス					
金沢学院大学（花里方向）																	11:15				12:35	12:55			13:15					14:35		15:15		15:55			16:35		17:15		17:55		18:35							
金沢東高校（花里方向）																	11:19				12:39	12:59			13:19					14:39		15:19		15:59			16:39		17:19		17:59		18:39							
東部車庫-B																	11:20				12:40	13:00			13:20					14:40		15:20		16:00			16:40		17:20		18:00		18:40							
東部車庫-A	06:20	06:40	07:00	07:15	07:30	07:45	08:00	08:20	08:40	09:00	09:20	09:40	10:00	10:20	10:40	11:00	-	11:40	12:00	12:20	-	-	13:00	13:10	-	13:20	13:40	14:00	14:20	-	15:00	-	15:40	-	16:00	16:20	-	17:00	-	17:40	-	18:20	-	18:40	19:00	19:30	20:00	20:30	21:00	21:30
都雅野住宅-B	06:20	06:40	07:00	07:15	07:30	07:45	08:00	08:20	08:40	09:00	09:20	09:40	10:00	10:20	10:40	11:00	11:20	11:40	12:00	12:20	12:40	13:00	13:00	13:10	13:20	13:20	13:40	14:00	14:20	14:40	15:00	15:20	15:40	16:00	16:00	16:20	16:40	17:00	17:20	17:40	18:00	18:20	18:40	18:40	19:00	19:30	20:00	20:30	21:00	21:30
末-B	06:21	06:41	07:01	07:16	07:31	07:46	08:01	08:21	08:41	09:01	09:21	09:41	10:01	10:21	10:41	11:01	11:21	11:41	12:01	12:21	12:41	13:01	13:01	13:11	13:21	13:21	13:41	14:01	14:21	14:41	15:01	15:21	15:41	16:01	16:01	16:21	16:41	17:01	17:21	17:41	18:01	18:21	18:41	18:41	19:01	19:31	20:01	20:31	21:01	21:31
永安町（花里方向）	06:22	06:42	07:02	07:17	07:32	07:47	08:02	08:22	08:42	09:02	09:22	09:42	10:02	10:22	10:42	11:02	11:22	11:42	12:02	12:22	12:42	13:02	13:02	13:12	13:22	13:22	13:42	14:02	14:22	14:42	15:02	15:22	15:42	16:02	16:02	16:22	16:42	17:02	17:22	17:42	18:02	18:22	18:42	18:42	19:02	19:32	20:02	20:32	21:02	21:32
大道割-B	06:23	06:43	07:03	07:18	07:33	07:48	08:03	08:23	08:43	09:03	09:23	09:43	10:03	10:23	10:43	11:03	11:23	11:43	12:03	12:23	12:43	13:03	13:03	13:13	13:23	13:23	13:43	14:03	14:23	14:43	15:03	15:23	15:43	16:03	16:03	16:23	16:43	17:03	17:23	17:43	18:03	18:23	18:43	18:43	19:03	19:33	20:03	20:33	21:03	21:33
涌波一丁目-B	06:25	06:45	07:05	07:20	07:35	07:50	08:05	08:25	08:45	09:05	09:25	09:45	10:05	10:25	10:45	11:05	11:25	11:45	12:05	12:25	12:45	13:05	13:05	13:15	13:25	13:25	13:45	14:05	14:25	14:45	15:05	15:25	15:45	16:05	16:05	16:25	16:45	17:05	17:25	17:45	18:05	18:25	18:45	18:45	19:04	19:34	20:04	20:34	21:04	21:34
涌波二丁目-B	06:26	06:46	07:06	07:21	07:36	07:51	08:06	08:26	08:46	09:06	09:26	09:46	10:06	10:26	10:46	11:06	11:26	11:46	12:06	12:26	12:46	13:06	13:06	13:16	13:26	13:26	13:46	14:06	14:26	14:46	15:06	15:26	15:46	16:06	16:06	16:26	16:46	17:06	17:26	17:46	18:06	18:26	18:46	18:46	19:05	19:35	20:05	20:35	21:05	21:35
涌波三丁目-B	06:27	06:47	07:07	07:22	07:37	07:52	08:07	08:27	08:47	09:07	09:27	09:47	10:07	10:27	10:47	11:07	11:27	11:47	12:07	12:27	12:47	13:07	13:07	13:17	13:27	13:27	13:47	14:07	14:27	14:47	15:07	15:27	15:47	16:07	16:07	16:27	16:47	17:07	17:27	17:47	18:07	18:27	18:47	18:47	19:06	19:36	20:06	20:36	21:06	21:36
花里住宅-B	06:28	06:48	07:08	07:23	07:38	07:53	08:08	08:28	08:48	09:08	09:28	09:48	10:08	10:28	10:48	11:08	11:28	11:48	12:08	12:28	12:48	13:08	13:08	13:18	13:28	13:28	13:48	14:08	14:28	14:48	15:08	15:28	15:48	16:08	16:08	16:28	16:48	17:08	17:28	17:48	18:08	18:28	18:48	18:48	19:07	19:37	20:07	20:37	21:07	21:37
三口新町-B	06:29	06:49	07:09	07:24	07:39	07:54	08:09	08:29	08:49	09:09	09:29	09:49	10:09	10:29	10:49	11:09	11:29	11:49	12:09	12:29	12:49	13:09	13:09	13:19	13:29	13:29	13:49	14:09	14:29	14:49	15:09	15:29	15:49	16:09	16:09	16:29	16:49	17:09	17:29	17:49	18:09	18:29	18:49	18:49	19:08	19:38	20:08	20:38	21:08	21:38
赤坂-B	06:30	06:50	07:10	07:25	07:40	07:55	08:10	08:30	08:50	09:10	09:30	09:50	10:10	10:30	10:50	11:10	11:30	11:50	12:10	12:30	12:50	13:10	13:10	13:20	13:30	13:30	13:50	14:10	14:30	14:50	15:10	15:30	15:50	16:10	16:10	16:30	16:50	17:10	17:30	17:50	18:10	18:30	18:50	18:50	19:09	19:39	20:09	20:39	21:09	21:39
笠舞一丁目-B	06:31	06:51	07:11	07:26	07:41	07:56	08:11	08:31	08:51	09:11	09:31	09:51	10:11	10:31	10:51	11:11	11:31	11:51	12:11	12:31	12:51	13:11	13:11	13:21	13:31	13:31	13:51	14:11	14:31	14:51	15:11	15:31	15:51	16:11	16:11	16:31	16:51	17:11	17:31	17:51	18:11	18:31	18:51	18:51	19:10	19:40	20:10	20:40	21:10	21:40
笠舞二丁目-B	06:32	06:52	07:12	07:27	07:42	07:57	08:12	08:32	08:52	09:12	09:32	09:52	10:12	10:32	10:52	11:12	11:32	11:52	12:12	12:32	12:52	13:12	13:12	13:22	13:32	13:32	13:52	14:12	14:32	14:52	15:12	15:32	15:52	16:12	16:12	16:32	16:52	17:12	17:32	17:52	18:12	18:32	18:52	18:52	19:11	19:41	20:11	20:41	21:11	21:41
猿丸神社前（幸町方向）	06:33	06:53	07:13	07:28	07:44	07:59	08:14	08:34	08:54	09:14	09:34	09:54	10:14	10:34	10:54	11:14	11:34	11:54	12:14	12:34	12:54	13:14	13:14	13:24	13:34	13:34	13:54	14:14	14:34	14:54	15:14	15:34	15:54	16:14	16:14	16:34	16:54	17:14	17:34	17:53	18:13	18:33	18:53	18:53	19:12	19:42	20:12	20:42	21:12	21:42
思案橋-B	06:34	06:54	07:14	07:29	07:45	08:00	08:15	08:35	08:55	09:15	09:35	09:55	10:15	10:35	10:55	11:15	11:35	11:55	12:15	12:35	12:55	13:15	13:15	13:25	13:35	13:35	13:55	14:15	14:35	14:55	15:15	15:35	15:55	16:15	16:15	16:35	16:55	17:15	17:35	17:54	18:14	18:34	18:54	18:54	19:13	19:43	20:13	20:43	21:13	21:43
幸町-B	06:35	06:55	07:15	07:30	07:46	08:01	08:16	08:36	08:56	09:16	09:36	09:56	10:16	10:36	10:56	11:16	11:36	11:56	12:16	12:36	12:56	13:16	13:16	13:26	13:36	13:36	13:56	14:16	14:36	14:56	15:16	15:36	15:56	16:16	16:16	16:36	16:56	17:16	17:36	17:55	18:15	18:35	18:55	18:55	19:14	19:44	20:14	20:44	21:14	21:44
本多町-B	06:36	06:56	07:16	07:31	07:48	08:03	08:18	08:38	08:58	09:18	09:38	09:58	10:18	10:38	10:58	11:18	11:38	11:58	12:18	12:38	12:58	13:18	13:18	13:28	13:38	13:38	13:58	14:18	14:38	14:58	15:18	15:38	15:58	16:18	16:18	16:38	16:58	17:18	17:38	17:56	18:16	18:36	18:56	18:56	19:15	19:45	20:15	20:45	21:15	21:45
