始発停留所	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】			
始発時間	07:00	07:15	07:30	07:50	08:03	08:13	08:33	08:33	08:53	09:13	09:33	09:53	10:13	10:33	10:53	11:13	11:33	11:53	12:13	12:23	12:33	12:53	13:13	13:33	13:53	14:03	14:13	14:33	14:53	15:13	15:33	15:53	16:13	16:33	16:53	17:13	17:33	17:53	18:08	18:23	18:38	18:53	19:13	19:33	19:53	20:13	20:33	20:53	21:13	21:43	22:13	22:53			
終点時間	07:37	07:53	08:08	08:31	08:44	08:54	09:10	09:14	09:30	09:54	10:10	10:34	10:50	11:10	11:30	11:50	12:10	12:30	12:54	13:00	13:10	13:30	13:50	14:10	14:30	14:40	14:50	15:10	15:30	15:50	16:10	16:30	16:50	17:15	17:35	17:55	18:15	18:35	18:50	19:05	19:15	19:30	19:50	20:10	20:30	20:47	21:07	21:27	21:47	22:17	22:47	23:27			
終点停留所	東部車庫-A	金沢東高校-A	金沢東高校-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A			
備考		ノンステップバス	ノンステップバス	ノンステップバス			学期休み期間のみ運行	学期休み期間、運休			ノンステップバス				ノンステップバス							ノンステップバス	ノンステップバス			ノンステップバス				ノンステップバス		ノンステップバス							ノンステップバス																
県庁前-B																																																							
駅西合庁前（西念南方向）																																																							
西念西-B																																																							
西念南-B																																																							
広岡-B																																																							
金沢駅西口降車																																																							
金沢駅西口【５】																																																							
金沢駅東通り-B																																																							
