始発停留所	雑座	雑座			
始発時間	07:10	12:20			
終点時間	07:57	13:02			
終点停留所	市立輪島病院-A	輪島駅前-G			
備考					
雑座	07:10	12:20			
池田	07:11	12:21			
上山	07:13	12:23			
男女滝	07:15	12:25			
西二又	07:16	12:26			
上大沢	07:17	12:27			
大沢	07:22	12:32			
大沢大橋	07:23	12:33			
西保小学校前	07:27	12:37			
赤崎	07:28	12:38			
下山口	07:30	12:40			
下山	07:33	12:43			
小池	07:35	12:45			
細田	-	-			
小鵜入	-	-			
小池口	07:37	12:47			
鵜入	07:40	12:50			
美谷口	07:42	12:52			
光浦	07:43	12:53			
光浦東口	07:44	12:54			
袖ケ浜-B	07:45	12:55			
石浦町-A	07:46	12:56			
鳳至小学校前-A	07:47	12:57			
新橋-A	07:48	12:58			
中央通り-A	07:49	12:59			
馬場町-A	07:50	13:00			
輪島駅前-G	-	13:02			
輪島駅前【３】	07:52				
輪島駅前【２】	-				
市立輪島病院-A	07:57				
