始発停留所	輪島駅前【２】	市立輪島病院-A			
始発時間	11:30	17:15			
終点時間	12:12	17:59			
終点停留所	雑座	上山			
備考					
市立輪島病院-A		17:15			
輪島駅前【２】	11:30	17:20			
馬場町-B	11:32	17:22			
中央通り-B	11:33	17:23			
新橋-B	11:34	17:24			
鳳至小学校前-A	11:35	17:25			
石浦町-A	11:36	17:26			
袖ケ浜-A	11:37	17:27			
光浦東口	11:38	17:28			
光浦	11:39	17:29			
美谷口	11:40	17:30			
鵜入	11:42	17:32			
小池口	11:45	17:35			
小鵜入	-	-			
細田	-	-			
小池	11:47	17:37			
下山	11:49	17:39			
下山口	11:52	17:42			
赤崎	11:54	17:44			
西保小学校前	11:55	17:45			
大沢大橋	11:59	17:49			
大沢	12:00	17:50			
上大沢	12:05	17:55			
西二又	12:06	17:56			
男女滝	12:07	17:57			
上山	12:09	17:59			
池田	12:11				
雑座	12:12				
