始発停留所	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	香林坊（アトリオ前）				
始発時間	07:05	07:27	07:47	08:07	08:22	08:47	09:15	09:40	10:08	10:34	11:09	11:35	12:09	12:37	13:10	13:39	14:09	14:24	14:39	15:09	15:35	15:57	16:20	16:38	17:07	17:23	18:03	18:25	18:57	19:20	19:43	20:10	20:30	21:01	21:55	23:15				
終点時間	07:48	08:10	08:34	08:54	09:09	09:30	09:58	10:23	10:51	11:17	11:52	12:18	12:52	13:20	13:32	14:22	14:31	15:07	15:22	15:52	16:21	16:43	17:06	17:24	17:43	17:48	18:39	19:11	19:43	19:40	20:03	20:51	20:50	21:34	22:36	23:29				
終点停留所	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	若松（若松西から）	兼六園下（北鉄車庫前）	若松（若松西から）	金沢大学-B	金沢大学-B	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	若松（若松西から）	金沢大学-B	若松（若松西から）				
備考			ノンステップバス					ノンステップバス					ノンステップバス				ノンステップバス									ノンステップバス														
西金沢-C	07:05	07:27	07:47	08:07	08:22	08:47	09:15	09:40	10:08	10:34	11:09	11:35	12:09	12:37	13:10	13:39	14:09	14:24	14:39	15:09	15:35	15:57	16:20	16:38	17:07	17:23	18:03	18:25	18:57	19:20	19:43	20:10	20:30	21:01	21:55					
米泉-B	07:06	07:28	07:48	08:08	08:23	08:48	09:16	09:41	10:09	10:35	11:10	11:36	12:10	12:38	13:11	13:40	14:10	14:25	14:40	15:10	15:36	15:58	16:21	16:39	17:08	17:24	18:04	18:26	18:58	19:21	19:44	20:11	20:31	21:02	21:56					
西泉（デイリーヤマザキ前）	07:07	07:29	07:49	08:09	08:24	08:49	09:17	09:42	10:10	10:36	11:11	11:37	12:11	12:39	13:12	13:41	14:11	14:26	14:41	15:11	15:37	15:59	16:22	16:40	17:09	17:25	18:05	18:27	18:59	19:22	19:45	20:12	20:32	21:03	21:57					
金沢高校前-B	07:09	07:31	07:51	08:11	08:26	08:51	09:19	09:44	10:12	10:38	11:13	11:39	12:13	12:41	13:14	13:43	14:13	14:28	14:43	15:13	15:39	16:01	16:24	16:42	17:11	17:27	18:07	18:29	19:01	19:24	19:47	20:14	20:34	21:05	21:59					
泉新町-B	07:10	07:32	07:52	08:12	08:27	08:52	09:20	09:45	10:13	10:39	11:14	11:40	12:14	12:42	13:15	13:44	14:14	14:29	14:44	15:14	15:40	16:02	16:25	16:43	17:12	17:28	18:08	18:30	19:02	19:25	19:48	20:15	20:35	21:06	22:00					
泉一丁目-B	07:11	07:33	07:54	08:14	08:29	08:53	09:21	09:46	10:14	10:40	11:15	11:41	12:15	12:43	13:16	13:45	14:15	14:30	14:45	15:15	15:42	16:04	16:27	16:45	17:14	17:30	18:10	18:32	19:04	19:26	19:49	20:16	20:36	21:07	22:01					
野町-B	07:12	07:34	07:55	08:15	08:30	08:54	09:22	09:47	10:15	10:41	11:16	11:42	12:16	12:44	13:17	13:46	14:16	14:31	14:46	15:16	15:43	16:05	16:28	16:46	17:15	17:31	18:11	18:33	19:05	19:27	19:50	20:17	20:37	21:08	22:02					
広小路（有松から）	07:13	07:35	07:56	08:16	08:31	08:55	09:23	09:48	10:16	10:42	11:17	11:43	12:17	12:45	13:18	13:47	14:17	14:32	14:47	15:17	15:44	16:06	16:29	16:47	17:16	17:32	18:12	18:34	19:06	19:28	19:51	20:18	20:38	21:09	22:03					
片町	07:15	07:37	07:58	08:18	08:33	08:57	09:25	09:50	10:18	10:44	11:19	11:45	12:19	12:47	13:20	13:49	14:19	14:34	14:49	15:19	15:46	16:08	16:31	16:49	17:18	17:34	18:14	18:36	19:08	19:30	19:53	20:20	20:40	21:11	22:05					
香林坊（アトリオ前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:15				
香林坊（中央公園前）	07:17	07:39	08:00	08:20	08:35	08:59	09:27	09:52	10:20	10:46	11:21	11:47	12:21	12:49	13:22	13:51	14:21	14:36	14:51	15:21	15:48	16:10	16:33	16:51	17:20	17:36	18:16	18:38	19:10	19:31	19:54	20:21	20:41	21:12	22:06	23:15				
香林坊（中央公園前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
広坂（しいのき迎賓館前）	07:18	07:40	08:01	08:21	08:36	09:00	09:28	09:53	10:21	10:47	11:22	11:48	12:22	12:50	13:23	13:52	14:22	14:37	14:52	15:22	15:49	16:11	16:34	16:52	17:21	17:37	18:17	18:39	19:11	19:32	19:55	20:22	20:42	21:13	22:07	23:16				
兼六園下（北鉄車庫前）	07:20	07:42	08:03	08:23	08:38	09:02	09:30	09:55	10:23	10:49	11:24	11:50	12:24	12:52	13:32	13:54	14:31	14:39	14:54	15:24	15:51	16:13	16:36	16:54	17:23	17:48	18:19	18:41	19:13	19:40	20:03	20:24	20:50	21:15	22:09	23:17				
小将町-A	07:21	07:43	08:04	08:24	08:39	09:03	09:31	09:56	10:24	10:50	11:25	11:51	12:25	12:53		13:55		14:40	14:55	15:25	15:52	16:14	16:37	16:55	17:24		18:20	18:42	19:14			20:25		21:16	22:10	23:18				
横山町-A	07:22	07:44	08:05	08:25	08:40	09:04	09:32	09:57	10:25	10:51	11:26	11:52	12:26	12:54		13:56		14:41	14:56	15:26	15:53	16:15	16:38	16:56	17:25		18:21	18:43	19:15			20:26		21:17	22:11	23:19				
暁町-A	07:23	07:45	08:06	08:26	08:41	09:05	09:33	09:58	10:26	10:52	11:27	11:53	12:27	12:55		13:57		14:42	14:57	15:27	15:54	16:16	16:39	16:57	17:26		18:22	18:44	19:16			20:27		21:18	22:12	23:20				
桜町-A	07:24	07:46	08:07	08:27	08:42	09:06	09:34	09:59	10:27	10:53	11:28	11:54	12:28	12:56		13:58		14:43	14:58	15:28	15:55	16:17	16:40	16:58	17:27		18:23	18:45	19:17			20:28		21:19	22:13	23:21				
田井町-A	07:25	07:47	08:08	08:28	08:43	09:07	09:35	10:00	10:28	10:54	11:29	11:55	12:29	12:57		13:59		14:44	14:59	15:29	15:56	16:18	16:41	16:59	17:28		18:24	18:46	19:18			20:29		21:20	22:14	23:22				
旭町口-A	07:26	07:48	08:09	08:29	08:44	09:08	09:36	10:01	10:29	10:55	11:30	11:56	12:30	12:58		14:00		14:45	15:00	15:30	15:57	16:19	16:42	17:00	17:29		18:25	18:47	19:19			20:30		21:21	22:15	23:23				
旭町（金大方向）	07:27	07:49	08:10	08:30	08:45	09:09	09:37	10:02	10:30	10:56	11:31	11:57	12:31	12:59		14:01		14:46	15:01	15:31	15:58	16:20	16:43	17:01	17:30		18:26	18:48	19:20			20:31		21:22	22:16	23:24				
若松橋-A	07:28	07:50	08:11	08:31	08:46	09:10	09:38	10:03	10:31	10:57	11:32	11:58	12:32	13:00		14:02		14:47	15:02	15:32	15:59	16:21	16:44	17:02	17:31		18:27	18:49	19:21			20:32		21:23	22:17	23:25				
若松西-A	07:29	07:51	08:12	08:32	08:47	09:11	09:39	10:04	10:32	10:58	11:33	11:59	12:33	13:01		14:03		14:48	15:03	15:33	16:00	16:22	16:45	17:03	17:32		18:28	18:50	19:22			20:33		21:24	22:18	23:26				
若松（若松西から）	07:31	07:53	08:14	08:34	08:49	09:13	09:41	10:06	10:34	11:00	11:35	12:01	12:35	13:03		14:05		14:50	15:05	15:35	16:02	16:24	16:47	17:05	17:43		18:39	18:52	19:24			20:34		21:34	22:19	23:29				
角間新町-A	07:33	07:55	08:16	08:36	08:51	09:15	09:43	10:08	10:36	11:02	11:37	12:03	12:37	13:05		14:07		14:52	15:07	15:37	16:04	16:26	16:49	17:07				18:54	19:26			20:36			22:21					
金沢大学角間口-A	07:34	07:56	08:17	08:37	08:52	09:16	09:44	10:09	10:37	11:03	11:38	12:04	12:38	13:06		14:08		14:53	15:08	15:38	16:05	16:27	16:50	17:08				18:55	19:27			20:37			22:22					
金沢大学自然研前	07:35	07:57	08:18	08:38	08:53	09:17	09:45	10:10	10:38	11:04	11:39	12:05	12:39	13:07		14:09		14:54	15:09	15:39	16:06	16:28	16:51	17:09				18:56	19:28			20:38			22:23					
金沢大学中央-A	07:37	07:59	08:20	08:40	08:55	09:19	09:47	10:12	10:40	11:06	11:41	12:07	12:41	13:09		14:11		14:56	15:11	15:41	16:08	16:30	16:53	17:11				18:58	19:30			20:40			22:25					
金沢大学-B	07:48	08:10	08:34	08:54	09:09	09:30	09:58	10:23	10:51	11:17	11:52	12:18	12:52	13:20		14:22		15:07	15:22	15:52	16:21	16:43	17:06	17:24				19:11	19:43			20:51			22:36					
