始発停留所	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C	西金沢-C		
始発時間	07:20	07:30	08:00	08:35	09:10	09:40	10:10	10:45	11:15	11:40	12:20	12:35	13:10	13:35	14:10	14:40	15:10	15:35	16:15	16:40	17:10	17:35	18:15	18:40	19:10	19:35	20:20	21:05		
終点時間	07:42	08:13	08:22	09:18	09:32	10:23	10:32	11:28	11:37	12:02	12:42	13:18	13:32	14:18	14:32	15:23	15:32	16:18	16:37	17:23	17:32	18:18	18:37	19:02	19:30	20:18	20:40	21:25		
終点停留所	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	金沢大学-B	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）		
備考			ノンステップバス									ノンステップバス			ノンステップバス	ノンステップバス			ノンステップバス											
西金沢-C	07:20	07:30	08:00	08:35	09:10	09:40	10:10	10:45	11:15	11:40	12:20	12:35	13:10	13:35	14:10	14:40	15:10	15:35	16:15	16:40	17:10	17:35	18:15	18:40	19:10	19:35	20:20	21:05		
米泉-B	07:21	07:31	08:01	08:36	09:11	09:41	10:11	10:46	11:16	11:41	12:21	12:36	13:11	13:36	14:11	14:41	15:11	15:36	16:16	16:41	17:11	17:36	18:16	18:41	19:11	19:36	20:21	21:06		
西泉（デイリーヤマザキ前）	07:22	07:32	08:02	08:37	09:12	09:42	10:12	10:47	11:17	11:42	12:22	12:37	13:12	13:37	14:12	14:42	15:12	15:37	16:17	16:42	17:12	17:37	18:17	18:42	19:12	19:37	20:22	21:07		
金沢高校前-B	07:24	07:34	08:04	08:39	09:14	09:44	10:14	10:49	11:19	11:44	12:24	12:39	13:14	13:39	14:14	14:44	15:14	15:39	16:19	16:44	17:14	17:39	18:19	18:44	19:14	19:39	20:24	21:09		
泉新町-B	07:25	07:35	08:05	08:40	09:15	09:45	10:15	10:50	11:20	11:45	12:25	12:40	13:15	13:40	14:15	14:45	15:15	15:40	16:20	16:45	17:15	17:40	18:20	18:45	19:15	19:40	20:25	21:10		
泉一丁目-B	07:26	07:36	08:06	08:41	09:16	09:46	10:16	10:51	11:21	11:46	12:26	12:41	13:16	13:41	14:16	14:46	15:16	15:41	16:21	16:46	17:16	17:41	18:21	18:46	19:16	19:41	20:26	21:11		
