始発停留所	兼六園下（石川門向い）	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	
始発時間	19:15	20:00	20:24	21:30	
終点時間	19:35	20:20	21:05	21:50	
終点停留所	西金沢-D	西金沢-D	西金沢-D	西金沢-D	
備考					
金沢大学-B			20:24		
金沢大学中央-B			20:25		
金沢大学自然研前			20:27		
金沢大学角間口-B			20:28		
角間新町-B			20:29		
若松（やまや前）			20:31		
若松西-B			20:32		
若松橋-B			20:33		
旭町（市内方向）			20:34		
旭町口-B			20:34		
田井町-B			20:35		
桜町-B			20:36		
暁町-B			20:37		
横山町-B			20:38		
小将町-B			20:39		
兼六園下（石川門向い）	19:15	20:00	20:41	21:30	
広坂（金沢２１世紀美術館前）	19:16	20:01	20:43	21:31	
香林坊（市役所前）	19:17	20:02	20:44	21:32	
香林坊（日銀前）	-	-	-	-	
片町（パシオン前）	19:19	20:04	20:47	21:34	
広小路（有松方向）	19:21	20:06	20:49	21:36	
野町-A	19:22	20:07	20:50	21:37	
泉一丁目-A	19:23	20:08	20:51	21:38	
泉新町-A	19:24	20:09	20:52	21:39	
金沢高校前-A	19:25	20:10	20:53	21:40	
西泉（西金沢駅方向）	19:27	20:12	20:55	21:42	
米泉-A	19:28	20:13	20:56	21:43	
西金沢-D	19:35	20:20	21:05	21:50	
