始発停留所	兼六園下（石川門）	兼六園下（石川門）	若松（やまや前）	兼六園下（石川門）	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	兼六園下（石川門）	金沢大学-B	兼六園下（石川門）	金沢大学-B	金沢大学-B	金沢大学-B	兼六園下（石川門）	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	若松（やまや前）	金沢大学-B	若松（やまや前）	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B				
始発時間	07:00	07:15	07:17	07:55	08:00	08:20	08:49	09:20	09:50	10:24	10:50	11:24	11:52	12:25	13:15	13:24	14:15	14:24	14:50	15:22	15:30	15:32	15:50	16:17	16:35	17:15	17:45	18:09	18:44	18:55	19:18	19:49	20:20	21:10	21:39	22:40				
終点時間	07:27	07:42	07:53	08:22	08:44	09:04	09:33	10:04	10:34	11:09	11:35	12:09	12:37	13:10	13:39	14:09	14:39	15:09	15:35	16:07	15:57	16:20	16:38	17:05	17:23	18:03	18:21	18:57	19:20	19:43	19:59	20:30	21:01	21:51	22:07	23:08				
終点停留所	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	香林坊（日銀前）	香林坊（日銀前）				
備考		ノンステップバス					ノンステップバス					ノンステップバス				ノンステップバス									ノンステップバス															
金沢大学-B					08:00	08:20	08:49	09:20	09:50	10:24	10:50	11:24	11:52	12:25		13:24		14:24	14:50	15:22		15:32	15:50	16:17	16:35	17:15		18:09		18:55	19:18	19:49	20:20	21:10	21:39	22:40				
金沢大学中央-B					08:01	08:21	08:50	09:21	09:51	10:25	10:51	11:25	11:53	12:26		13:25		14:25	14:51	15:23		15:33	15:51	16:18	16:36	17:16		18:10		18:56	19:19	19:50	20:21	21:11	21:40	22:41				
金沢大学自然研前					-	-	-	-	-	10:27	10:53	11:27	11:55	12:28		13:27		14:27	14:53	15:25		15:35	15:53	16:20	16:38	17:18		18:12		18:58	19:21	19:52	20:23	21:13	21:42	22:43				
金沢大学角間口-B					08:02	08:22	08:51	09:22	09:52	10:28	10:54	11:28	11:56	12:29		13:28		14:28	14:54	15:26		15:37	15:55	16:22	16:40	17:20		18:14		19:00	19:22	19:53	20:24	21:14	21:43	22:44				
角間新町-B					08:03	08:23	08:52	09:23	09:53	10:29	10:55	11:29	11:57	12:30		13:29		14:29	14:55	15:27		15:38	15:56	16:23	16:41	17:21		18:15		19:01	19:23	19:54	20:25	21:15	21:44	22:45				
若松（やまや前）			07:17		08:05	08:25	08:54	09:25	09:55	10:31	10:57	11:31	11:59	12:32		13:31		14:31	14:57	15:29		15:40	15:58	16:25	16:43	17:23	17:45	18:17	18:44	19:03	19:25	19:56	20:27	21:17	21:46	22:47				
若松西-B			07:18		08:06	08:26	08:55	09:26	09:56	10:32	10:58	11:32	12:00	12:33		13:32		14:32	14:58	15:30		15:41	15:59	16:26	16:44	17:24	17:46	18:18	18:45	19:04	19:26	19:57	20:28	21:18	21:47	22:48				
