始発停留所	若松（やまや前）	兼六園下（石川門向い）	兼六園下（石川門向い）	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	兼六園下（石川門向い）	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	兼六園下（石川門向い）	金沢大学-B	兼六園下（石川門向い）	
始発時間	06:57	07:00	07:40	08:10	08:30	09:15	09:25	10:20	10:29	11:10	11:34	12:10	12:40	13:10	13:24	14:15	14:24	15:10	15:29	16:15	16:24	17:10	17:29	18:15	18:24	19:15	20:00	20:24	21:30	
終点時間	07:30	07:20	08:00	08:30	09:10	09:40	10:10	10:45	11:15	11:35	12:20	12:35	13:05	13:35	14:10	14:40	15:10	15:35	16:15	16:40	17:10	17:35	18:15	18:40	19:10	19:35	20:20	21:05	21:50	
終点停留所	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	西金沢-D	
備考			ノンステップバス									ノンステップバス			ノンステップバス	ノンステップバス			ノンステップバス											
金沢大学-B					08:30		09:25		10:29		11:34				13:24		14:24		15:29		16:24		17:29		18:24			20:24		
金沢大学中央-B					08:31		09:26		10:30		11:35				13:25		14:25		15:30		16:25		17:30		18:25			20:25		
金沢大学自然研前					-		-		10:32		11:37				13:27		14:27		15:32		16:27		17:32		18:27			20:27		
金沢大学角間口-B					08:32		09:27		10:33		11:38				13:28		14:28		15:33		16:28		17:33		18:28			20:28		
角間新町-B					08:33		09:28		10:34		11:39				13:29		14:29		15:34		16:29		17:34		18:29			20:29		
若松（やまや前）	06:57				08:35		09:30		10:36		11:41				13:31		14:31		15:36		16:31		17:36		18:31			20:31		
若松西-B	06:58				08:36		09:31		10:37		11:42				13:32		14:32		15:37		16:32		17:37		18:32			20:32		
若松橋-B	06:59				08:37		09:32		10:38		11:43				13:33		14:33		15:38		16:33		17:38		18:33			20:33		
旭町（市内方向）	07:00				08:38		09:33		10:39		11:44				13:34		14:34		15:39		16:34		17:39		18:34			20:34		
旭町口-B	07:00				08:38		09:33		10:39		11:44				13:34		14:34		15:39		16:34		17:39		18:34			20:34		
田井町-B	07:01				08:39		09:34		10:40		11:45				13:35		14:35		15:40		16:35		17:40		18:35			20:35		
桜町-B	07:02				08:40		09:35		10:41		11:46				13:36		14:36		15:41		16:36		17:41		18:36			20:36		
暁町-B	07:03				08:41		09:36		10:42		11:47				13:37		14:37		15:42		16:37		17:42		18:37			20:37		
横山町-B	07:04				08:42		09:37		10:43		11:48				13:38		14:38		15:43		16:38		17:43		18:38			20:38		
小将町-B	07:05				08:43		09:38		10:44		11:49				13:39		14:39		15:44		16:39		17:44		18:39			20:39		
兼六園下（石川門向い）	07:07	07:00	07:40	08:10	08:45	09:15	09:40	10:20	10:46	11:10	11:51	12:10	12:40	13:10	13:41	14:15	14:41	15:10	15:46	16:15	16:41	17:10	17:46	18:15	18:41	19:15	20:00	20:41	21:30	
広坂（金沢２１世紀美術館前）	07:09	07:01	07:41	08:11	08:46	09:17	09:42	10:22	10:48	11:12	11:53	12:12	12:42	13:12	13:43	14:17	14:43	15:12	15:48	16:17	16:43	17:12	17:48	18:17	18:43	19:16	20:01	20:43	21:31	
香林坊（市役所前）	07:10	07:02	07:42	08:12	08:47	09:18	09:43	10:23	10:49	11:13	11:54	12:13	12:43	13:13	13:44	14:18	14:44	15:13	15:49	16:18	16:44	17:13	17:49	18:18	18:44	19:17	20:02	20:44	21:32	
香林坊（日銀前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
