始発停留所	門前-A	門前-A	門前-A		
始発時間	16:30	17:30	18:30		
終点時間	17:05	18:05	19:05		
終点停留所	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】		
備考					
門前-A	16:30	17:30	18:30		
日野尾-A	16:31	17:31	18:31		
広瀬-A	16:32	17:32	18:32		
保健センター前-B	16:33	17:33	18:33		
本市-B	16:34	17:34	18:34		
本市口-B	16:35	17:35	18:35		
田村-A	16:36	17:36	18:36		
正仏-A	16:37	17:37	18:37		
浦上-A	16:38	17:38	18:38		
知気女-A	16:39	17:39	18:39		
中屋-A	16:41	17:41	18:41		
上中屋-A	16:42	17:42	18:42		
西円山-A	16:44	17:44	18:44		
縄又-A	16:47	17:47	18:47		
下縄又-A	16:48	17:48	18:48		
二俣-A	16:49	17:49	18:49		
二俣学校前-A	16:50	17:50	18:50		
黒川-A	16:51	17:51	18:51		
四十九坊-A	16:52	17:52	18:52		
長井-A	16:54	17:54	18:54		
稲屋-A	16:56	17:56	18:56		
大屋学校前-A	16:57	17:57	18:57		
小伊勢-A	16:58	17:58	18:58		
県立漆芸研修所前-A	16:59	17:59	18:59		
測候所前-A	17:00	18:00	19:00		
新橋-A	17:01	18:01	19:01		
中央通り-A	17:02	18:02	19:02		
馬場町-A	17:03	18:03	19:03		
輪島駅前【２】	17:05	18:05	19:05		
輪島駅前【３】					
輪島病院-C					
