始発停留所	辰口和光台	宮竹（先端大学院から）	辰口和光台	辰口和光台	緑ケ丘十丁目-B	辰口和光台	いしかわ動物園	緑ケ丘十丁目-B		
始発時間	06:34	07:00	07:05	07:20	09:42	14:00	15:45	17:26		
終点時間	07:37	08:04	08:09	08:30	10:53	15:14	16:52	18:43		
終点停留所	香林坊（中央公園前）	辰巳丘高校-B	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】		
備考										
辰口和光台	06:34		07:05	07:20		14:00				
いしかわ動物園	-		-	-		-	15:45			
緑ケ丘十丁目-B	06:37		07:08	07:23	09:42	14:03	-	17:26		
緑ケ丘九丁目-B	06:38		07:09	07:24	09:43	14:04	-	17:27		
辰口ハイタウン-B	06:39		07:10	07:25	09:44	14:05	15:48	17:28		
緑ケ丘四丁目-B	06:40		07:11	07:26	09:45	14:06	15:49	17:29		
緑ケ丘一丁目-B	06:41		07:12	07:27	09:46	14:07	15:50	17:30		
辰口丘陵公園口-B	06:42		-	07:28	09:47	14:08	15:51	17:31		
辰口温泉口	-		07:13	-	-	-	-	-		
辰口温泉	06:43		-	07:29	09:48	14:09	15:52	17:32		
辰口-B	06:44		-	07:30	09:49	14:10	15:53	17:33		
三ツ屋	06:45		-	07:31	09:50	14:11	15:54	17:34		
山田	06:46		-	07:32	09:51	14:12	15:55	17:35		
来丸	06:47		-	07:33	09:52	14:13	15:56	17:36		
火釜	06:48		-	07:34	09:53	14:14	15:57	17:37		
岩内-A	06:49		-	07:35	09:54	14:15	15:58	17:38		
加賀産岩内	-		07:16	-	-	-	-	-		
三ツ口	-		-	-	09:55	14:16	-	17:39		
先端大学院	-		-	-	-	-	-	17:42		
大学院口	-		-	-	-	-	-	17:43		
宮竹（先端大学院から）	-	07:00	-	-	-	-	-	17:45		
宮竹小学校前-A	-	07:01	-	-	09:56	14:17	-	17:46		
宮竹（先端大学院方向）	-	-	-	-	09:57	14:18	-	-		
三ツ口	-	07:03	-	-	-	-	-	17:48		
加賀産山島台ニュータウン-B	06:53	07:07	07:19	07:39	10:02	14:23	16:02	17:52		
加賀産藤の木（四十万方向）	06:54	07:08	-	07:40	10:03	14:24	16:03	17:53		
加賀産みずほ台-B	06:55	07:09	07:22	07:41	10:04	14:25	16:04	17:54		
南部車庫（加賀産市内方向）	06:56	07:10	07:26	07:42	10:05	14:26	16:05	17:55		
加賀産上林-B	06:57	07:11	-	07:43	10:06	14:27	16:06	17:56		
加賀産新庄-B	06:58	07:12	-	07:44	10:07	14:28	16:07	17:57		
中四十万（南部車庫から）	07:00	07:14	-	07:46	10:09	14:30	16:09	17:59		
四十万-B	07:02	07:16	07:34	07:48	10:11	14:32	16:11	18:01		
しじま台-B	07:03	07:17	-	07:49	10:12	14:33	16:12	18:02		
額中学校前-B	07:04	07:18	07:36	07:50	10:13	14:34	16:13	18:03		
大額三丁目-B	07:05	07:19	-	07:51	10:14	14:35	16:14	18:04		
大額二丁目-B	07:06	07:20	07:38	07:52	10:15	14:36	16:15	18:05		
光が丘口（四十万から）	07:07	07:21	-	07:53	10:16	14:37	16:16	18:06		
扇台小学校前-B	07:09	07:23	07:40	07:55	10:18	14:39	16:18	18:08		
扇が丘-B	07:10	07:24	-	07:56	10:19	14:40	16:19	18:09		
金沢工業大学（四十万から）	07:11	07:25	-	07:57	10:20	14:41	16:20	18:10		
三馬日赤病院前-B	07:12	07:26	-	07:58	10:21	14:42	16:21	18:11		
錦丘高校前（四十万から）	07:13	07:27	07:44	07:59	10:22	14:43	16:22	18:12		
伏見台（市内方向）	07:14	07:28	-	08:00	10:23	14:44	16:23	18:13		
寺地-B	07:15	07:29	07:46	08:01	10:24	14:45	16:24	18:14		
上有松-B	07:16	07:30	-	08:02	10:25	14:46	16:25	18:15		
有松（寺地から）	07:17	-	07:49	08:03	10:26	14:47	16:26	18:16		
有松（泉が丘方向）	-	07:32	-	-	-	-	-	-		
泉二丁目-B	07:19	-	-	08:05	10:28	14:49	16:28	18:18		
泉一丁目-B	07:21	-	-	08:07	10:30	14:51	16:30	18:20		
野町-B	07:22	-	-	08:08	10:31	14:52	16:31	18:21		
広小路（有松から）	07:24	-	07:55	08:10	10:33	14:54	16:33	18:23		
片町（ラブロ前）	07:28	-	07:57	08:14	10:37	14:58	16:37	18:27		
香林坊（中央公園前）	07:37	-	-	-	-	-	-	-		
香林坊（日銀前）		-	07:58	08:15	10:38	14:59	16:38	18:28		
南町-B		-	08:00	08:16	10:39	15:00	16:39	18:29		
武蔵ヶ辻（エムザ前）		-	08:02	08:17	10:40	15:01	16:40	18:30		
リファーレ前-B		-	-	08:18	10:41	15:02	16:41	18:31		
金沢駅【降車場】		-	08:09	08:30	10:53	15:14	16:52	18:43		
泉が丘（図書館前）		07:33								
泉野四丁目（寺町方向）		07:34								
泉野一丁目-A		07:35								
寺町一丁目（猿丸神社前方向）		07:36								
菊川一丁目-B		07:37								
猿丸神社前（小立野方向）		07:38								
笠舞三丁目-B		07:40								
天徳院前-A		07:41								
小立野三丁目-A		07:43								
崎浦公民館-A		07:44								
小立野一丁目-A		07:45								
錦町（湯涌）		07:46								
土清水口-A		07:47								
土清水-A		07:48								
土清水南-A		07:49								
舘山町-A		07:50								
辰巳丘高校-B		08:04								
