始発停留所	金沢駅【８】				
始発時間	19:20				
終点時間	20:30				
終点停留所	辰口和光台				
備考					
金沢駅【８】	19:20				
リファーレ前-A	19:22				
武蔵ヶ辻（近江町市場前）	19:25				
南町-A	19:27				
香林坊（アトリオ前）	19:29				
片町（パシオン前）	19:32				
広小路（有松方向）	19:34				
野町-A	19:35				
泉一丁目-A	19:36				
泉二丁目-A	19:38				
有松（寺地方向）	19:40				
上有松-A	19:41				
寺地-A	19:42				
伏見台（郊外方向）	19:43				
錦丘高校前（四十万方向）	19:44				
三馬日赤病院前-A	19:46				
金沢工業大学（四十万方向）	19:47				
扇が丘-A	19:48				
扇台小学校前-A	19:49				
光が丘口（四十万方向）	19:51				
大額二丁目-A	19:52				
大額三丁目-A	19:53				
額中学校前-A	19:54				
しじま台-A	19:55				
四十万-A	19:56				
中四十万（南部車庫方向）	19:57				
加賀産新庄-A	19:59				
加賀産上林-A	20:00				
南部車庫（加賀産郊外方向）	20:02				
南部車庫-A	-				
加賀産みずほ台-A	20:03				
加賀産藤の木（辰口方向）	20:05				
加賀産山島台ニュータウン-A	20:06				
三ツ口	-				
宮竹（先端大学院から）	-				
宮竹小学校前-A	-				
宮竹（先端大学院方向）	-				
大学院口	-				
先端大学院	-				
三ツ口	-				
岩内-B	20:08				
火釜	20:09				
来丸	20:10				
山田	20:11				
三ツ屋	20:12				
辰口-A	20:13				
辰口温泉	20:14				
辰口丘陵公園口-A	20:15				
緑ケ丘一丁目-B	20:16				
緑ケ丘四丁目-A	20:17				
辰口ハイタウン-A	20:18				
緑ケ丘九丁目-A	20:19				
緑ケ丘十丁目-A	20:20				
いしかわ動物園	-				
辰口和光台	20:30				
