始発停留所	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（押越方向）	野々市市役所	野々市車庫-B	野々市車庫-B	野々市市役所	野々市車庫-B	野々市市役所	野々市車庫-B	野々市車庫-B	野々市市役所	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市市役所	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市市役所	野々市車庫-B	野々市車庫-B	野々市市役所	野々市車庫-B	野々市車庫-B	野々市市役所	野々市車庫-B	野々市市役所	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B				
始発時間	06:30	06:50	07:10	07:10	07:20	07:20	07:55	08:40	09:05	09:40	09:50	10:25	11:00	11:20	12:10	12:45	13:15	13:35	14:25	14:45	15:00	15:05	15:40	16:05	16:32	16:55	17:10	17:20	17:50	18:05	18:35	19:00	19:35	20:10	21:00	21:55				
終点時間	07:06	07:26	07:54	07:55	08:00	08:20	08:39	09:24	09:47	10:17	10:32	11:02	11:37	12:02	12:47	13:22	13:52	14:17	15:02	15:22	15:37	15:47	16:19	16:44	17:16	17:34	17:49	18:04	18:29	18:49	19:14	19:34	20:09	20:44	21:34	22:29				
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金大附校自衛隊前-B	金大附校自衛隊前-B	県庁前-D	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】				
備考		ノンステップバス		学期休み期間、運休	冬期運行、学期休運休			ノンステップバス					ノンステップバス																											
野々市駅（ＪＲ野々市駅南口ロータリー）				07:10																																				
野々市駅（押越方向）				-	07:20																																			
野代２丁目				07:11	-																																			
押越-B				07:12	-																																			
八日市１丁目				07:14	-																																			
押野北-B				07:16	-																																			
押野中央-B				07:18	-																																			
押野六丁目-A				07:19	-																																			
本押野-B				07:20	-																																			
御園小学校前				-	07:23																																			
稲荷北				-	07:23																																			
太平寺（市内方向）				-	07:25																																			
野々市小学校前				-	07:26																																			
野々市市役所				-	-	07:20			09:05		09:50			11:20				13:35				15:05			16:32			17:20		18:05										
野々市中学校前-B				-	-	07:21			09:06		09:51			11:21				13:36				15:06			16:33			17:21		18:06										
野々市消防署前-B				-	07:28	07:22			09:07		09:52			11:22				13:37				15:07			16:34			17:22		18:07										
菅原小学校前-B				-	07:29	07:23			09:08		09:53			11:23				13:38				15:08			16:35			17:23		18:08										
住吉町-B				-	-	07:25			09:10		09:55			11:25				13:40				15:10			16:37			17:25		18:10										
扇が丘西				-	07:31	-			-		-			-				-				-			-			-		-										
扇が丘-B				-	07:32	-			-		-			-				-				-			-			-		-										
金沢工業大学（四十万から）				-	07:33	-			-		-			-				-				-			-			-		-										
野々市車庫-B	06:30	06:50	07:10	-	-	-	07:55	08:40	-	09:40	-	10:25	11:00	-	12:10	12:45	13:15	-	14:25	14:45	15:00	-	15:40	16:05	-	16:55	17:10	-	17:50	-	18:35	19:00	19:35	20:10	21:00	21:55				
野々市車庫-X	-	-	-	07:21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
西野々市-C	06:31	06:51	07:11	07:22	-	-	07:56	08:41	-	09:41	-	10:26	11:01	-	12:11	12:46	13:16	-	14:26	14:46	15:01	-	15:41	16:06	-	16:56	17:11	-	17:51	-	18:36	19:01	19:36	20:11	21:01	21:56				
野々市本町三丁目-B	06:32	06:52	07:12	07:23	-	-	07:57	08:42	-	09:42	-	10:27	11:02	-	12:12	12:47	13:17	-	14:27	14:47	15:02	-	15:42	16:07	-	16:57	17:12	-	17:52	-	18:37	19:02	19:37	20:12	21:02	21:57				
東野々市-B	06:34	06:54	07:14	07:25	-	07:27	07:59	08:44	09:12	09:44	09:57	10:29	11:04	11:27	12:14	12:49	13:19	13:42	14:29	14:49	15:04	15:12	15:44	16:09	16:39	16:59	17:14	17:27	17:54	18:12	18:39	19:04	19:39	20:14	21:04	21:59				
押野-B	06:36	06:56	07:16	07:27	-	07:29	08:01	08:46	09:14	09:46	09:59	10:31	11:06	11:29	12:16	12:51	13:21	13:44	14:31	14:51	15:06	15:14	15:46	16:11	16:41	17:01	17:16	17:29	17:56	18:14	18:41	19:06	19:41	20:16	21:06	22:01				
押野丸木-B	06:36	06:56	07:16	07:27	-	07:29	08:01	08:46	09:14	09:46	09:59	10:31	11:06	11:29	12:16	12:51	13:21	13:44	14:31	14:51	15:06	15:14	15:46	16:11	16:41	17:01	17:16	17:29	17:56	18:14	18:41	19:06	19:41	20:16	21:06	22:01				
伏見橋（県道市内方向）	06:38	06:58	07:18	07:31	-	07:32	08:04	08:48	09:16	09:48	10:01	10:33	11:08	11:31	12:18	12:53	13:23	13:46	14:33	14:53	15:08	15:16	15:48	16:13	16:43	17:03	17:18	17:31	17:58	18:16	18:43	19:08	19:43	20:18	21:08	22:03				
伏見橋（ニューハウス前）	-	-	-	07:32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
西泉住宅-B	06:40	07:00	07:20	-	-	07:34	08:06	08:50	09:18	09:50	10:03	10:35	11:10	11:33	12:20	12:55	13:25	13:48	14:35	14:55	15:10	15:18	15:50	16:15	16:45	17:05	17:20	17:33	18:00	18:18	18:45	19:10	19:45	20:20	21:10	22:05				
西泉（スイミング前）	06:41	07:01	07:21	-	-	07:41	08:13	08:51	09:19	09:51	10:04	10:36	11:11	11:34	12:21	12:56	13:26	13:49	14:36	14:56	15:11	15:19	15:51	16:16	16:46	17:06	17:21	17:34	18:01	18:19	18:46	19:11	19:46	20:21	21:11	22:06				
金沢高校前-B	06:42	07:02	07:22	-	-	07:42	08:14	08:52	09:20	09:52	10:05	10:37	11:12	11:35	12:22	12:57	13:27	13:50	14:37	14:57	15:12	15:20	15:52	16:17	16:47	17:07	17:22	17:35	18:02	18:20	18:47	19:12	19:47	20:22	21:12	22:07				
泉新町-B	06:43	07:03	07:23	-	-	07:43	08:15	08:53	09:21	09:53	10:06	10:38	11:13	11:36	12:23	12:58	13:28	13:51	14:38	14:58	15:13	15:21	15:53	16:18	16:48	17:08	17:23	17:36	18:03	18:21	18:48	19:13	19:48	20:23	21:13	22:08				
泉一丁目-B	06:44	07:04	07:24	-	-	07:44	08:16	08:54	09:22	09:54	10:07	10:39	11:14	11:37	12:24	12:59	13:29	13:52	14:39	14:59	15:14	15:22	15:54	16:19	16:49	17:09	17:24	17:37	18:04	18:22	18:49	19:14	19:49	20:24	21:14	22:09				
野町-B	06:45	07:05	07:25	-	-	07:45	08:17	08:55	09:23	09:55	10:08	10:40	11:15	11:38	12:25	13:00	13:30	13:53	14:40	15:00	15:15	15:23	15:55	16:20	16:50	17:10	17:25	17:38	18:05	18:23	18:50	19:15	19:50	20:25	21:15	22:10				
広小路（有松から）	06:47	07:07	07:27	-	-	07:47	08:19	08:57	09:25	09:57	10:10	10:42	11:17	11:40	12:27	13:02	13:32	13:55	14:42	15:02	15:17	15:25	15:57	16:22	16:52	17:12	17:27	17:40	18:07	18:25	18:52	19:17	19:52	20:27	21:17	22:12				
片町	06:51	07:11	07:31	-	-	07:50	08:23	09:01	09:29	10:01	10:14	10:46	11:21	11:44	12:31	13:06	13:36	13:59	14:46	15:06	15:21	15:29	16:01	16:26	16:56	17:16	17:31	17:44	18:11	18:29	18:56	19:21	19:56	20:31	21:21	22:16				
香林坊（日銀前）	06:53	07:13	07:33	-	-	07:51	08:25	09:03	09:31	10:03	10:16	10:48	11:23	11:46	12:33	13:08	13:38	14:01	14:48	15:08	15:23	15:31	16:03	16:28	16:58	17:18	17:33	17:46	18:13	18:31	18:58	19:23	19:58	20:33	21:23	22:18				
南町-B	06:55	07:15	07:35	-	-	07:53	08:27	09:05	09:33	10:05	10:18	10:50	11:25	11:48	12:35	13:10	13:40	14:03	14:50	15:10	15:25	15:33	16:05	16:30	17:00	17:20	17:35	17:48	18:15	18:33	19:00	19:25	20:00	20:35	21:25	22:20				
武蔵ヶ辻（めいてつエムザ前）	06:57	07:17	07:37	-	-	07:55	08:29	09:07	09:35	10:07	10:20	10:52	11:27	11:50	12:37	13:12	13:42	14:05	14:52	15:12	15:27	15:35	16:07	16:32	17:02	17:22	17:37	17:50	18:17	18:35	19:02	19:27	20:02	20:37	21:27	22:22				
武蔵ヶ辻（ホリデイ・イン金沢前）	-	-	-	-	-	07:55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
六枚町（金石方向）	-	-	-	-	-	07:58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
広岡口（朱鷺の苑前）	-	-	-	-	-	08:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
リファーレ前-B	06:59	07:19	07:39	-	-	-	08:31	09:09	09:37	10:09	10:22	10:54	11:29	11:52	12:39	13:14	13:44	14:07	14:54	15:14	15:29	15:37	16:09	16:34	17:04	17:24	17:39	17:52	18:19	18:37	19:04	19:29	20:04	20:39	21:29	22:24				
金沢駅【降車場】	07:06	07:26	07:54	-	-	-	08:39	09:24	09:47	10:17	10:32	11:02	11:37	12:02	12:47	13:22	13:52	14:17	15:02	15:22	15:37	15:47	16:19	16:44	17:16	17:34	17:49	18:04	18:29	18:49	19:14	19:34	20:09	20:44	21:34	22:29				
金沢駅西口降車				-	-	08:03																																		
金沢駅西口【６】				-	-	08:03																																		
広岡-A				-	-	08:05																																		
西念南-A				-	-	08:06																																		
西念西-A				-	-	08:07																																		
駅西合庁前（西念南から）				-	-	08:08																																		
県庁前-D				-	-	08:20																																		
二万堂-B				07:33	-																																			
有松（二万堂から）				07:34	-																																			
有松（泉が丘方向）				07:35	-																																			
泉が丘（円光寺方向）				07:39	-																																			
金沢工業大学（四十万から）				-	-																																			
三馬日赤病院前-B				-	07:34																																			
錦丘高校前（窪方向）				-	07:36																																			
窪（市内方向）				-	07:38																																			
円光寺（市内方向）				-	07:39																																			
泉丘高校前-B				-	07:40																																			
市総合体育館前-C				07:40	07:41																																			
二水高校前-A				07:42	07:43																																			
平和町（公民館前）				07:44	07:45																																			
平和町（アルコ前）				07:46	07:45																																			
金大附校自衛隊前-B				07:55	08:00																																			
