始発停留所	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市市役所	野々市車庫-B	野々市市役所	野々市車庫-B	野々市市役所	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市市役所	野々市車庫-B	野々市市役所	野々市車庫-B	野々市市役所	野々市市役所	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B			
始発時間	07:10	07:40	08:00	08:40	09:05	09:40	10:10	10:45	11:20	12:00	12:40	13:15	13:35	14:40	15:05	16:00	16:35	17:20	18:00	18:45	19:40	20:30			
終点時間	07:42	08:16	08:36	09:16	09:46	10:16	10:51	11:21	12:01	12:39	13:19	13:54	14:19	15:19	15:49	16:39	17:19	18:04	18:39	19:24	20:12	21:02			
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】			
備考		ノンステップバス								ノンステップバス			ノンステップバス												
野々市駅（ＪＲ野々市駅南口ロータリー）																									
野々市駅（押越方向）																									
野代２丁目																									
押越-B																									
八日市１丁目																									
押野北-B																									
押野中央-B																									
押野六丁目-A																									
本押野-B																									
御園小学校前																									
稲荷北																									
太平寺（市内方向）																									
野々市小学校前																									
野々市市役所					09:05		10:10		11:20				13:35		15:05		16:35	17:20							
野々市中学校前-B					09:06		10:11		11:21				13:36		15:06		16:36	17:21							
野々市消防署前-B					09:07		10:12		11:22				13:37		15:07		16:37	17:22							
菅原小学校前-B					09:08		10:13		11:23				13:38		15:08		16:38	17:23							
住吉町-B					09:10		10:15		11:25				13:40		15:10		16:40	17:25							
扇が丘西					-		-		-				-		-		-	-							
扇が丘-B					-		-		-				-		-		-	-							
金沢工業大学（四十万から）					-		-		-				-		-		-	-							
野々市車庫-B	07:10	07:40	08:00	08:40	-	09:40	-	10:45	-	12:00	12:40	13:15	-	14:40	-	16:00	-	-	18:00	18:45	19:40	20:30			
野々市車庫-X	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
西野々市-C	07:11	07:41	08:01	08:41	-	09:41	-	10:46	-	12:01	12:41	13:16	-	14:41	-	16:01	-	-	18:01	18:46	19:41	20:31			
野々市本町三丁目-B	07:12	07:42	08:02	08:42	-	09:42	-	10:47	-	12:02	12:42	13:17	-	14:42	-	16:02	-	-	18:02	18:47	19:42	20:32			
東野々市-B	07:14	07:44	08:04	08:44	09:12	09:44	10:17	10:49	11:27	12:04	12:44	13:19	13:42	14:44	15:12	16:04	16:42	17:27	18:04	18:49	19:44	20:34			
