始発停留所	金沢駅【９】	金沢駅【９】	金沢駅【９】		
始発時間	20:22	21:12	22:12		
終点時間	20:56	21:46	22:46		
終点停留所	野々市車庫-A	野々市車庫-A	野々市車庫-A		
備考					
金大附校自衛隊前-B					
平和町（柳橋方向）					
二水高校前-B					
市総合体育館前-C					
泉丘高校前-A					
円光寺（郊外方向）					
窪（工大方向）					
錦丘高校前（窪から）					
三馬日赤病院前-A					
金沢工業大学（四十万方向）					
扇が丘-A					
扇が丘西					
県庁前-B					
駅西合庁前（西念南方向）					
西念西-B					
西念南-B					
広岡-B					
金沢駅西口降車					
金沢駅西口【５】					
金沢駅東通り-B					
金沢駅【９】	20:22	21:12	22:12		
リファーレ前-A	20:24	21:14	22:14		
武蔵ヶ辻（近江町市場前）	20:26	21:16	22:16		
南町-A	20:27	21:17	22:17		
香林坊（アトリオ前）	20:29	21:19	22:19		
片町（パシオン前）	20:32	21:22	22:22		
広小路（有松方向）	20:34	21:24	22:24		
野町-A	20:35	21:25	22:25		
泉一丁目-A	20:36	21:26	22:26		
泉新町-A	20:37	21:27	22:27		
金沢高校前-A	20:38	21:28	22:28		
西泉（スバル前）	20:39	21:29	22:29		
西泉住宅-A	20:41	21:31	22:31		
伏見橋（交番前）	20:43	21:33	22:33		
押野-A	20:44	21:34	22:34		
東野々市-A	20:46	21:36	22:36		
野々市本町三丁目-A	20:48	21:38	22:38		
西野々市-D	20:49	21:39	22:39		
野々市車庫-A	20:56	21:46	22:46		
住吉町-A					
菅原小学校前-A					
野々市消防署前-A					
野々市中学校前-A					
野々市市役所					
野々市小学校前					
太平寺（松任方向）					
稲荷北					
御園小学校前					
野々市駅（押越方向）					
