始発停留所	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B				
始発時間	07:45	08:23	08:30	09:35	10:30	10:55	11:50	12:45	13:30	14:48	15:20	16:32	17:20	18:15	18:46	19:30				
終点時間	08:25	09:03	09:10	10:15	11:12	11:37	12:32	13:27	14:12	15:30	16:02	17:14	18:05	19:00	19:31	20:15				
終点停留所	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A				
備考		学期休み期間、運休	学期休み期間、運休		学期休み期間、運休	学期休み期間、運休		学期休み期間、運休				学期休み期間、運休		学期休み期間、運休		学期休み期間、運休				
金沢大学-B	07:45	08:23	08:30	09:35	10:30	10:55	11:50	12:45	13:30	14:48	15:20	16:32	17:20	18:15	18:46	19:30				
金沢大学中央-B	07:46	08:24	08:31	09:36	10:31	10:56	11:51	12:46	13:31	14:49	15:21	16:33	17:21	18:16	18:47	19:31				
金沢大学自然研前	-	-	-	-	10:33	10:58	11:53	12:48	13:33	14:51	15:23	16:35	17:23	18:18	18:49	19:33				
金沢大学角間口-B	07:47	08:25	08:32	09:37	10:34	10:59	11:54	12:49	13:34	14:52	15:24	16:36	17:24	18:19	18:50	19:34				
角間新町-B	07:47	08:25	08:32	09:37	10:35	11:00	11:55	12:50	13:35	14:53	15:25	16:37	17:25	18:20	18:51	19:35				
若松（やまや前）	07:48	08:26	08:33	09:38	10:37	11:02	11:57	12:52	13:37	14:55	15:27	16:39	17:27	18:22	18:53	19:37				
若松西-B	07:49	08:27	08:34	09:39	10:38	11:03	11:58	12:53	13:38	14:56	15:28	16:40	17:28	18:23	18:54	19:38				
若松橋-B	07:50	08:28	08:35	09:40	10:39	11:04	11:59	12:54	13:39	14:57	15:29	16:41	17:29	18:24	18:55	19:39				
旭町（市内方向）	07:53	08:31	08:38	09:43	10:40	11:05	12:00	12:55	13:40	14:58	15:30	16:42	17:30	18:25	18:56	19:40				
旭町口-B	07:54	08:32	08:39	09:44	10:41	11:06	12:01	12:56	13:41	14:59	15:31	16:43	17:31	18:26	18:57	19:41				
田井町-B	07:55	08:33	08:40	09:45	10:42	11:07	12:02	12:57	13:42	15:00	15:32	16:44	17:32	18:27	18:58	19:42				
如来寺前（旭町から）	07:57	08:35	08:42	09:47	10:44	11:09	12:04	12:59	13:44	15:02	15:34	16:46	17:34	18:29	19:00	19:44				
石引二丁目-A	07:58	08:36	08:43	09:48	10:45	11:10	12:05	13:00	13:45	15:03	15:35	16:47	17:35	18:30	19:01	19:45				
笠舞三丁目-A	07:59	08:37	08:44	09:49	10:46	11:11	12:06	13:01	13:46	15:04	15:36	16:48	17:36	18:31	19:02	19:46				
猿丸神社前（寺町方向）	08:00	08:38	08:45	09:50	10:47	11:12	12:07	13:02	13:47	15:05	15:37	16:49	17:37	18:32	19:03	19:47				
菊川一丁目-A	08:01	08:39	08:46	09:51	10:48	11:13	12:08	13:03	13:48	15:06	15:38	16:50	17:38	18:33	19:04	19:48				
寺町一丁目（猿丸神社前から）	08:02	08:40	08:47	09:52	10:49	11:14	12:09	13:04	13:49	15:07	15:39	16:51	17:39	18:34	19:05	19:49				
寺町一丁目（泉が丘方向）	08:02	08:40	08:47	09:52	10:49	11:14	12:09	13:04	13:49	15:07	15:39	16:51	17:39	18:34	19:05	19:49				
泉野一丁目-B	08:03	08:41	08:48	09:53	10:50	11:15	12:10	13:05	13:50	15:08	15:40	16:52	17:40	18:35	19:06	19:50				
泉野四丁目（有松方向）	08:04	08:42	08:49	09:54	10:52	11:17	12:12	13:07	13:52	15:10	15:42	16:54	17:42	18:37	19:08	19:52				
泉が丘（有松方向）	08:06	08:44	08:51	09:56	10:55	11:20	12:15	13:10	13:55	15:13	15:45	16:57	17:45	18:40	19:11	19:55				
有松（泉が丘から）	08:08	08:46	08:53	09:58	10:57	11:22	12:17	13:12	13:57	15:15	15:47	16:59	17:47	18:42	19:13	19:57				
有松（郵便局前）	08:08	08:46	08:53	09:58	10:57	11:22	12:17	13:12	13:57	15:15	15:47	16:59	17:47	18:42	19:13	19:57				
二万堂-A	08:10	08:48	08:55	10:00	10:59	11:24	12:19	13:14	13:59	15:17	15:49	17:01	17:49	18:44	19:15	19:59				
伏見橋（国道松任方向）	08:12	08:50	08:57	10:02	11:01	11:26	12:21	13:16	14:01	15:19	15:51	17:03	17:51	18:46	19:17	20:01				
横宮-A	08:14	08:52	08:59	10:04	11:03	11:28	12:23	13:18	14:03	15:21	15:53	17:05	17:53	18:48	19:19	20:03				
野々市中央-A	08:15	08:53	09:00	10:05	11:04	11:29	12:24	13:19	14:04	15:22	15:54	17:06	17:54	18:49	19:20	20:04				
野々市車庫-A	08:25	09:03	09:10	10:15	11:12	11:37	12:32	13:27	14:12	15:30	16:02	17:14	18:05	19:00	19:31	20:15				
