始発停留所	つつじが丘住宅-B	北陸学院大学-B	小原	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	小原	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B				
始発時間	07:15	07:52	08:41	09:15	09:30	10:14	10:30	11:14	11:30	12:14	12:30	13:21	14:14	14:30	15:14	15:30	16:14	16:30	17:14	17:30	18:15	18:52	19:15	19:32	20:15	20:52				
終点時間	07:42	08:24	09:31	09:42	10:07	10:46	11:07	11:46	12:07	12:46	13:07	14:11	14:49	15:10	15:49	16:10	16:49	17:10	17:49	18:05	18:45	19:22	19:40	20:02	20:40	21:22				
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】				
備考							ノンステップバス			ノンステップバス	ノンステップバス										ノンステップバス	ノンステップバス			ノンステップバス					
小原			08:41									13:21																		
天池坂			08:44									13:24																		
内川小学校前			08:46									13:26																		
別所南-B			08:47									13:27																		
別所			08:49									13:29																		
北陸学院大学-B		07:52	08:50		09:30		10:30		11:30		12:30	13:30		14:30		15:30		16:30		17:30		18:52		19:32		20:52				
三小牛		07:53	08:51		09:31		10:31		11:31		12:31	13:31		14:31		15:31		16:31		17:31		18:53		19:33		20:53				
