始発停留所	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】				
始発時間	06:48	07:13	07:43	08:23	08:43	09:23	09:43	10:23	10:43	11:23	11:43	12:23	13:23	13:43	14:23	14:43	15:23	15:43	16:23	16:43	17:23	17:43	18:23	18:43	19:23	20:13				
終点時間	07:13	07:43	08:33	08:50	09:15	09:50	10:20	10:55	11:20	11:55	12:20	13:13	13:58	14:23	14:58	15:23	16:02	16:27	17:02	17:27	18:02	18:18	18:53	19:18	19:50	20:45				
終点停留所	つつじが丘住宅-B	北陸学院大学-B	小原	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	小原	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B				
備考							ノンステップバス			ノンステップバス	ノンステップバス										ノンステップバス	ノンステップバス			ノンステップバス					
金沢駅【７】	06:48	07:13	07:43	08:23	08:43	09:23	09:43	10:23	10:43	11:23	11:43	12:23	13:23	13:43	14:23	14:43	15:23	15:43	16:23	16:43	17:23	17:43	18:23	18:43	19:23	20:13				
本町	06:50	07:15	07:46	08:25	08:45	09:25	09:46	10:26	10:46	11:26	11:46	12:26	13:26	13:46	14:26	14:46	15:26	15:46	16:26	16:46	17:26	17:45	18:25	18:45	19:25	20:15				
武蔵ヶ辻（近江町市場前）	06:52	07:17	07:49	08:27	08:47	09:27	09:49	10:29	10:49	11:29	11:49	12:29	13:29	13:49	14:29	14:49	15:29	15:49	16:29	16:49	17:29	17:47	18:27	18:47	19:27	20:17				
南町-A	06:54	07:19	07:51	08:29	08:49	09:29	09:51	10:31	10:51	11:31	11:51	12:31	13:31	13:51	14:31	14:51	15:31	15:51	16:31	16:51	17:31	17:49	18:29	18:49	19:29	20:19				
香林坊（アトリオ前）	06:56	07:21	07:53	08:31	08:51	09:31	09:53	10:33	10:53	11:33	11:53	12:33	13:33	13:53	14:33	14:53	15:33	15:53	16:33	16:53	17:33	17:51	18:31	18:51	19:31	20:21				
片町（パシオン前）	06:59	07:24	07:56	08:34	08:54	09:34	09:56	10:36	10:56	11:36	11:56	12:36	13:36	13:56	14:36	14:56	15:36	15:56	16:36	16:56	17:36	17:54	18:34	18:54	19:34	20:24				
広小路（平和町方向）	07:01	07:26	07:58	08:36	08:56	09:36	09:58	10:38	10:58	11:38	11:58	12:38	13:38	13:58	14:38	14:58	15:38	15:58	16:38	16:58	17:38	17:56	18:36	18:56	19:36	20:26				
寺町三丁目-A	07:03	07:28	08:00	08:38	08:58	09:38	10:00	10:40	11:00	11:40	12:00	12:40	13:40	14:00	14:40	15:00	15:40	16:00	16:40	17:00	17:40	17:58	18:38	18:58	19:38	20:28				
寺町二丁目-A	07:04	07:29	08:01	08:39	08:59	09:39	10:01	10:41	11:01	11:41	12:01	12:41	13:41	14:01	14:41	15:01	15:41	16:01	16:41	17:01	17:41	17:59	18:39	18:59	19:39	20:29				
寺町一丁目（平和町方向）	07:05	07:30	08:02	08:40	09:00	09:40	10:02	10:42	11:02	11:42	12:02	12:42	13:42	14:02	14:42	15:02	15:42	16:02	16:42	17:02	17:42	18:00	18:40	19:00	19:40	20:30				
十一屋-A	07:06	07:31	08:03	08:41	09:01	09:41	10:03	10:43	11:03	11:43	12:03	12:43	13:43	14:03	14:43	15:03	15:43	16:03	16:43	17:03	17:43	18:01	18:41	19:01	19:41	20:31				
平和町（アルコ前）	07:07	07:32	08:04	08:42	09:02	09:42	10:04	10:44	11:04	11:44	12:04	12:44	13:44	14:04	14:44	15:04	15:44	16:04	16:44	17:04	17:44	18:02	18:42	19:02	19:42	20:32				
金大附校自衛隊前-A	07:08	07:33	08:05	08:43	09:03	09:43	10:05	10:45	11:05	11:45	12:05	12:45	13:45	14:05	14:45	15:05	15:45	16:05	16:45	17:05	17:45	18:03	18:43	19:03	19:43	20:33				
野田（郊外方向）	07:09	07:34	08:06	08:44	09:04	09:44	10:06	10:46	11:06	11:46	12:06	12:46	13:46	14:06	14:46	15:06	15:46	16:06	16:46	17:06	17:46	18:04	18:44	19:04	19:44	20:34				
自由が丘住宅-A	07:10	07:35	08:07	08:45	09:05	09:45	10:07	10:47	11:07	11:47	12:07	12:47	13:47	14:07	14:47	15:07	15:47	16:07	16:47	17:07	17:47	18:05	18:45	19:05	19:45	20:35				
つつじが丘住宅-B	07:13	-	-	08:50	-	09:50	-	10:55	-	11:55	-	-	13:58	-	14:58	-	16:02	-	17:02	-	18:02	-	18:53	-	19:50	-				
つつじが丘住宅口-A		07:37	08:09		09:07		10:09		11:09		12:09	12:49		14:09		15:09		16:09		17:09		18:07		19:07		20:37				
万寿苑前-A		07:38	08:10		09:08		10:10		11:10		12:10	12:50		14:10		15:10		16:10		17:10		18:08		19:08		20:38				
三小牛		07:41	08:13		09:11		10:13		11:13		12:13	12:53		14:13		15:13		16:13		17:13		18:11		19:11		20:41				
北陸学院大学-B		07:43	-		09:15		10:20		11:20		12:20	-		14:23		15:23		16:27		17:27		18:18		19:18		20:45				
北陸学院大学-A			08:14									12:54																		
別所			08:16									12:56																		
別所南-A			08:18									12:58																		
内川小学校前			08:19									12:59																		
天池坂			08:22									13:02																		
小原			08:33									13:13																		
