始発停留所	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】	金沢駅【７】			
始発時間	06:58	07:06	07:25	07:25	07:38	07:48	07:53	07:56	08:02	08:13	08:49	09:16	09:46	10:01	10:16	10:46	11:01	11:16	11:46	12:01	12:16	13:13	13:25	13:49	14:01	14:30	15:11	15:31	15:56	16:16	16:16	16:46	17:11	17:11	17:51	18:11	18:41	19:31	20:01	20:21	21:01	21:41			
終点時間	07:23	07:43	08:02	08:07	08:15	08:25	08:43	08:33	08:39	08:45	09:26	09:53	10:18	10:38	10:48	11:18	11:38	11:48	12:23	12:33	13:06	13:45	14:02	14:29	14:41	15:10	15:51	16:11	16:36	16:56	17:01	17:26	17:53	17:58	18:33	18:58	19:11	20:01	20:36	20:51	21:31	22:11			
終点停留所	つつじが丘住宅-B	北陸学院大学-B	北陸学院大学-B	内川小学校前	北陸学院大学-B	北陸学院大学-B	小原	北陸学院大学-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	小原	つつじが丘住宅-B	北陸学院大学-B	北陸学院大学-B	北陸学院大学-B	北陸学院大学-B	北陸学院大学-B	北陸学院大学-B	北陸学院大学-B	北陸学院大学-B	内川小学校前	北陸学院大学-B	北陸学院大学-B	内川小学校前	北陸学院大学-B	内川小学校前	つつじが丘住宅-B	つつじが丘住宅-B	北陸学院大学-B	つつじが丘住宅-B	つつじが丘住宅-B	つつじが丘住宅-B			
備考	ノンステップバス		学期休み期間のみ運行	学期休み期間、運休		ノンステップバス			ノンステップバス	ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス	ノンステップバス				学期休み期間のみ運行	学期休み期間、運休		学期休み期間のみ運行	学期休み期間、運休				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス			
金沢駅【７】	06:58	07:06	07:25	07:25	07:38	07:48	07:53	07:56	08:02	08:13	08:49	09:16	09:46	10:01	10:16	10:46	11:01	11:16	11:46	12:01	12:16	13:13	13:25	13:49	14:01	14:30	15:11	15:31	15:56	16:16	16:16	16:46	17:11	17:11	17:51	18:11	18:41	19:31	20:01	20:21	21:01	21:41			
本町	07:00	07:09	07:28	07:28	07:41	07:51	07:56	07:59	08:05	08:16	08:52	09:19	09:49	10:04	10:19	10:49	11:04	11:19	11:49	12:04	12:19	13:16	13:28	13:52	14:04	14:33	15:14	15:34	15:59	16:19	16:19	16:49	17:14	17:14	17:54	18:14	18:43	19:33	20:03	20:23	21:03	21:43			
武蔵ヶ辻（近江町市場前）	07:02	07:12	07:31	07:31	07:44	07:54	07:59	08:02	08:08	08:19	08:55	09:22	09:52	10:07	10:22	10:52	11:07	11:22	11:52	12:07	12:22	13:19	13:31	13:55	14:07	14:36	15:17	15:37	16:02	16:22	16:22	16:52	17:17	17:17	17:57	18:17	18:45	19:35	20:05	20:25	21:05	21:45			
南町-A	07:04	07:14	07:33	07:33	07:46	07:56	08:01	08:04	08:10	08:21	08:57	09:24	09:54	10:09	10:24	10:54	11:09	11:24	11:54	12:09	12:24	13:21	13:33	13:57	14:09	14:38	15:19	15:39	16:04	16:24	16:24	16:54	17:19	17:19	17:59	18:19	18:47	19:37	20:07	20:27	21:07	21:47			
香林坊（アトリオ前）	07:06	07:16	07:35	07:35	07:48	07:58	08:03	08:06	08:12	08:23	08:59	09:26	09:56	10:11	10:26	10:56	11:11	11:26	11:56	12:11	12:26	13:23	13:35	13:59	14:11	14:40	15:21	15:41	16:06	16:26	16:26	16:56	17:21	17:21	18:01	18:21	18:49	19:39	20:09	20:29	21:09	21:49			
片町（パシオン前）	07:09	07:19	07:38	07:38	07:51	08:01	08:06	08:09	08:15	08:26	09:02	09:29	09:59	10:14	10:29	10:59	11:14	11:29	11:59	12:14	12:29	13:26	13:38	14:02	14:14	14:43	15:24	15:44	16:09	16:29	16:29	16:59	17:24	17:24	18:04	18:24	18:52	19:42	20:12	20:32	21:12	21:52			
広小路（平和町方向）	07:11	07:21	07:40	07:40	07:53	08:03	08:08	08:11	08:17	08:28	09:04	09:31	10:01	10:16	10:31	11:01	11:16	11:31	12:01	12:16	12:31	13:28	13:40	14:04	14:16	14:45	15:26	15:46	16:11	16:31	16:31	17:01	17:26	17:26	18:06	18:26	18:54	19:44	20:14	20:34	21:14	21:54			
寺町三丁目-A	07:13	07:23	07:42	07:42	07:55	08:05	08:10	08:13	08:19	08:30	09:06	09:33	10:03	10:18	10:33	11:03	11:18	11:33	12:03	12:18	12:33	13:30	13:42	14:06	14:18	14:47	15:28	15:48	16:13	16:33	16:33	17:03	17:28	17:28	18:08	18:28	18:56	19:46	20:16	20:36	21:16	21:56			
寺町二丁目-A	07:14	07:24	07:43	07:43	07:56	08:06	08:11	08:14	08:20	08:31	09:07	09:34	10:04	10:19	10:34	11:04	11:19	11:34	12:04	12:19	12:34	13:31	13:43	14:07	14:19	14:48	15:29	15:49	16:14	16:34	16:34	17:04	17:29	17:29	18:09	18:29	18:57	19:47	20:17	20:37	21:17	21:57			
寺町一丁目（平和町方向）	07:15	07:25	07:44	07:44	07:57	08:07	08:12	08:15	08:21	08:32	09:08	09:35	10:05	10:20	10:35	11:05	11:20	11:35	12:05	12:20	12:35	13:32	13:44	14:08	14:20	14:49	15:30	15:50	16:15	16:35	16:35	17:05	17:30	17:30	18:10	18:30	18:58	19:48	20:18	20:38	21:18	21:58			
十一屋-A	07:16	07:26	07:45	07:45	07:58	08:08	08:13	08:16	08:22	08:33	09:09	09:36	10:06	10:21	10:36	11:06	11:21	11:36	12:06	12:21	12:36	13:33	13:45	14:09	14:21	14:50	15:31	15:51	16:16	16:36	16:36	17:06	17:31	17:31	18:11	18:31	18:59	19:49	20:19	20:39	21:19	21:59			
平和町（アルコ前）	07:17	07:27	07:46	07:46	07:59	08:09	08:14	08:17	08:23	08:34	09:10	09:37	10:07	10:22	10:37	11:07	11:22	11:37	12:07	12:22	12:37	13:34	13:46	14:10	14:22	14:51	15:32	15:52	16:17	16:37	16:37	17:07	17:32	17:32	18:12	18:32	19:00	19:50	20:20	20:40	21:20	22:00			
金大附校自衛隊前-A	07:18	07:28	07:47	07:47	08:00	08:10	08:15	08:18	08:24	08:35	09:11	09:38	10:08	10:23	10:38	11:08	11:23	11:38	12:08	12:23	12:38	13:35	13:47	14:11	14:23	14:52	15:33	15:53	16:18	16:38	16:38	17:08	17:33	17:33	18:13	18:33	19:01	19:51	20:21	20:41	21:21	22:01			
野田（郊外方向）	07:19	07:29	07:48	07:48	08:01	08:11	08:16	08:19	08:25	08:36	09:12	09:39	10:09	10:24	10:39	11:09	11:24	11:39	12:09	12:24	12:39	13:36	13:48	14:12	14:24	14:53	15:34	15:54	16:19	16:39	16:39	17:09	17:34	17:34	18:14	18:34	19:02	19:52	20:22	20:42	21:22	22:02			
自由が丘住宅-A	07:20	07:30	07:49	07:49	08:02	08:12	08:17	08:20	08:26	08:37	09:13	09:40	10:10	10:25	10:40	11:10	11:25	11:40	12:10	12:25	12:40	13:37	13:49	14:13	14:25	14:54	15:35	15:55	16:20	16:40	16:40	17:10	17:35	17:35	18:15	18:35	19:03	19:53	20:23	20:43	21:23	22:03			
つつじが丘住宅-B	07:23	-	-	-	-	-	-	-	-	08:45	-	-	10:18	-	10:48	11:18	-	11:48	-	12:33	-	13:45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:11	20:01	-	20:51	21:31	22:11			
つつじが丘住宅口-A		07:32	07:51	07:51	08:04	08:14	08:19	08:22	08:28		09:15	09:42		10:27			11:27		12:12		12:42		13:51	14:15	14:27	14:56	15:37	15:57	16:22	16:42	16:42	17:12	17:37	17:37	18:17	18:37			20:25						
万寿苑前-A		07:33	07:52	07:52	08:05	08:15	08:20	08:23	08:29		09:16	09:43		10:28			11:28		12:13		12:43		13:52	14:16	14:28	14:57	15:38	15:58	16:23	16:43	16:43	17:13	17:38	17:38	18:18	18:38			20:26						
三小牛		07:36	07:55	07:55	08:08	08:18	08:23	08:26	08:32		09:19	09:46		10:31			11:31		12:16		12:46		13:55	14:19	14:31	15:00	15:41	16:01	16:26	16:46	16:46	17:16	17:41	17:41	18:21	18:41			20:29						
北陸学院大学-B		07:43	08:02	-	08:15	08:25	-	08:33	08:39		09:26	09:53		10:38			11:38		12:23		-		14:02	14:29	14:41	15:10	15:51	16:11	16:36	16:56	-	17:26	17:53	-	18:33	-			20:36						
北陸学院大学-A				07:56			08:24														12:47										16:47			17:42		18:42									
別所				07:58			08:26														12:49										16:49			17:44		18:44									
別所南-A				08:00			08:28														12:51										16:51			17:46		18:46									
内川小学校前				08:07			08:29														12:52										17:01			17:58		18:58									
天池坂							08:32														12:55																								
小原							08:43														13:06																								
