始発停留所	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	
始発時間	08:40	09:15	09:55	10:40	11:22	11:47	12:37	13:37	14:32	15:20	16:12	17:00	17:10	17:45	18:20	18:38	19:40	20:35	21:40	
終点時間	09:14	09:49	10:29	11:18	12:00	12:25	13:15	14:15	15:10	15:58	16:50	17:38	17:48	18:23	18:58	19:16	20:18	21:13	22:18	
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	
備考	ノンステップバス		ノンステップバス																	
金沢大学-B	08:40	09:15	09:55	10:40	11:22	11:47	12:37	13:37	14:32	15:20	16:12	17:00	17:10	17:45	18:20	18:38	19:40	20:35	21:40	
金沢大学中央-B	08:41	09:16	09:56	10:41	11:23	11:48	12:38	13:38	14:33	15:21	16:13	17:01	17:11	17:46	18:21	18:39	19:41	20:36	21:41	
金沢大学自然研前	-	-	-	10:43	11:25	11:50	12:40	13:40	14:35	15:23	16:15	17:03	17:13	17:48	18:23	18:41	19:43	20:38	21:43	
金沢大学角間口-B	08:42	09:17	09:57	10:44	11:26	11:51	12:41	13:41	14:36	15:24	16:16	17:04	17:14	17:49	18:24	18:42	19:44	20:39	21:44	
角間新町-B	08:43	09:18	09:58	10:45	11:27	11:52	12:42	13:42	14:37	15:25	16:17	17:05	17:15	17:50	18:25	18:43	19:45	20:40	21:45	
若松（やまや前）	-	-	-	-	-	-	-	-	-	-	-	-	17:17	-	18:27	-	-	-	21:47	
若松（田上から）	08:45	09:20	10:00	10:47	11:29	11:54	12:44	13:44	14:39	15:27	16:19	17:07	-	17:52	-	18:45	19:47	20:41	-	
若松西-B	-	-	-	-	-	-	-	-	-	-	-	-	17:18	-	18:28	-	-	-	21:48	
若松橋-B	-	-	-	-	-	-	-	-	-	-	-	-	17:19	-	18:29	-	-	-	21:49	
鈴見町-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
旭町（市内方向）	-	-	-	-	-	-	-	-	-	-	-	-	17:20	-	18:30	-	-	-	21:50	
旭町口-B	-	-	-	-	-	-	-	-	-	-	-	-	17:20	-	18:30	-	-	-	21:50	
田井町-B	-	-	-	-	-	-	-	-	-	-	-	-	17:21	-	18:31	-	-	-	21:51	
若谷-B	08:46	09:21	10:01	10:48	11:30	11:55	12:45	13:45	14:40	15:28	16:20	17:08	-	17:53	-	18:46	19:48	20:42	-	
鈴見台二丁目（若松から）	08:47	09:22	10:02	10:49	11:31	11:56	12:46	13:46	14:41	15:29	16:21	17:09	-	17:54	-	18:47	19:49	20:43	-	
鈴見台一丁目（田上から）	08:48	09:23	10:03	10:50	11:32	11:57	12:47	13:47	14:42	15:30	16:22	17:10	-	17:55	-	18:48	19:50	20:44	-	
鈴見台一丁目（アオキ向）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
桜町-B	08:49	09:24	10:04	10:51	11:33	11:58	12:48	13:48	14:43	15:31	16:23	17:11	17:22	17:56	18:32	18:49	19:51	20:45	21:52	
暁町-B	08:50	09:25	10:05	10:52	11:34	11:59	12:49	13:49	14:44	15:32	16:24	17:12	17:23	17:57	18:33	18:50	19:52	20:46	21:53	
横山町-B	08:51	09:26	10:06	10:53	11:35	12:00	12:50	13:50	14:45	15:33	16:25	17:13	17:24	17:58	18:34	18:51	19:53	20:47	21:54	
小将町-B	08:52	09:27	10:07	10:54	11:36	12:01	12:51	13:51	14:46	15:34	16:26	17:14	17:25	17:59	18:35	18:52	19:54	20:48	21:55	
兼六園下（石川門）	08:53	09:28	10:08	10:55	11:37	12:02	12:52	13:52	14:47	15:35	16:27	17:15	17:26	18:00	18:36	18:53	19:55	20:49	21:56	
広坂（金沢２１世紀美術館前）	08:57	09:32	10:12	10:59	11:41	12:06	12:56	13:56	14:51	15:39	16:31	17:19	17:29	18:04	18:39	18:57	19:59	20:52	21:59	
香林坊（日銀前）	08:59	09:34	10:14	11:01	11:43	12:08	12:58	13:58	14:53	15:41	16:33	17:21	17:30	18:06	18:40	18:59	20:01	20:53	22:00	
南町-B	09:03	09:38	10:18	11:05	11:47	12:12	13:02	14:02	14:57	15:45	16:37	17:25	17:34	18:10	18:44	19:03	20:05	20:56	22:03	
武蔵ヶ辻（エムザ前）	09:04	09:39	10:19	11:06	11:48	12:13	13:03	14:03	14:58	15:46	16:38	17:26	17:35	18:11	18:45	19:04	20:06	20:57	22:04	
リファーレ前-B	09:06	09:41	10:21	11:08	11:50	12:15	13:05	14:05	15:00	15:48	16:40	17:28	17:37	18:13	18:47	19:06	20:08	20:59	22:06	
金沢駅【降車場】	09:14	09:49	10:29	11:18	12:00	12:25	13:15	14:15	15:10	15:58	16:50	17:38	17:48	18:23	18:58	19:16	20:18	21:13	22:18	
