始発停留所	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B
始発時間	08:15	08:31	08:45	08:55	09:08	09:30	10:00	10:15	10:35	10:40	11:00	11:40	12:15	12:35	12:55	13:10	13:50	14:13	14:38	14:43	15:03	15:35	16:10	16:20	16:25	16:30	16:38	16:55	17:33	17:40	18:10	18:20	18:30	18:38	19:40	19:55	20:10	21:00	21:40	22:02
終点時間	08:49	09:05	09:19	09:29	09:42	10:04	10:34	10:53	11:13	11:18	11:38	12:18	12:53	13:13	13:33	13:48	14:28	14:51	15:16	15:21	15:41	16:13	16:32	16:58	17:03	17:08	17:16	17:33	18:11	18:18	18:48	18:58	19:08	19:16	20:18	20:33	20:48	21:38	22:18	22:40
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	小将町-B	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考			ノンステップバス		ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス			学期休み期間、運休	ノンステップバス	ノンステップバス	ノンステップバス	学期休み期間、運休	学期休み期間、運休
ノンステップバス		ノンステップバス	学期休み期間、運休	ノンステップバス	学期休み期間、運休
ノンステップバス				ノンステップバス	ノンステップバス	ノンステップバス					ノンステップバス				ノンステップバス
金沢大学-B	08:15	08:31	08:45	08:55	09:08	09:30	10:00	10:15	10:35	10:40	11:00	11:40	12:15	12:35	12:55	13:10	13:50	14:13	14:38	14:43	15:03	15:35	16:10	16:20	16:25	16:30	16:38	16:55	17:33	17:40	18:10	18:20	18:30	18:38	19:40	19:55	20:10	21:00	21:40	22:02
金沢大学中央-B	08:16	08:32	08:46	08:56	09:09	09:31	10:01	10:16	10:36	10:41	11:01	11:41	12:16	12:36	12:56	13:11	13:51	14:14	14:39	14:44	15:04	15:36	16:11	16:21	16:26	16:31	16:39	16:56	17:34	17:41	18:11	18:21	18:31	18:39	19:41	19:56	20:11	21:01	21:41	22:03
金沢大学自然研前	-	-	-	-	-	-	-	10:18	10:38	10:43	11:03	11:43	12:18	12:38	12:58	13:13	13:53	14:16	14:41	14:46	15:06	15:38	16:13	16:23	16:28	16:33	16:41	16:58	17:36	17:43	18:13	18:23	18:33	18:41	19:43	19:58	20:13	21:03	21:43	22:05
金沢大学角間口-B	08:17	08:33	08:47	08:57	09:10	09:32	10:02	10:19	10:39	10:44	11:04	11:44	12:19	12:39	12:59	13:14	13:54	14:17	14:42	14:47	15:07	15:39	16:14	16:24	16:29	16:34	16:42	16:59	17:37	17:44	18:14	18:24	18:34	18:42	19:44	19:59	20:14	21:04	21:44	22:06
角間新町-B	08:18	08:34	08:48	08:58	09:11	09:33	10:03	10:20	10:40	10:45	11:05	11:45	12:20	12:40	13:00	13:15	13:55	14:18	14:43	14:48	15:08	15:40	16:15	16:25	16:30	16:35	16:43	17:00	17:38	17:45	18:15	18:25	18:35	18:43	19:45	20:00	20:15	21:05	21:45	22:07
若松（やまや前）	-	-	08:50	-	09:13	09:35	-	10:22	-	10:47	11:07	11:47	12:22	12:42	13:02	13:17	13:57	-	14:45	14:50	15:10	-	16:17	-	16:32	-	16:45	17:02	-	17:47	-	18:27	-	-	19:47	-	20:17	21:07	21:47	22:09
