始発停留所	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	田井町-A	田井町-A	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】
始発時間	07:35	07:35	07:43	07:48	07:55	08:00	08:05	08:25	08:28	08:46	09:08	09:20	09:27	09:33	09:45	09:52	09:55	10:22	10:52	11:22	11:52	12:12	13:07	13:31	13:42	14:00	14:52	15:15	15:29	15:42	15:55	16:13	16:40	17:00	17:33	17:55	18:40	19:12	19:27	23:30
終点時間	08:13	08:10	08:21	08:26	08:33	08:38	08:23	08:43	09:06	09:24	09:46	09:58	10:05	10:11	10:23	10:30	10:33	11:00	11:30	12:00	12:30	12:50	13:45	14:09	14:20	14:38	15:30	15:53	16:07	16:20	16:33	16:51	17:18	17:38	18:11	18:33	19:18	19:50	20:05	23:55
終点停留所	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	若松（若松西から）
備考	学期休み期間のみ運行	学期休み期間、運休				ノンステップバス	ノンステップバス	ノンステップバス			ノンステップバス						ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス	ノンステップバス	学期休み期間、運休		ノンステップバス		学期休み期間、運休
ノンステップバス	学期休み期間、運休
ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス				ノンステップバス		金曜のみ運行
金沢駅【６】	07:35	07:35	07:43	07:48	07:55	08:00			08:28	08:46	09:08	09:20	09:27	09:33	09:45	09:52	09:55	10:22	10:52	11:22	11:52	12:12	13:07	13:31	13:42	14:00	14:52	15:15	15:29	15:42	15:55	16:13	16:40	17:00	17:33	17:55	18:40	19:12	19:27	23:30
リファーレ前-A	07:37	-	07:45	07:50	07:57	08:02			08:30	08:48	09:10	09:22	09:29	09:35	09:47	09:54	09:57	10:24	10:54	11:24	11:54	12:14	13:09	13:33	13:44	14:02	14:54	15:17	15:31	15:44	15:57	16:15	16:42	17:02	17:35	17:57	18:42	19:14	19:29	23:32
武蔵ヶ辻（近江町市場前）	07:40	07:40	07:48	07:53	08:00	08:05			08:33	08:51	09:13	09:25	09:32	09:38	09:50	09:57	10:00	10:27	10:57	11:27	11:57	12:17	13:12	13:36	13:47	14:05	14:57	15:20	15:34	15:47	16:00	16:18	16:45	17:05	17:38	18:00	18:45	19:17	19:32	23:34
南町-A	07:42	-	07:50	07:55	08:02	08:07			08:35	08:53	09:15	09:27	09:34	09:40	09:52	09:59	10:02	10:29	10:59	11:29	11:59	12:19	13:14	13:38	13:49	14:07	14:59	15:22	15:36	15:49	16:02	16:20	16:47	17:07	17:40	18:02	18:47	19:19	19:34	23:35
香林坊（アトリオ前）	07:44	07:44	07:52	07:57	08:04	08:09			08:37	08:55	09:17	09:29	09:36	09:42	09:54	10:01	10:04	10:31	11:01	11:31	12:01	12:21	13:16	13:40	13:51	14:09	15:01	15:24	15:38	15:51	16:04	16:22	16:49	17:09	17:42	18:04	18:49	19:21	19:36	23:37
