始発停留所	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B	寺井中央-B		
始発時間	06:10	06:45	07:05	07:40	08:20	09:17	10:22	11:37	12:52	14:22	15:37	16:29	16:37	17:14	17:22	18:22	19:22	20:07		
終点時間	07:21	07:57	08:17	08:52	09:32	10:29	11:34	12:45	14:00	15:30	16:45	17:47	17:47	18:32	18:32	19:32	20:22	21:07		
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】		
備考		ノンステップバス							ノンステップバス			学期休み期間、運休	学期休み期間のみ運行	学期休み期間、運休	学期休み期間のみ運行					
寺井中央-B	06:10	06:45	07:05	07:40	08:20	09:17	10:22	11:37	12:52	14:22	15:37	16:29	16:37	17:14	17:22	18:22	19:22	20:07		
寺井史跡公園前-M	06:12	06:47	07:07	07:42	08:22	09:19	10:24	11:39	12:54	14:24	15:39	16:31	16:39	17:16	17:24	18:24	19:24	20:09		
粟生東口-B	06:14	06:49	07:09	07:44	08:24	09:21	10:26	11:41	12:56	14:26	15:41	16:33	16:41	17:18	17:26	18:26	19:26	20:11		
手取川橋-B	06:15	06:50	07:10	07:45	08:25	09:22	10:27	11:42	12:57	14:27	15:42	16:34	16:42	17:19	17:27	18:27	19:27	20:12		
木呂場-B	06:17	06:52	07:12	07:47	08:27	09:24	10:29	11:44	12:59	14:29	15:44	16:36	16:44	17:21	17:29	18:29	19:29	20:14		
水島-B	06:19	06:54	07:14	07:49	08:29	09:26	10:31	11:46	13:01	14:31	15:46	16:38	16:46	17:23	17:31	18:31	19:31	20:16		
源兵島-B	06:21	06:56	07:16	07:51	08:31	09:28	10:33	11:48	13:03	14:33	15:48	16:40	16:48	17:25	17:33	18:33	19:33	20:18		
