始発停留所	金沢駅【９】	金沢駅【９】	金沢駅【９】		
始発時間	18:25	19:30	20:30		
終点時間	19:31	20:31	21:31		
終点停留所	寺井中央-E	寺井中央-E	寺井中央-E		
備考		ノンステップバス			
金沢駅【９】	18:25	19:30	20:30		
リファーレ前-A	18:27	19:32	20:32		
武蔵ヶ辻（近江町市場前）	18:30	19:34	20:34		
南町-A	18:32	19:35	20:35		
香林坊（アトリオ前）	18:34	19:37	20:37		
片町（パシオン前）	18:37	19:40	20:40		
広小路（有松方向）	18:39	19:42	20:42		
野町-A	18:40	19:43	20:43		
泉一丁目-A	18:41	19:44	20:44		
泉二丁目-A	18:42	19:45	20:45		
有松（郵便局前）	18:44	19:47	20:47		
二万堂-A	18:45	19:48	20:48		
伏見橋（国道松任方向）	18:47	19:50	20:50		
横宮-A	18:49	19:52	20:52		
野々市中央-A	18:51	19:54	20:54		
西野々市（松任方向）	18:52	19:55	20:55		
太平寺（松任方向）	18:54	19:56	20:56		
稲荷-A	18:55	19:57	20:57		
堀内町-A	18:56	19:58	20:58		
三日市-A	18:58	20:00	21:00		
田中-A	18:59	20:01	21:01		
番匠-A	19:00	20:02	21:02		
徳丸-A	19:01	20:03	21:03		
八ツ矢（松任方向）	19:02	20:04	21:04		
松任（郊外方向）	19:04	20:06	21:06		
茶屋一丁目-A	19:05	20:07	21:07		
成-A	19:06	20:08	21:08		
村井町（寺井方向）	19:07	20:09	21:09		
中村-A	19:08	20:10	21:10		
中村南-A	19:09	20:11	21:11		
宮丸-A	19:10	20:12	21:12		
荒屋柏野-A	19:12	20:14	21:14		
下柏野-A	19:14	20:16	21:16		
福留-A	19:15	20:17	21:17		
源兵島-A	19:16	20:18	21:18		
水島-A	19:18	20:20	21:20		
木呂場-A	19:21	20:23	21:23		
手取川橋-A	19:23	20:25	21:25		
粟生東口-A	19:24	20:26	21:26		
寺井史跡公園前-A	19:26	20:28	21:28		
寺井中央-E	19:31	20:31	21:31		
