始発停留所	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	
始発時間	06:53	07:13	07:33	07:58	08:23	08:53	09:38	10:18	10:58	12:08	13:08	14:03	14:53	15:43	16:38	17:18	18:08	19:08	20:08	
終点時間	07:30	07:50	08:10	08:35	09:00	09:30	10:15	10:55	11:35	12:45	13:45	14:40	15:30	16:20	17:15	17:55	18:45	19:45	20:45	
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	
備考								ノンステップバス		ノンステップバス		ノンステップバス		ノンステップバス		ノンステップバス	ノンステップバス			
朝霧台	06:53	07:13	07:33	07:58	08:23	08:53	09:38	10:18	10:58	12:08	13:08	14:03	14:53	15:43	16:38	17:18	18:08	19:08	20:08	
石川森林管理署前-B	06:54	07:14	07:34	07:59	08:24	08:54	09:39	10:19	10:59	12:09	13:09	14:04	14:54	15:44	16:39	17:19	18:09	19:09	20:09	
田上本町-B	06:55	07:15	07:35	08:00	08:25	08:55	09:40	10:20	11:00	12:10	13:10	14:05	14:55	15:45	16:40	17:20	18:10	19:10	20:10	
田上一丁目-B	06:56	07:16	07:36	08:01	08:26	08:56	09:41	10:21	11:01	12:11	13:11	14:06	14:56	15:46	16:41	17:21	18:11	19:11	20:11	
田上新町-B	06:57	07:17	07:37	08:02	08:27	08:57	09:42	10:22	11:02	12:12	13:12	14:07	14:57	15:47	16:42	17:22	18:12	19:12	20:12	
田上二丁目-B	06:58	07:18	07:38	08:03	08:28	08:58	09:43	10:23	11:03	12:13	13:13	14:08	14:58	15:48	16:43	17:23	18:13	19:13	20:13	
上若松	06:59	07:19	07:39	08:04	08:29	08:59	09:44	10:24	11:04	12:14	13:14	14:09	14:59	15:49	16:44	17:24	18:14	19:14	20:14	
若松（田上から）	07:00	07:20	07:40	08:05	08:30	09:00	09:45	10:25	11:05	12:15	13:15	14:10	15:00	15:50	16:45	17:25	18:15	19:15	20:15	
若谷-B	07:01	07:21	07:41	08:06	08:31	09:01	09:46	10:26	11:06	12:16	13:16	14:11	15:01	15:51	16:46	17:26	18:16	19:16	20:16	
鈴見台二丁目（若松から）	07:02	07:22	07:42	08:07	08:32	09:02	09:47	10:27	11:07	12:17	13:17	14:12	15:02	15:52	16:47	17:27	18:17	19:17	20:17	
鈴見台一丁目（田上から）	07:03	07:23	07:43	08:08	08:33	09:03	09:48	10:28	11:08	12:18	13:18	14:13	15:03	15:53	16:48	17:28	18:18	19:18	20:18	
桜町-B	07:04	07:24	07:44	08:09	08:35	09:05	09:50	10:30	11:10	12:20	13:20	14:15	15:05	15:55	16:50	17:30	18:19	19:19	20:19	
暁町-B	07:05	07:25	07:45	08:10	08:36	09:06	09:51	10:31	11:11	12:21	13:21	14:16	15:06	15:56	16:51	17:31	18:20	19:20	20:20	
横山町-B	07:06	07:26	07:46	08:11	08:37	09:07	09:52	10:32	11:12	12:22	13:22	14:17	15:07	15:57	16:52	17:32	18:21	19:21	20:21	
小将町-B	07:07	07:27	07:47	08:12	08:38	09:08	09:53	10:33	11:13	12:23	13:23	14:18	15:08	15:58	16:53	17:33	18:22	19:22	20:22	
兼六園下（石川門）	07:08	07:28	07:48	08:13	08:39	09:09	09:54	10:34	11:14	12:24	13:24	14:19	15:09	15:59	16:54	17:34	18:23	19:23	20:23	
広坂（金沢２１世紀美術館前）	07:11	07:31	07:51	08:16	08:42	09:12	09:57	10:37	11:17	12:27	13:27	14:22	15:12	16:02	16:57	17:37	18:26	19:26	20:26	
香林坊（日銀前）	07:12	07:32	07:52	08:17	08:43	09:13	09:58	10:38	11:18	12:28	13:28	14:23	15:13	16:03	16:58	17:38	18:27	19:27	20:27	
南町-B	07:15	07:35	07:55	08:20	08:47	09:17	10:02	10:42	11:22	12:32	13:32	14:27	15:17	16:07	17:02	17:42	18:30	19:30	20:30	
武蔵ヶ辻（エムザ前）	07:16	07:36	07:56	08:21	08:48	09:18	10:03	10:43	11:23	12:33	13:33	14:28	15:18	16:08	17:03	17:43	18:31	19:31	20:31	
武蔵ヶ辻（スカイ前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
リファーレ前-B	07:18	07:38	07:58	08:23	08:50	09:20	10:05	10:45	11:25	12:35	13:35	14:30	15:20	16:10	17:05	17:45	18:33	19:33	20:33	
金沢駅【降車場】	07:30	07:50	08:10	08:35	09:00	09:30	10:15	10:55	11:35	12:45	13:45	14:40	15:30	16:20	17:15	17:55	18:45	19:45	20:45	
六枚町（金石方向）																				
広岡口（朱鷺の苑前）																				
金沢駅西口降車																				
金沢駅西口【６】																				
広岡-A																				
西念南-A																				
西念西-A																				
駅西合庁前（西念南から）																				
県庁前-A																				
工業試験場口																				
金沢西高校-B																				
