始発停留所	金沢駅【６】				
始発時間	23:00				
終点時間	23:34				
終点停留所	朝霧台				
備考					
県庁前-B					
駅西合庁前（西念南方向）					
西念西-B					
西念南-B					
広岡-B					
金沢駅西口降車					
金沢駅西口【５】					
金沢駅東通り-B					
金沢駅【６】	23:00				
リファーレ前-A	23:02				
武蔵ヶ辻（近江町市場前）	23:04				
南町-A	23:05				
香林坊（アトリオ前）	23:07				
香林坊（中央公園前）	23:07				
広坂（しいのき迎賓館前）	23:08				
兼六園下（北鉄車庫前）	23:10				
小将町-A	23:11				
横山町-A	23:12				
暁町-A	23:13				
桜町-A	23:14				
鈴見台一丁目（田上方向）	23:16				
鈴見台二丁目（若松方向）	23:17				
若谷-A	23:18				
若松（田上方向）	23:20				
上若松	23:21				
田上二丁目-B	23:22				
田上新町-A	23:23				
田上一丁目-A	23:24				
田上本町-A	23:26				
石川森林管理署前-A	23:27				
朝霧台	23:34				
