始発停留所	粟崎三丁目-B	コマツ金沢工場（待機場所）	金沢駅西口【５】	金沢駅西口【５】	
始発時間	19:50	20:29	21:40	22:30	
終点時間	20:48	21:31	22:18	23:08	
終点停留所	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	
備考					
医大病院-B					
大学前-B					
大清台-B					
大根布六丁目-B					
鶴ケ丘五丁目-B					
鶴ケ丘四丁目（内灘駅方向）					
向陽台（マルエー向）					
内灘駅（ターミナル内）					
緑台一丁目-B					
緑台二丁目-B					
旭ケ丘（市内方向）					
粟崎二丁目-B					
コマツ金沢工場（待機場所）		20:29			
コマツ金沢工場-B		20:29			
粟崎五丁目-B		20:31			
粟崎四丁目-B		20:32			
粟崎三丁目-B	19:50	20:33			
粟崎一丁目-B	19:51	20:34			
粟崎南口-B	19:52	20:35			
湊三丁目-B	19:53	20:36			
近岡北-B	19:54	20:37			
近岡-B	19:55	20:38			
直江-B	19:56	20:39			
問屋センター-B	-	-			
問屋二丁目-B	-	-			
問屋一丁目-B	-	-			
西割出-B	19:57	20:41			
三浦住宅前-B	19:58	20:42			
南新保口-B	19:59	20:43			
上諸江-B	20:01	20:45			
諸江町小学校前-B	20:02	20:46			
北安江-B	20:03	20:47			
金沢駅東通り-B	-	-			
金沢駅【降車場】	-	-			
金沢駅西口降車	20:07	20:51			
金沢駅西口【５】	20:07	20:51	21:40	22:30	
広岡口（中橋方向）	20:09	20:53	21:42	22:32	
中橋-B	20:10	20:54	21:43	22:33	
六枚町（こんや湯前）	20:11	20:55	21:44	22:34	
武蔵ヶ辻（近江町市場前）	20:13	20:57	21:46	22:36	
武蔵ヶ辻（三井住友銀行前）	-	-	-	-	
武蔵ヶ辻（北陸銀行前）	-	-	-	-	
南町-A	20:14	20:58	21:47	22:37	
香林坊（アトリオ前）	20:17	21:01	21:50	22:39	
香林坊（中央公園前）	20:17	21:01	21:50	22:39	
広坂（しいのき迎賓館前）	20:18	21:02	-	-	
兼六園下（北鉄車庫前）	-	-	-	-	
兼六園下（県駐車場前）	20:20	21:04	-	-	
成巽閣前-A	-	-	21:53	22:42	
出羽町-A	20:23	21:07	21:54	22:43	
石引町-A	20:24	21:08	21:55	22:44	
小立野-A	20:25	21:09	21:56	22:45	
天徳院前-A	20:26	21:10	21:57	22:46	
小立野三丁目-A	20:27	21:11	21:58	22:47	
崎浦公民館-A	20:28	21:12	21:59	22:48	
小立野一丁目-A	20:29	21:13	22:00	22:49	
錦町（湯涌）	20:31	21:15	22:02	22:51	
土清水口-A	20:33	21:17	22:04	22:53	
土清水-A	20:34	21:18	22:05	22:54	
大道割口-A	20:35	21:19	22:06	22:55	
永安町（東部車庫方向）	20:36	21:20	22:07	22:56	
末-A	20:37	21:21	22:08	22:57	
都雅野住宅-A	20:38	21:22	22:09	22:58	
東部車庫-A	20:48	21:31	22:18	23:08	
金沢東高校-A					
金沢東高校（学院方向）					
金沢学院大学-A					
彦三-A					
瓢箪町-A					
小橋町-A					
森山二丁目（山の上方向）					
山の上（鳴和方向）					
春日町（山の上から）					
桜丘高校前-A					
鳴和台-C					
御所町-A					
星稜高校（駐車場内）					
