始発停留所	小立野大学病院前	小立野大学病院前	小立野大学病院前		
始発時間	18:24	19:37	21:00		
終点時間	19:05	20:18	21:37		
終点停留所	野々市車庫-A	野々市車庫-A	野々市車庫-A		
備考					
北陸大学薬学部-B					
北陸大学松雲会館前（市内方向）					
中村（北大薬学部から）					
北大太陽が丘-B					
銚子口					
舘町-B					
辰巳丘高校-B					
舘山町-B					
田上口-B					
土清水南-B					
土清水-B					
土清水口-B					
錦町（Ｋマート）					
小立野一丁目-B					
崎浦公民館-B					
小立野三丁目-B					
天徳院前-B					
小立野-B					
小立野大学病院前（降車場）					
小立野大学病院前	18:24	19:37	21:00		
石引町-B	18:26	19:39	21:01		
出羽町-B	18:27	19:40	21:02		
兼六園下（石川門向い）	18:30	19:43	21:04		
広坂（金沢２１世紀美術館前）	18:32	19:45	21:05		
香林坊（市役所前）	18:33	19:46	21:06		
片町（パシオン前）	18:37	19:50	21:09		
広小路（有松方向）	18:39	19:52	21:10		
野町駅-B	18:41	19:54	21:12		
野町-A	18:42	19:55	21:13		
泉一丁目-A	18:43	19:56	21:14		
泉二丁目-A	18:44	19:57	21:15		
有松（郵便局前）	18:46	19:59	21:17		
二万堂-A	18:47	20:00	21:18		
伏見橋（国道松任方向）	18:49	20:02	21:20		
押野-A	18:51	20:04	21:21		
東野々市-A	18:52	20:05	21:22		
野々市本町三丁目-A	18:54	20:07	21:24		
西野々市-D	18:55	20:08	21:25		
野々市車庫-A	19:05	20:18	21:37		
太平寺（松任方向）					
太平寺（白山病院前）					
本太平寺-A					
位川-A					
稲荷-A					
明倫高校前（稲荷から）					
下林-A					
藤平-A					
野々市スポーツランド前-B					
中林-A					
中林-B					
上林-A					
県立大学前					
末松					
西上林-B					
西上林-D					
百々鶴荘前-A					
富光寺住宅前					
