始発停留所	小立野大学病院前	小立野大学病院前	小立野大学病院前	辰巳丘高校-B	小立野大学病院前	北陸大学薬学部-B	北大太陽が丘-B	北陸大学薬学部-B	小立野大学病院前	北陸大学薬学部-B	小立野大学病院前	辰巳丘高校-B	辰巳丘高校-B	北陸大学薬学部-B	辰巳丘高校-B	小立野大学病院前	北陸大学薬学部-B	辰巳丘高校-B	小立野大学病院前	小立野大学病院前	小立野大学病院前	小立野大学病院前			
始発時間	06:57	07:26	08:15	08:16	08:20	09:10	10:10	10:50	11:45	12:50	14:40	15:30	16:20	16:50	17:30	17:30	18:30	19:20	19:42	20:30	21:10	22:25			
終点時間	07:17	08:28	08:57	09:11	08:42	09:48	11:02	11:50	12:26	13:50	15:35	16:27	17:17	17:53	18:27	18:25	19:28	20:27	20:21	21:07	21:47	23:02			
終点停留所	野町駅-B	富光寺住宅前	野々市車庫-A	野々市車庫-A	野町駅-B	野町駅-B	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	富光寺住宅前	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	富光寺住宅前	野々市車庫-A	富光寺住宅前	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A			
備考			学期休み期間、運休													ノンステップバス									
北陸大学薬学部-B						09:10		10:50		12:50				16:50			18:30								
北陸大学松雲会館前（市内方向）						09:13		10:53		12:53				16:53			18:33								
中村（北大薬学部から）						09:14		10:54		12:54				16:54			18:34								
北大太陽が丘-B						-	10:10	10:58		12:58				16:58			18:38								
銚子口						09:15	10:12	11:00		13:00				17:00			18:40								
舘町-B						09:16	10:13	11:01		13:01				17:01			18:41								
辰巳丘高校-B				08:16		-	-	-		-		15:30	16:20	-	17:30		-	19:20							
舘山町-B				08:17		-	-	-		-		15:31	16:21	-	17:31		-	19:21							
田上口-B				-		09:17	10:14	11:02		13:02		-	-	17:02	-		18:42	-							
土清水南-B				08:18		-	-	-		-		15:32	16:22	-	17:32		-	19:22							
土清水-B				08:19		-	-	-		-		15:33	16:23	-	17:33		-	19:23							
土清水口-B				08:20		09:19	10:16	11:04		13:04		15:34	16:24	17:04	17:34		18:44	19:24							
錦町（Ｋマート）				08:21		09:21	10:18	11:06		13:06		15:35	16:25	17:06	17:35		18:46	19:25							
小立野一丁目-B				08:22		09:22	10:19	11:07		13:07		15:36	16:26	17:07	17:36		18:47	19:26							
崎浦公民館-B				08:23		09:23	10:20	11:08		13:08		15:37	16:27	17:08	17:37		18:48	19:27							
小立野三丁目-B				08:24		09:24	10:21	11:09		13:09		15:38	16:28	17:09	17:38		18:49	19:28							
天徳院前-B				08:25		09:25	10:22	11:10		13:10		15:39	16:29	17:10	17:39		18:50	19:29							
小立野-B				08:26		09:26	10:23	11:11		13:11		15:40	16:30	17:11	17:40		18:51	19:30							
小立野大学病院前（降車場）				-		-	-	-		-		15:43	16:33	-	17:43		-	19:33							
小立野大学病院前	06:57	07:26	08:15	-	08:20	-	-	-	11:45	-	14:40	15:43	16:33	-	17:43	17:30	-	19:33	19:42	20:30	21:10	22:25			
石引町-B	06:59	07:28	08:17	08:27	08:22	09:27	10:24	11:12	11:47	13:12	14:42	15:45	16:35	17:12	17:45	17:32	18:52	19:35	19:44	20:31	21:11	22:26			
出羽町-B	07:00	07:29	08:18	08:28	08:23	09:28	10:25	11:13	11:48	13:13	14:43	15:46	16:36	17:13	17:46	17:33	18:53	19:36	19:45	20:32	21:12	22:27			
兼六園下（石川門）	07:03	07:32	08:21	08:31	08:26	09:31	10:28	11:16	11:51	13:16	14:46	15:49	16:39	17:16	17:49	17:36	18:56	19:39	19:48	20:34	21:14	22:29			
広坂（金沢２１世紀美術館前）	07:05	07:34	08:23	08:33	08:28	09:33	10:30	11:18	11:53	13:18	14:48	15:51	16:41	17:18	17:51	17:38	18:58	19:41	19:50	20:35	21:15	22:30			
香林坊（市役所前）	07:06	07:35	08:24	08:34	08:29	09:34	10:31	11:19	11:54	13:19	14:49	15:52	16:42	17:19	17:52	17:39	18:59	19:42	19:51	20:36	21:16	22:31			
片町（パシオン前）	07:10	07:39	08:28	08:38	08:33	09:38	10:35	11:23	11:58	13:23	14:53	15:56	16:46	17:23	17:56	17:43	19:03	19:46	19:55	20:39	21:19	22:34			
広小路（有松方向）	07:12	07:41	08:30	08:40	08:35	09:40	10:37	11:25	12:00	13:25	14:55	15:58	16:48	17:25	17:58	17:45	19:05	19:48	19:57	20:40	21:20	22:35			
野町駅-B	07:17	-	-	08:42	08:42	09:48	10:39	11:27	12:02	13:27	-	16:00	16:50	17:27	18:00	-	19:07	19:50	19:59	20:42	21:22	22:37			
野町-A		07:42	08:31	08:43			10:40	11:28	12:03	13:28	14:56	16:01	16:51	17:28	18:01	17:46	19:08	19:51	20:00	20:43	21:23	22:38			
泉一丁目-A		07:43	08:32	08:44			10:41	11:29	12:04	13:29	14:57	16:02	16:52	17:29	18:02	17:47	19:09	19:52	20:01	20:44	21:24	22:39			
泉二丁目-A		07:44	08:33	08:45			10:42	11:30	12:05	13:30	14:58	16:03	16:53	17:30	18:03	17:48	19:10	19:53	20:02	20:45	21:25	22:40			
有松（郵便局前）		07:46	08:35	08:47			10:44	11:32	12:07	13:32	15:00	16:05	16:55	17:32	18:05	17:50	19:12	19:55	20:04	20:47	21:27	22:42			
二万堂-A		07:47	08:36	08:48			10:45	11:33	12:08	13:33	15:01	16:06	16:56	17:33	18:06	17:51	19:13	19:56	20:05	20:48	21:28	22:43			
伏見橋（国道松任方向）		07:49	08:38	08:50			10:47	11:35	12:10	13:35	15:03	16:08	16:58	17:35	18:08	17:53	19:15	19:58	20:07	20:50	21:30	22:45			
