始発停留所	小立野大学病院前	小立野大学病院前	小立野大学病院前	辰巳丘高校-B	北陸大学薬学部-B	小立野大学病院前	辰巳丘高校-B	北大太陽が丘-B	小立野大学病院前	北陸大学薬学部-B	辰巳丘高校-B	小立野大学病院前	北大太陽が丘-B	辰巳丘高校-B	小立野大学病院前	小立野大学病院前	小立野大学病院前	小立野大学病院前		
始発時間	06:43	07:29	08:10	08:20	09:00	09:40	10:10	11:00	11:32	12:45	13:31	14:40	15:30	16:25	17:30	18:24	19:37	21:00		
終点時間	07:22	08:26	08:47	09:14	09:43	10:17	11:04	11:52	12:13	13:45	14:25	15:21	16:22	17:19	18:11	19:05	20:18	21:37		
終点停留所	野々市車庫-A	富光寺住宅前	野々市車庫-A	野々市車庫-A	野町駅-B	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A		
備考							ノンステップバス													
北陸大学薬学部-B					09:00					12:45										
北陸大学松雲会館前（市内方向）					09:03					12:48										
中村（北大薬学部から）					09:04					12:49										
北大太陽が丘-B					09:08			11:00		12:53			15:30							
銚子口					09:10			11:02		12:55			15:32							
舘町-B					09:11			11:03		12:56			15:33							
辰巳丘高校-B				08:20	-		10:10	-		-	13:31		-	16:25						
舘山町-B				08:21	-		10:11	-		-	13:32		-	16:26						
田上口-B				-	09:12		-	11:04		12:57	-		15:34	-						
土清水南-B				08:22	-		10:12	-		-	13:33		-	16:27						
土清水-B				08:23	-		10:13	-		-	13:34		-	16:28						
土清水口-B				08:24	09:14		10:14	11:06		12:59	13:35		15:36	16:29						
錦町（Ｋマート）				08:25	09:16		10:15	11:08		13:01	13:36		15:38	16:30						
小立野一丁目-B				08:26	09:17		10:16	11:09		13:02	13:37		15:39	16:31						
崎浦公民館-B				08:27	09:18		10:17	11:10		13:03	13:38		15:40	16:32						
小立野三丁目-B				08:28	09:19		10:18	11:11		13:04	13:39		15:41	16:33						
天徳院前-B				08:29	09:20		10:19	11:12		13:05	13:40		15:42	16:34						
小立野-B				08:30	09:21		10:20	11:13		13:06	13:41		15:43	16:35						
小立野大学病院前（降車場）				08:33	-		10:23	-		-	13:44		-	16:38						
小立野大学病院前	06:43	07:29	08:10	08:33	-	09:40	10:23	-	11:32	-	13:44	14:40	-	16:38	17:30	18:24	19:37	21:00		
