始発停留所	東部車庫-A	東部車庫-A	東部車庫-A	上辰巳-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学（小立野方向）	金沢学院大学（小立野方向）	金沢学院大学（小立野方向）	金沢学院大学（小立野方向）	金沢学院大学（小立野方向）	金沢東高校（小立野方向）	金沢学院大学（小立野方向）	金沢学院大学（小立野方向）	金沢東高校（小立野方向）	金沢学院大学（小立野方向）	金沢東高校（小立野方向）	辰巳丘高校-B	金沢東高校（小立野方向）	金沢学院大学（小立野方向）	金沢東高校（小立野方向）	金沢学院大学（小立野方向）	金沢学院大学（小立野方向）	金沢東高校（小立野方向）	金沢学院大学（小立野方向）	東部車庫-A
始発時間	05:40	06:10	06:35	06:44	07:15	08:08	08:30	09:30	10:35	11:15	11:40	12:10	12:30	13:08	13:35	13:39	14:15	14:52	14:56	15:23	15:27	15:35	15:55	16:15	16:19	16:37	16:53	16:57	18:00	18:45
終点時間	06:12	06:42	07:07	07:24	07:50	08:45	09:07	10:06	11:11	11:51	12:21	12:51	13:11	13:49	14:16	14:16	14:56	15:33	15:33	16:04	16:04	16:10	16:32	16:56	16:56	17:18	17:34	17:34	18:40	19:17
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考															学期休み期間、運休	学期休み期間のみ運行		学期休み期間、運休	学期休み期間のみ運行	学期休み期間、運休	学期休み期間のみ運行			学期休み期間、運休	学期休み期間のみ運行		学期休み期間、運休	学期休み期間のみ運行		
上辰巳-A				06:44																										
中辰己				06:46																										
辰巳農協前				06:47																										
下辰巳				06:48																										
犀川小学校前-B				06:49																										
金沢学院大学（小立野方向）				-							11:40	12:10	12:30	13:08	13:35		14:15	14:52		15:23				16:15		16:37	16:53		18:00	
金沢東高校（小立野方向）				-							11:44	12:14	12:34	13:12	13:39	13:39	14:19	14:56	14:56	15:27	15:27		15:55	16:19	16:19	16:41	16:57	16:57	18:04	
東部車庫-B				06:50							11:45	12:15	12:35	13:13	13:40	13:40	14:20	14:57	14:57	15:28	15:28		15:56	16:20	16:20	16:42	16:58	16:58	18:05	
東部車庫-A	05:40	06:10	06:35	-	07:15	08:08	08:30	09:30	10:35	11:15	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	18:45
都雅野住宅-B	05:40	06:10	06:35	06:50	07:15	08:08	08:30	09:30	10:35	11:15	11:45	12:15	12:35	13:13	13:40	13:40	14:20	14:57	14:57	15:28	15:28		15:56	16:20	16:20	16:42	16:58	16:58	18:05	18:45
末-B	05:41	06:11	06:36	06:51	07:16	08:09	08:31	09:31	10:36	11:16	11:46	12:16	12:36	13:14	13:41	13:41	14:21	14:58	14:58	15:29	15:29		15:57	16:21	16:21	16:43	16:59	16:59	18:06	18:46
永安町（小立野方向）	05:42	06:12	06:37	06:52	07:17	08:10	08:32	09:32	10:37	11:17	11:47	12:17	12:37	13:15	13:42	13:42	14:22	14:59	14:59	15:30	15:30		15:58	16:22	16:22	16:44	17:00	17:00	18:07	18:47
大道割口-B	05:43	06:13	06:38	06:53	07:18	08:11	08:33	09:33	10:38	11:18	11:48	12:18	12:38	13:16	13:43	13:43	14:23	15:00	15:00	15:31	15:31		15:59	16:23	16:23	16:45	17:01	17:01	18:08	18:48
辰巳丘高校-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:35	-	-	-	-	-	-	-	-
舘山町-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:36	-	-	-	-	-	-	-	-
土清水南-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:37	-	-	-	-	-	-	-	-
土清水-B	05:44	06:14	06:39	06:54	07:19	08:12	08:34	09:34	10:39	11:19	11:49	12:19	12:39	13:17	13:44	13:44	14:24	15:01	15:01	15:32	15:32	15:38	16:00	16:24	16:24	16:46	17:02	17:02	18:09	18:49
土清水口-B	05:45	06:15	06:40	06:55	07:20	08:13	08:35	09:35	10:40	11:20	11:50	12:20	12:40	13:18	13:45	13:45	14:25	15:02	15:02	15:33	15:33	15:39	16:01	16:25	16:25	16:47	17:03	17:03	18:10	18:50
錦町（Ｋマート）	05:48	06:18	06:43	06:58	07:23	08:16	08:38	09:38	10:43	11:23	11:53	12:23	12:43	13:21	13:48	13:48	14:28	15:05	15:05	15:36	15:36	15:41	16:04	16:28	16:28	16:50	17:06	17:06	18:13	18:53
小立野一丁目-B	05:49	06:19	06:44	06:59	07:24	08:17	08:39	09:39	10:44	11:24	11:54	12:24	12:44	13:22	13:49	13:49	14:29	15:06	15:06	15:37	15:37	15:42	16:05	16:29	16:29	16:51	17:07	17:07	18:14	18:54
崎浦公民館-B	05:50	06:20	06:45	07:00	07:25	08:18	08:40	09:40	10:45	11:25	11:55	12:25	12:45	13:23	13:50	13:50	14:30	15:07	15:07	15:38	15:38	15:43	16:06	16:30	16:30	16:52	17:08	17:08	18:15	18:55
小立野三丁目-B	05:51	06:21	06:46	07:01	07:26	08:19	08:41	09:41	10:46	11:26	11:56	12:26	12:46	13:24	13:51	13:51	14:31	15:08	15:08	15:39	15:39	15:44	16:07	16:31	16:31	16:53	17:09	17:09	18:16	18:56
天徳院前-B	05:52	06:22	06:47	07:02	07:27	08:20	08:42	09:42	10:47	11:27	11:57	12:27	12:47	13:25	13:52	13:52	14:32	15:09	15:09	15:40	15:40	15:45	16:08	16:32	16:32	16:54	17:10	17:10	18:17	18:57
小立野-B	05:53	06:23	06:48	07:03	07:28	08:21	08:43	09:43	10:48	11:28	11:58	12:28	12:48	13:26	13:53	13:53	14:33	15:10	15:10	15:41	15:41	15:47	16:09	16:33	16:33	16:55	17:11	17:11	18:18	18:58
石引町-B	05:54	06:24	06:49	07:04	07:29	08:22	08:44	09:44	10:49	11:29	11:59	12:29	12:49	13:27	13:54	13:54	14:34	15:11	15:11	15:42	15:42	15:48	16:10	16:34	16:34	16:56	17:12	17:12	18:19	18:59
出羽町-B	05:55	06:25	06:50	07:05	07:31	08:23	08:45	09:45	10:50	11:30	12:00	12:30	12:50	13:28	13:55	13:55	14:35	15:12	15:12	15:43	15:43	15:49	16:11	16:35	16:35	16:57	17:13	17:13	18:21	19:00
兼六園下（観光物産館前）	05:57	06:27	06:52	07:08	07:34	08:26	08:48	09:48	10:53	11:33	12:03	12:33	12:53	13:31	13:58	13:58	14:38	15:15	15:15	15:46	15:46	15:52	16:14	16:38	16:38	17:00	17:16	17:16	18:24	19:02
橋場町（金城楼向い）	05:59	06:29	06:54	07:10	07:36	08:28	08:50	09:51	10:56	11:36	12:06	12:36	12:56	13:34	14:01	14:01	14:41	15:18	15:18	15:49	15:49	15:54	16:17	16:41	16:41	17:03	17:19	17:19	18:26	19:04
尾張町-B	06:00	06:30	06:55	07:11	07:37	08:29	08:51	09:52	10:57	11:37	12:07	12:37	12:57	13:35	14:02	14:02	14:42	15:19	15:19	15:50	15:50	15:55	16:18	16:42	16:42	17:04	17:20	17:20	18:27	19:05
武蔵ヶ辻（ホリデイ・イン金沢前）	06:02	06:32	06:57	07:13	07:39	08:31	08:53	09:54	10:59	11:39	12:09	12:39	12:59	13:37	14:04	14:04	14:44	15:21	15:21	15:52	15:52	15:57	16:20	16:44	16:44	17:06	17:22	17:22	18:29	19:07
六枚町（金沢駅ゆき）	06:04	06:34	06:59	07:16	07:41	08:34	08:56	09:56	11:01	11:41	12:12	12:42	13:02	13:40	14:07	14:07	14:47	15:24	15:24	15:55	15:55	16:00	16:23	16:47	16:47	17:09	17:25	17:25	18:31	19:09
六枚町（ガスト前）	06:04	06:34	06:59	07:16	07:41	08:34	08:56	09:56	11:01	11:41	12:12	12:42	13:02	13:40	14:07	14:07	14:47	15:24	15:24	15:55	15:55	16:00	16:23	16:47	16:47	17:09	17:25	17:25	18:31	19:09
金沢駅【降車場】	06:12	06:42	07:07	07:24	07:50	08:45	09:07	10:06	11:11	11:51	12:21	12:51	13:11	13:49	14:16	14:16	14:56	15:33	15:33	16:04	16:04	16:10	16:32	16:56	16:56	17:18	17:34	17:34	18:40	19:17
