始発停留所	金沢駅【３】	金沢駅【３】	金沢駅【３】		
始発時間	19:50	20:25	21:10		
終点時間	20:21	21:04	21:41		
終点停留所	東部車庫-A	上辰巳-A	東部車庫-A		
備考		ノンステップバス			
県庁前-B					
駅西合庁前（西念南方向）					
西念西-B					
西念南-B					
広岡-B					
金沢駅西口降車					
金沢駅西口【５】					
金沢駅東通り-B					
金沢駅【３】	19:50	20:25	21:10		
リファーレ前-A	19:52	20:27	21:12		
武蔵ヶ辻（北陸銀行前）	19:54	20:29	21:14		
武蔵ヶ辻（かなざわはこまち前）	19:54	20:29	21:14		
尾張町-A	19:56	20:31	21:16		
橋場町（金城楼前）	19:57	20:32	21:17		
兼六園下（県駐車場前）	19:59	20:34	21:18		
出羽町-A	20:01	20:37	21:20		
石引町-A	20:02	20:38	21:21		
小立野大学病院前（降車場）	-	-	-		
小立野-A	20:03	20:39	21:22		
天徳院前-A	20:04	20:41	21:23		
小立野三丁目-A	20:05	20:42	21:24		
崎浦公民館-A	20:06	20:43	21:25		
小立野一丁目-A	20:07	20:44	21:26		
錦町（湯涌）	20:08	20:45	21:27		
土清水口-A	20:10	20:47	21:28		
土清水-A	20:11	20:48	21:29		
土清水南-A	-	-	-		
舘山町-A	-	-	-		
辰巳丘高校-B	-	-	-		
大道割口-A	20:12	20:49	21:30		
永安町（東部車庫方向）	20:13	20:50	21:31		
末-A	20:14	20:51	21:32		
都雅野住宅-A	20:15	20:51	21:33		
東部車庫-A	20:21	20:52	21:41		
金沢東高校-A		-			
金沢東高校（学院方向）		-			
金沢学院大学-A		-			
犀川小学校前-A		20:53			
下辰巳		20:54			
辰巳農協前		20:55			
中辰己		20:56			
上辰巳-A		21:04			
